source_language_code,eng_Latn,deu_Latn,nld_Latn,swe_Latn,spa_Latn,fra_Latn,ita_Latn,por_Latn,ron_Latn,ind_Latn,zsm_Latn,tgl_Latn,pol_Latn,hun_Latn,tur_Latn,vie_Latn,arb_Arab,hin_Deva,guj_Gujr,rus_Cyrl,tha_Thai,zho_Hans,jpn_Jpan,kor_Hang
eng_Latn,100.00000000,53.96439587,59.66373877,57.48960708,49.63457154,58.30763041,58.57583479,56.49222207,51.62096017,53.43972107,53.66937106,59.01501944,47.60962854,45.75901837,47.42859059,44.56550892,21.10768406,16.10064369,18.13564436,29.87461446,36.26961244,34.73078986,26.58575835,37.77490948
deu_Latn,47.08649447,100.00000000,50.89276751,46.59887848,44.54945717,44.07618283,47.53825634,41.87474006,43.66457757,43.80512570,43.36627132,40.35739384,42.62480818,45.67671060,42.12285055,33.41460266,18.55092002,17.48820400,18.32001950,23.07284122,27.12005392,24.68627648,17.07803290,26.05160124
nld_Latn,52.57289754,52.19096585,100.00000000,53.36760925,48.23062798,50.15350716,49.68490635,46.67645979,49.11641572,45.41020933,44.97686375,45.72603746,46.72640470,48.79030481,46.21961072,36.80352552,15.64450973,14.85420492,14.82041866,19.71942710,28.55086302,26.44583180,18.91149467,27.23907455
swe_Latn,48.67114052,45.88515025,47.89994838,100.00000000,46.55153535,46.19487853,49.05751873,45.71151470,47.85301985,46.04157868,43.07100286,44.84333693,43.55280242,44.47103728,46.89880645,33.07053358,16.52666323,14.59320788,15.84463529,21.51673002,25.70588327,25.02072677,15.66630688,24.99569822
spa_Latn,57.07888440,51.48126898,54.27028086,54.46619740,100.00000000,60.76631355,63.78342826,71.74603619,59.49145664,54.18351782,51.54564156,57.60226144,52.13618998,53.18014526,52.48184273,43.10303811,15.54737682,14.96242601,13.61899831,22.84246911,33.62207700,30.70851817,22.06160176,29.01943772
fra_Latn,59.21630986,53.46985210,58.20405419,54.04514428,58.84140035,100.00000000,58.67980143,60.90728100,57.60161340,48.15001551,48.52363223,50.35422484,50.50806702,52.22360120,47.62384942,41.80370255,18.38349364,17.71512049,17.44492709,23.22370462,32.71150067,30.51634088,22.49974144,30.77489916
ita_Latn,56.11921370,48.55069400,54.36060030,53.08532375,60.24096386,58.02015078,100.00000000,61.45001057,60.38469668,49.39477207,49.27781301,54.10554499,50.63763827,49.87951807,48.93679983,42.26308744,17.10843373,14.99612485,13.55879659,20.36778694,28.07581202,24.95032763,18.52039738,25.71831184
por_Latn,52.71059844,45.28506460,48.60554769,49.86447008,69.08411890,57.09725025,62.66150649,100.00000000,57.37734542,48.64018312,49.24856188,53.18796494,49.58738668,49.34795049,47.98361594,40.28702226,15.46396410,14.84353823,15.22151613,20.52977141,28.88594404,28.70523748,19.81447460,27.97337590
ron_Latn,49.13823378,41.79295999,45.64794554,46.57319610,50.62133614,49.69878704,53.86308993,52.20169111,100.00000000,44.99824405,44.45389956,45.25758435,47.41199989,44.90774509,43.52189535,39.23197450,14.18942648,13.52486695,13.32766026,19.60720750,26.97139152,24.90882567,18.83458951,27.94796985
ind_Latn,34.85108207,36.15098922,38.32583387,40.36318834,36.81165631,36.89200771,37.77230198,38.42404114,36.23312621,100.00000000,88.72759089,44.27005214,38.55617456,37.29912149,42.91479180,29.21219913,14.02756946,12.84908221,13.72580530,16.48810799,20.75030355,20.87529462,13.57403043,19.21291336
zsm_Latn,34.02156296,33.61109154,37.14502149,38.79747727,35.88013530,35.06623917,35.99288281,37.46388556,35.07504757,89.68536396,100.00000000,42.95328025,37.19082517,35.35691636,41.71834261,28.47755620,12.70875907,13.13332394,12.85321683,15.05179339,20.55880488,20.41258544,13.15446410,18.27566768
tgl_Latn,47.48252812,48.66253819,55.80698407,52.23885839,58.94314178,46.55420671,51.09865025,49.03363263,49.54754574,59.44768973,62.82968287,100.00000000,51.65119464,48.22471700,51.88181169,44.60274165,12.72959273,11.79190616,10.80973508,16.31059551,23.56039942,25.83145055,13.07961556,20.32356625
pol_Latn,42.07304171,43.21987276,45.94659407,40.72308191,41.27181165,38.89492319,43.57816930,39.04303790,46.13420603,39.42531492,40.87542847,42.51315400,100.00000000,42.76706493,41.55675615,34.10164901,14.79736497,13.41072915,13.01857782,19.05883681,24.78029651,25.24721051,16.00062067,23.32030864
hun_Latn,41.02662570,41.37651476,43.00506344,45.83688912,45.02474825,43.23832281,42.76184787,44.47431302,42.65375206,41.96961939,41.83449963,41.60692951,43.84422825,100.00000000,45.67474541,37.76383911,16.79183023,15.16612619,15.55584002,24.81509928,25.39824771,25.25317176,17.27968368,28.43204187
tur_Latn,39.72439166,39.34196089,38.91434842,41.02820629,38.41412251,38.34957723,40.81843413,38.35925902,40.28593558,44.51042406,44.70728716,44.59594656,37.57180662,42.65152004,100.00000000,31.76918608,14.71148261,14.11927967,14.09991609,18.35183631,24.64338734,24.46104692,15.31498096,23.11850513
vie_Latn,21.06266177,19.52527235,19.54376084,19.34465398,21.28736809,21.64860483,21.69411497,22.32414597,20.48951845,19.53807208,20.19796911,20.39423159,20.37005433,19.53522769,19.90926416,100.00000000,10.51142020,10.26538101,9.89703331,12.05876497,14.96003641,13.99579031,10.49577609,13.97587963
arb_Arab,7.55558723,7.49144812,6.68187001,7.48432155,6.61345496,7.36174458,7.50712657,7.51425314,6.80302166,7.47291904,6.71892816,7.53848347,7.05387685,7.49572406,7.48574686,7.51995439,100.00000000,6.55216648,7.35604333,7.44726340,7.25199544,7.18358039,6.15450399,7.38740023
hin_Deva,8.45967860,8.12706216,8.00951096,8.12439054,7.90932528,7.84921388,7.99214544,8.36483616,8.14175605,8.30071733,8.46902927,8.41693272,8.08030884,8.14977091,8.34613484,8.40090301,7.80780380,100.00000000,8.31541123,7.93737727,8.26331468,8.22056879,7.44579955,8.27533696
guj_Gujr,9.97515969,9.87461557,8.85616276,9.85095813,8.77217885,9.73976816,9.86042110,9.87461557,8.83605394,9.87106695,8.91885498,9.96214810,9.24296191,9.86278685,9.88999290,9.90537024,9.69836764,8.85261415,100.00000000,9.83084930,9.64750414,9.62857819,8.36645375,9.84740951
rus_Cyrl,13.19558481,12.99424541,12.37880367,13.21414802,12.14747755,12.96140281,12.92856021,13.17987748,12.60299010,12.85287944,12.40307864,12.85430738,12.63440476,13.24413474,13.14275107,13.15274664,12.44163299,11.86046180,12.53302109,100.00000000,12.32739787,12.20602305,11.01226600,12.56300781
tha_Thai,9.04947917,8.86656746,8.46819196,8.80456349,8.26977927,8.67590526,8.82316468,8.81541419,8.36278522,8.86501736,8.52399554,8.94562252,8.46974206,8.79681300,8.82471478,8.85881696,7.21571181,6.81733631,7.21106151,7.67454117,100.00000000,8.02331349,6.45151290,8.02331349
zho_Hans,14.58117354,14.76259589,14.17513304,14.38592854,13.58939802,13.99716636,14.22178450,13.94533140,13.90731910,14.69521045,14.50860460,14.78505771,14.27880296,14.41702951,14.41530168,14.69693828,12.37473219,12.82742415,13.03821964,13.00884650,13.25074297,100.00000000,49.43154330,14.26152464
jpn_Jpan,5.11955671,5.09395892,5.02620008,4.99457929,4.64675059,4.93434921,5.10148768,4.69342890,4.68740589,5.00511956,5.13461423,5.09697043,4.95392399,5.03674035,5.00210805,5.07588990,4.81087755,4.66180811,4.77323375,4.79431428,4.67837138,31.44160694,100.00000000,5.27464916
kor_Hang,14.20426591,14.00167858,12.89034237,13.93656122,12.26376870,13.83671461,13.98576100,13.53862183,12.33178016,13.99733742,12.96558910,14.09718404,13.23763494,13.94669059,13.99444332,14.02483142,12.78904871,11.85569994,13.01768298,13.14357653,13.02347119,13.48363384,11.53590137,100.00000000
