order,language_code,language,label,script,family,visual_group
1,eng_Latn,English,EN,Latin,Germanic,Germanic Latin
2,deu_Latn,German,DE,Latin,Germanic,Germanic Latin
3,nld_Latn,Dutch,NL,Latin,Germanic,Germanic Latin
4,swe_Latn,Swedish,SV,Latin,Germanic,Germanic Latin
5,spa_Latn,Spanish,ES,Latin,Romance,Romance Latin
6,fra_Latn,French,FR,Latin,Romance,Romance Latin
7,ita_Latn,Italian,IT,Latin,Romance,Romance Latin
8,por_Latn,Portuguese,PT,Latin,Romance,Romance Latin
9,ron_Latn,Romanian,RO,Latin,Romance,Romance Latin
10,ind_Latn,Indonesian,ID,Latin,Austronesian,Austronesian Latin
11,zsm_Latn,Malay,MS,Latin,Austronesian,Austronesian Latin
12,tgl_Latn,Filipino/Tagalog,TL,Latin,Austronesian,Austronesian Latin
13,pol_Latn,Polish,PL,Latin,Slavic,Other Latin
14,hun_Latn,Hungarian,HU,Latin,Uralic,Other Latin
15,tur_Latn,Turkish,TR,Latin,Turkic,Other Latin
16,vie_Latn,Vietnamese,VI,Latin,Austroasiatic,Other Latin
17,arb_Arab,Arabic,AR,Arabic,Semitic,Other scripts
18,hin_Deva,Hindi,HI,Devanagari,Indo-Aryan,Other scripts
19,guj_Gujr,Gujarati,GU,Gujarati,Indo-Aryan,Other scripts
20,rus_Cyrl,Russian,RU,Cyrillic,Slavic,Other scripts
21,tha_Thai,Thai,TH,Thai,Kra-Dai,Other scripts
22,zho_Hans,Simplified Chinese,ZH,Han,Sinitic,Other scripts
23,jpn_Jpan,Japanese,JA,Japanese,Japonic,Other scripts
24,kor_Hang,Korean,KO,Hangul,Koreanic,Other scripts
