condition,source_language_code,target_language_code,source_script,target_script,shared_token_count,union_token_count,type_iou_percent,source_shared_token_occurrences,source_analysis_token_count,frequency_overlap_percent
flores,eng_Latn,eng_Latn,Latin,Latin,8292,8292,100.00000000,59656,59656,100.00000000
flores,eng_Latn,deu_Latn,Latin,Latin,3087,14076,21.93094629,32193,59656,53.96439587
flores,eng_Latn,nld_Latn,Latin,Latin,3661,12701,28.82450201,35593,59656,59.66373877
flores,eng_Latn,swe_Latn,Latin,Latin,3402,13412,25.36534447,34296,59656,57.48960708
flores,eng_Latn,spa_Latn,Latin,Latin,3194,13968,22.86655212,29610,59656,49.63457154
flores,eng_Latn,fra_Latn,Latin,Latin,3737,12627,29.59531163,34784,59656,58.30763041
flores,eng_Latn,ita_Latn,Latin,Latin,3547,13699,25.89240091,34944,59656,58.57583479
flores,eng_Latn,por_Latn,Latin,Latin,3296,13660,24.12884334,33701,59656,56.49222207
flores,eng_Latn,ron_Latn,Latin,Latin,3589,13162,27.26789242,30795,59656,51.62096017
flores,eng_Latn,ind_Latn,Latin,Latin,3013,13227,22.77916383,31880,59656,53.43972107
flores,eng_Latn,zsm_Latn,Latin,Latin,3103,12878,24.09535642,32017,59656,53.66937106
flores,eng_Latn,tgl_Latn,Latin,Latin,3577,11726,30.50486099,35206,59656,59.01501944
flores,eng_Latn,pol_Latn,Latin,Latin,2742,14448,18.97840532,28402,59656,47.60962854
flores,eng_Latn,hun_Latn,Latin,Latin,2582,14043,18.38638468,27298,59656,45.75901837
flores,eng_Latn,tur_Latn,Latin,Latin,2655,13718,19.35413326,28294,59656,47.42859059
flores,eng_Latn,vie_Latn,Latin,Latin,2462,10707,22.99430279,26586,59656,44.56550892
flores,eng_Latn,arb_Arab,Latin,Arabic,478,13891,3.44107696,12592,59656,21.10768406
flores,eng_Latn,hin_Deva,Latin,Devanagari,505,12288,4.10970052,9605,59656,16.10064369
flores,eng_Latn,guj_Gujr,Latin,Gujarati,487,10457,4.65716745,10819,59656,18.13564436
flores,eng_Latn,rus_Cyrl,Latin,Cyrillic,729,17188,4.24133116,17822,59656,29.87461446
flores,eng_Latn,tha_Thai,Latin,Thai,1302,11905,10.93658127,21637,59656,36.26961244
flores,eng_Latn,zho_Hans,Latin,Han,1093,14902,7.33458596,20719,59656,34.73078986
flores,eng_Latn,jpn_Jpan,Latin,Japanese,410,14061,2.91586658,15860,59656,26.58575835
flores,eng_Latn,kor_Hang,Latin,Hangul,1011,12455,8.11722200,22535,59656,37.77490948
flores,deu_Latn,eng_Latn,Latin,Latin,3087,14076,21.93094629,32832,69727,47.08649447
flores,deu_Latn,deu_Latn,Latin,Latin,8871,8871,100.00000000,69727,69727,100.00000000
flores,deu_Latn,nld_Latn,Latin,Latin,3524,13417,26.26518596,35486,69727,50.89276751
flores,deu_Latn,swe_Latn,Latin,Latin,3466,13927,24.88691032,32492,69727,46.59887848
flores,deu_Latn,spa_Latn,Latin,Latin,2542,15199,16.72478453,31063,69727,44.54945717
flores,deu_Latn,fra_Latn,Latin,Latin,2776,14167,19.59483306,30733,69727,44.07618283
flores,deu_Latn,ita_Latn,Latin,Latin,2812,15013,18.73043362,33147,69727,47.53825634
flores,deu_Latn,por_Latn,Latin,Latin,2669,14866,17.95371990,29198,69727,41.87474006
flores,deu_Latn,ron_Latn,Latin,Latin,2876,14454,19.89760620,30446,69727,43.66457757
flores,deu_Latn,ind_Latn,Latin,Latin,2813,14006,20.08424961,30544,69727,43.80512570
flores,deu_Latn,zsm_Latn,Latin,Latin,2734,13826,19.77433820,30238,69727,43.36627132
flores,deu_Latn,tgl_Latn,Latin,Latin,2808,13074,21.47774208,28140,69727,40.35739384
flores,deu_Latn,pol_Latn,Latin,Latin,2720,15049,18.07429065,29721,69727,42.62480818
flores,deu_Latn,hun_Latn,Latin,Latin,2668,14536,18.35443038,31849,69727,45.67671060
flores,deu_Latn,tur_Latn,Latin,Latin,2703,14249,18.96975226,29371,69727,42.12285055
flores,deu_Latn,vie_Latn,Latin,Latin,2198,11550,19.03030303,23299,69727,33.41460266
flores,deu_Latn,arb_Arab,Latin,Arabic,446,14502,3.07543787,12935,69727,18.55092002
flores,deu_Latn,hin_Deva,Latin,Devanagari,443,12929,3.42640575,12194,69727,17.48820400
flores,deu_Latn,guj_Gujr,Latin,Gujarati,431,11092,3.88568338,12774,69727,18.32001950
flores,deu_Latn,rus_Cyrl,Latin,Cyrillic,727,17769,4.09139513,16088,69727,23.07284122
flores,deu_Latn,tha_Thai,Latin,Thai,1225,12561,9.75240825,18910,69727,27.12005392
flores,deu_Latn,zho_Hans,Latin,Han,1080,15494,6.97044017,17213,69727,24.68627648
flores,deu_Latn,jpn_Jpan,Latin,Japanese,387,14663,2.63929619,11908,69727,17.07803290
flores,deu_Latn,kor_Hang,Latin,Hangul,956,13089,7.30384292,18165,69727,26.05160124
flores,nld_Latn,eng_Latn,Latin,Latin,3661,12701,28.82450201,35789,68075,52.57289754
flores,nld_Latn,deu_Latn,Latin,Latin,3524,13417,26.26518596,35529,68075,52.19096585
flores,nld_Latn,nld_Latn,Latin,Latin,8070,8070,100.00000000,68075,68075,100.00000000
flores,nld_Latn,swe_Latn,Latin,Latin,3519,13073,26.91807542,36330,68075,53.36760925
flores,nld_Latn,spa_Latn,Latin,Latin,2851,14089,20.23564483,32833,68075,48.23062798
flores,nld_Latn,fra_Latn,Latin,Latin,3184,12958,24.57169316,34142,68075,50.15350716
flores,nld_Latn,ita_Latn,Latin,Latin,3199,13825,23.13924051,33823,68075,49.68490635
flores,nld_Latn,por_Latn,Latin,Latin,2936,13798,21.27844615,31775,68075,46.67645979
flores,nld_Latn,ron_Latn,Latin,Latin,3235,13294,24.33428614,33436,68075,49.11641572
flores,nld_Latn,ind_Latn,Latin,Latin,2965,13053,22.71508465,30913,68075,45.41020933
flores,nld_Latn,zsm_Latn,Latin,Latin,2871,12888,22.27653631,30618,68075,44.97686375
flores,nld_Latn,tgl_Latn,Latin,Latin,3041,12040,25.25747508,31128,68075,45.72603746
flores,nld_Latn,pol_Latn,Latin,Latin,2835,14133,20.05943536,31809,68075,46.72640470
flores,nld_Latn,hun_Latn,Latin,Latin,2717,13686,19.85240392,33214,68075,48.79030481
flores,nld_Latn,tur_Latn,Latin,Latin,2706,13445,20.12644106,31464,68075,46.21961072
flores,nld_Latn,vie_Latn,Latin,Latin,2273,10674,21.29473487,25054,68075,36.80352552
flores,nld_Latn,arb_Arab,Latin,Arabic,441,13706,3.21756895,10650,68075,15.64450973
flores,nld_Latn,hin_Deva,Latin,Devanagari,439,12132,3.61852951,10112,68075,14.85420492
flores,nld_Latn,guj_Gujr,Latin,Gujarati,422,10300,4.09708738,10089,68075,14.82041866
flores,nld_Latn,rus_Cyrl,Latin,Cyrillic,713,16982,4.19856318,13424,68075,19.71942710
flores,nld_Latn,tha_Thai,Latin,Thai,1231,11754,10.47303046,19436,68075,28.55086302
flores,nld_Latn,zho_Hans,Latin,Han,1032,14741,7.00088189,18003,68075,26.44583180
flores,nld_Latn,jpn_Jpan,Latin,Japanese,383,13866,2.76215203,12874,68075,18.91149467
flores,nld_Latn,kor_Hang,Latin,Hangul,926,12318,7.51745413,18543,68075,27.23907455
flores,swe_Latn,eng_Latn,Latin,Latin,3402,13412,25.36534447,31114,63927,48.67114052
flores,swe_Latn,deu_Latn,Latin,Latin,3466,13927,24.88691032,29333,63927,45.88515025
flores,swe_Latn,nld_Latn,Latin,Latin,3519,13073,26.91807542,30621,63927,47.89994838
flores,swe_Latn,swe_Latn,Latin,Latin,8522,8522,100.00000000,63927,63927,100.00000000
flores,swe_Latn,spa_Latn,Latin,Latin,2832,14560,19.45054945,29759,63927,46.55153535
flores,swe_Latn,fra_Latn,Latin,Latin,3037,13557,22.40171129,29531,63927,46.19487853
flores,swe_Latn,ita_Latn,Latin,Latin,3131,14345,21.82642036,31361,63927,49.05751873
flores,swe_Latn,por_Latn,Latin,Latin,2897,14289,20.27433690,29222,63927,45.71151470
flores,swe_Latn,ron_Latn,Latin,Latin,3133,13848,22.62420566,30591,63927,47.85301985
flores,swe_Latn,ind_Latn,Latin,Latin,3057,13413,22.79132185,29433,63927,46.04157868
flores,swe_Latn,zsm_Latn,Latin,Latin,2957,13254,22.31024596,27534,63927,43.07100286
flores,swe_Latn,tgl_Latn,Latin,Latin,3070,12463,24.63291342,28667,63927,44.84333693
flores,swe_Latn,pol_Latn,Latin,Latin,2927,14493,20.19595667,27842,63927,43.55280242
flores,swe_Latn,hun_Latn,Latin,Latin,2890,13965,20.69459363,28429,63927,44.47103728
flores,swe_Latn,tur_Latn,Latin,Latin,2832,13771,20.56495534,29981,63927,46.89880645
flores,swe_Latn,vie_Latn,Latin,Latin,2182,11217,19.45261656,21141,63927,33.07053358
flores,swe_Latn,arb_Arab,Latin,Arabic,435,14164,3.07116634,10565,63927,16.52666323
flores,swe_Latn,hin_Deva,Latin,Devanagari,424,12599,3.36534646,9329,63927,14.59320788
flores,swe_Latn,guj_Gujr,Latin,Gujarati,418,10756,3.88620305,10129,63927,15.84463529
flores,swe_Latn,rus_Cyrl,Latin,Cyrillic,710,17437,4.07180134,13755,63927,21.51673002
flores,swe_Latn,tha_Thai,Latin,Thai,1189,12248,9.70770738,16433,63927,25.70588327
flores,swe_Latn,zho_Hans,Latin,Han,1020,15205,6.70831963,15995,63927,25.02072677
flores,swe_Latn,jpn_Jpan,Latin,Japanese,372,14329,2.59613371,10015,63927,15.66630688
flores,swe_Latn,kor_Hang,Latin,Hangul,925,12771,7.24297236,15979,63927,24.99569822
flores,spa_Latn,eng_Latn,Latin,Latin,3194,13968,22.86655212,40788,71459,57.07888440
flores,spa_Latn,deu_Latn,Latin,Latin,2542,15199,16.72478453,36788,71459,51.48126898
