language_code,eng_Latn,deu_Latn,nld_Latn,swe_Latn,spa_Latn,fra_Latn,ita_Latn,por_Latn,ron_Latn,ind_Latn,zsm_Latn,tgl_Latn,pol_Latn,hun_Latn,tur_Latn,vie_Latn,arb_Arab,hin_Deva,guj_Gujr,rus_Cyrl,tha_Thai,zho_Hans,jpn_Jpan,kor_Hang
eng_Latn,8292,3087,3661,3402,3194,3737,3547,3296,3589,3013,3103,3577,2742,2582,2655,2462,478,505,487,729,1302,1093,410,1011
deu_Latn,3087,8871,3524,3466,2542,2776,2812,2669,2876,2813,2734,2808,2720,2668,2703,2198,446,443,431,727,1225,1080,387,956
nld_Latn,3661,3524,8070,3519,2851,3184,3199,2936,3235,2965,2871,3041,2835,2717,2706,2273,441,439,422,713,1231,1032,383,926
swe_Latn,3402,3466,3519,8522,2832,3037,3131,2897,3133,3057,2957,3070,2927,2890,2832,2182,435,424,418,710,1189,1020,372,925
spa_Latn,3194,2542,2851,2832,8870,3174,3896,5047,3738,2703,2679,2967,2621,2631,2507,2144,425,407,397,698,1134,974,350,851
fra_Latn,3737,2776,3184,3037,3174,8072,3496,3258,3379,2607,2592,2756,2540,2551,2444,2168,416,386,381,682,1138,983,368,865
ita_Latn,3547,2812,3199,3131,3896,3496,8954,3973,4051,2910,2818,3096,2792,2648,2661,2244,453,428,414,724,1198,1030,396,921
por_Latn,3296,2669,2936,2897,5047,3258,3973,8664,3742,2796,2759,2970,2667,2683,2588,2269,456,438,422,708,1185,1002,367,903
ron_Latn,3589,2876,3235,3133,3738,3379,4051,3742,8459,3051,2926,3026,3038,2704,2809,2288,447,436,418,723,1187,1018,370,916
ind_Latn,3013,2813,2965,3057,2703,2607,2910,2796,3051,7948,5974,3603,2766,2672,2960,2275,434,422,424,701,1204,1023,373,903
zsm_Latn,3103,2734,2871,2957,2679,2592,2818,2759,2926,5974,7689,3616,2662,2646,2910,2345,460,495,465,691,1244,1042,398,939
tgl_Latn,3577,2808,3041,3070,2967,2756,3096,2970,3026,3603,3616,7011,2809,2663,2951,2369,468,487,480,702,1241,1066,396,946
pol_Latn,2742,2720,2835,2927,2621,2540,2792,2667,3038,2766,2662,2809,8898,2672,2598,2007,425,412,397,708,1121,975,366,864
hun_Latn,2582,2668,2717,2890,2631,2551,2648,2683,2704,2672,2646,2663,2672,8333,2704,2153,436,430,417,731,1169,1015,379,891
tur_Latn,2655,2703,2706,2832,2507,2444,2661,2588,2809,2960,2910,2951,2598,2704,8081,2179,438,446,434,693,1183,1004,371,900
vie_Latn,2462,2198,2273,2182,2144,2168,2244,2269,2288,2275,2345,2369,2007,2153,2179,4877,456,458,443,704,1203,1004,379,905
arb_Arab,478,446,441,435,425,416,453,456,447,434,460,468,425,436,438,456,6077,356,349,407,421,376,249,374
hin_Deva,505,443,439,424,407,386,428,438,436,422,495,487,412,430,446,458,356,4501,415,401,442,387,238,411
guj_Gujr,487,431,422,418,397,381,414,422,418,424,465,480,397,417,434,443,349,415,2652,400,421,378,246,420
rus_Cyrl,729,727,713,710,698,682,724,708,723,701,691,702,708,731,693,704,407,401,400,9625,609,512,284,506
tha_Thai,1302,1225,1231,1189,1134,1138,1198,1185,1187,1204,1244,1241,1121,1169,1183,1203,421,442,421,609,4915,779,359,747
zho_Hans,1093,1080,1032,1020,974,983,1030,1002,1018,1023,1042,1066,975,1015,1004,1004,376,387,378,512,779,7703,1893,751
jpn_Jpan,410,387,383,372,350,368,396,367,370,373,398,396,366,379,371,379,249,238,246,284,359,1893,6179,361
kor_Hang,1011,956,926,925,851,865,921,903,916,903,939,946,864,891,900,905,374,411,420,506,747,751,361,5174
