condition,language_code,split,examples,encoded_token_count,analysis_token_count
flores,eng_Latn,dev,997,28995,28995
flores,eng_Latn,devtest,1012,30661,30661
flores,deu_Latn,dev,997,33806,33806
flores,deu_Latn,devtest,1012,35921,35921
flores,nld_Latn,dev,997,33050,33050
flores,nld_Latn,devtest,1012,35025,35025
flores,swe_Latn,dev,997,31193,31193
flores,swe_Latn,devtest,1012,32734,32734
flores,spa_Latn,dev,997,34775,34775
flores,spa_Latn,devtest,1012,36684,36684
flores,fra_Latn,dev,997,37445,37445
flores,fra_Latn,devtest,1012,39907,39907
flores,ita_Latn,dev,997,34410,34410
flores,ita_Latn,devtest,1012,36555,36555
flores,por_Latn,dev,997,32314,32314
flores,por_Latn,devtest,1012,34092,34092
flores,ron_Latn,dev,997,35886,35886
flores,ron_Latn,devtest,1012,38148,38148
flores,ind_Latn,dev,997,27289,27289
flores,ind_Latn,devtest,1012,28715,28715
flores,zsm_Latn,dev,997,27734,27734
flores,zsm_Latn,devtest,1012,29030,29030
flores,tgl_Latn,dev,997,41469,41469
flores,tgl_Latn,devtest,1012,43954,43954
flores,pol_Latn,dev,997,34446,34446
flores,pol_Latn,devtest,1012,36445,36445
flores,hun_Latn,dev,997,34193,34193
flores,hun_Latn,devtest,1012,36115,36115
flores,tur_Latn,dev,997,30110,30110
flores,tur_Latn,devtest,1012,31862,31862
flores,vie_Latn,dev,997,34213,34213
flores,vie_Latn,devtest,1012,36101,36101
flores,arb_Arab,dev,997,34193,34193
flores,arb_Arab,devtest,1012,35967,35967
flores,hin_Deva,dev,997,36639,36639
flores,hin_Deva,devtest,1012,38222,38222
flores,guj_Gujr,dev,997,41082,41082
flores,guj_Gujr,devtest,1012,43458,43458
flores,rus_Cyrl,dev,997,34374,34374
flores,rus_Cyrl,devtest,1012,35657,35657
flores,tha_Thai,dev,997,31381,31381
flores,tha_Thai,devtest,1012,33131,33131
flores,zho_Hans,dev,997,28457,28453
flores,zho_Hans,devtest,1012,29430,29423
flores,jpn_Jpan,dev,997,32261,32260
flores,jpn_Jpan,devtest,1012,34153,34152
flores,kor_Hang,dev,997,33568,33559
flores,kor_Hang,devtest,1012,35556,35547
