language_i,language_j,frequency_i_to_j_percent,frequency_j_to_i_percent,absolute_gap_points
eng_Latn,tha_Thai,36.269612,9.049479,27.220133
spa_Latn,tha_Thai,33.622077,8.269779,25.352298
tgl_Latn,vie_Latn,44.602742,20.394232,24.208510
fra_Latn,tha_Thai,32.711501,8.675905,24.035595
eng_Latn,kor_Hang,37.774909,14.204266,23.570644
eng_Latn,vie_Latn,44.565509,21.062662,23.502847
spa_Latn,vie_Latn,43.103038,21.287368,21.815670
eng_Latn,jpn_Jpan,26.585758,5.119557,21.466202
ita_Latn,vie_Latn,42.263087,21.694115,20.568972
fra_Latn,vie_Latn,41.803703,21.648605,20.155098
eng_Latn,zho_Hans,34.730790,14.581174,20.149616
nld_Latn,tha_Thai,28.550863,8.468192,20.082671
por_Latn,tha_Thai,28.885944,8.815414,20.070530
zsm_Latn,tgl_Latn,42.953280,62.829683,19.876403
eng_Latn,zsm_Latn,53.669371,34.021563,19.647808
ita_Latn,tha_Thai,28.075812,8.823165,19.252647
ron_Latn,vie_Latn,39.231974,20.489518,18.742456
ron_Latn,tha_Thai,26.971392,8.362785,18.608606
eng_Latn,ind_Latn,53.439721,34.851082,18.588639
deu_Latn,tha_Thai,27.120054,8.866567,18.253486
hun_Latn,vie_Latn,37.763839,19.535228,18.228611
zho_Hans,jpn_Jpan,49.431543,31.441607,17.989936
por_Latn,vie_Latn,40.287022,22.324146,17.962876
fra_Latn,jpn_Jpan,22.499741,4.934349,17.565392
spa_Latn,jpn_Jpan,22.061602,4.646751,17.414851
spa_Latn,ind_Latn,54.183518,36.811656,17.371862
nld_Latn,vie_Latn,36.803526,19.543761,17.259765
spa_Latn,zho_Hans,30.708518,13.589398,17.119120
fra_Latn,kor_Hang,30.774899,13.836715,16.938185
swe_Latn,tha_Thai,25.705883,8.804563,16.901320
