language_i,language_j,relation,type_iou_percent,shared_token_count,frequency_i_to_j_percent,frequency_j_to_i_percent
ind_Latn,zsm_Latn,within Latin-script,61.823450,5974,88.727591,89.685364
spa_Latn,por_Latn,within Latin-script,40.418035,5047,71.746036,69.084119
zsm_Latn,tgl_Latn,within Latin-script,32.623602,3616,42.953280,62.829683
ind_Latn,tgl_Latn,within Latin-script,31.727721,3603,44.270052,59.447690
eng_Latn,tgl_Latn,within Latin-script,30.504861,3577,59.015019,47.482528
ita_Latn,ron_Latn,within Latin-script,30.317318,4051,60.384697,53.863090
eng_Latn,fra_Latn,within Latin-script,29.595312,3737,58.307630,59.216310
ita_Latn,por_Latn,within Latin-script,29.116893,3973,61.450011,62.661506
eng_Latn,nld_Latn,within Latin-script,28.824502,3661,59.663739,52.572898
spa_Latn,ita_Latn,within Latin-script,27.972430,3896,63.783428,60.240964
por_Latn,ron_Latn,within Latin-script,27.965025,3742,57.377345,52.201691
spa_Latn,ron_Latn,within Latin-script,27.503495,3738,59.491457,50.621336
eng_Latn,ron_Latn,within Latin-script,27.267892,3589,51.620960,49.138234
nld_Latn,swe_Latn,within Latin-script,26.918075,3519,53.367609,47.899948
deu_Latn,nld_Latn,within Latin-script,26.265186,3524,50.892768,52.190966
eng_Latn,ita_Latn,within Latin-script,25.892401,3547,58.575835,56.119214
fra_Latn,ita_Latn,within Latin-script,25.838877,3496,58.679801,58.020151
fra_Latn,ron_Latn,within Latin-script,25.691910,3379,57.601613,49.698787
eng_Latn,swe_Latn,within Latin-script,25.365344,3402,57.489607,48.671141
nld_Latn,tgl_Latn,within Latin-script,25.257475,3041,45.726037,55.806984
tgl_Latn,vie_Latn,within Latin-script,24.887068,2369,44.602742,20.394232
deu_Latn,swe_Latn,within Latin-script,24.886910,3466,46.598878,45.885150
swe_Latn,tgl_Latn,within Latin-script,24.632913,3070,44.843337,52.238858
nld_Latn,fra_Latn,within Latin-script,24.571693,3184,50.153507,58.204054
nld_Latn,ron_Latn,within Latin-script,24.334286,3235,49.116416,45.647946
ron_Latn,tgl_Latn,within Latin-script,24.316940,3026,45.257584,49.547546
tgl_Latn,tur_Latn,within Latin-script,24.306070,2951,51.881812,44.595947
fra_Latn,por_Latn,within Latin-script,24.172726,3258,60.907281,57.097250
eng_Latn,por_Latn,within Latin-script,24.128843,3296,56.492222,52.710598
eng_Latn,zsm_Latn,within Latin-script,24.095356,3103,53.669371,34.021563
