language_code,eng_Latn,deu_Latn,nld_Latn,swe_Latn,spa_Latn,fra_Latn,ita_Latn,por_Latn,ron_Latn,ind_Latn,zsm_Latn,tgl_Latn,pol_Latn,hun_Latn,tur_Latn,vie_Latn,arb_Arab,hin_Deva,guj_Gujr,rus_Cyrl,tha_Thai,zho_Hans,jpn_Jpan,kor_Hang
eng_Latn,100.00000000,21.93094629,28.82450201,25.36534447,22.86655212,29.59531163,25.89240091,24.12884334,27.26789242,22.77916383,24.09535642,30.50486099,18.97840532,18.38638468,19.35413326,22.99430279,3.44107696,4.10970052,4.65716745,4.24133116,10.93658127,7.33458596,2.91586658,8.11722200
deu_Latn,,100.00000000,26.26518596,24.88691032,16.72478453,19.59483306,18.73043362,17.95371990,19.89760620,20.08424961,19.77433820,21.47774208,18.07429065,18.35443038,18.96975226,19.03030303,3.07543787,3.42640575,3.88568338,4.09139513,9.75240825,6.97044017,2.63929619,7.30384292
nld_Latn,,,100.00000000,26.91807542,20.23564483,24.57169316,23.13924051,21.27844615,24.33428614,22.71508465,22.27653631,25.25747508,20.05943536,19.85240392,20.12644106,21.29473487,3.21756895,3.61852951,4.09708738,4.19856318,10.47303046,7.00088189,2.76215203,7.51745413
swe_Latn,,,,100.00000000,19.45054945,22.40171129,21.82642036,20.27433690,22.62420566,22.79132185,22.31024596,24.63291342,20.19595667,20.69459363,20.56495534,19.45261656,3.07116634,3.36534646,3.88620305,4.07180134,9.70770738,6.70831963,2.59613371,7.24297236
spa_Latn,,,,,100.00000000,23.05345729,27.97242964,40.41803476,27.50349496,19.14984060,19.30115274,22.97506582,17.30375652,18.05517431,17.35668790,18.47797983,2.92659413,3.13946313,3.56853933,3.92200933,8.96371828,6.24399000,2.38111436,6.45039036
fra_Latn,,,,,,100.00000000,25.83887657,24.17272592,25.69190998,19.43636770,19.68258790,22.35742679,17.60221760,18.41345460,17.82770443,20.10945181,3.02919974,3.16730943,3.68365078,4.00822803,9.60418601,6.64548405,2.65072391,6.98651159
ita_Latn,,,,,,,100.00000000,29.11689263,30.31731777,20.79759863,20.38336347,24.05781335,18.53917663,18.08866726,18.51259218,19.36653146,3.10742214,3.28548399,3.69907076,4.05488659,9.45466025,6.59115633,2.68711407,6.97357462
por_Latn,,,,,,,,100.00000000,27.96502504,20.23740591,20.29571870,23.37662338,17.90533736,18.74388710,18.28070919,20.12952449,3.19215961,3.44150232,3.87369194,4.02707468,9.56107794,6.52131468,2.53523073,6.98105914
ron_Latn,,,,,,,,,100.00000000,22.84366577,22.12978369,24.31693989,21.21656540,19.19363998,20.45735926,20.70963070,3.17268791,3.48131587,3.90909941,4.16450665,9.73988676,6.72213418,2.59321559,7.20295667
ind_Latn,,,,,,,,,,100.00000000,61.82345027,31.72772103,19.64488636,19.63406569,22.64901676,21.56398104,3.19328968,3.50877193,4.16666667,4.15481271,10.32678617,6.99343724,2.71193835,7.39013013
zsm_Latn,,,,,,,,,,,100.00000000,32.62360159,19.11669659,19.78169856,22.62830482,22.94296057,3.45708703,4.23257802,4.70838396,4.15689105,10.95070423,7.26132404,2.95471418,7.87487420
tgl_Latn,,,,,,,,,,,,100.00000000,21.44274809,20.99992114,24.30607034,24.88706797,3.70839937,4.41723356,5.22704998,4.40567340,11.61441273,7.81066823,3.09520088,8.41711896
pol_Latn,,,,,,,,,,,,,100.00000000,18.35290885,18.06550309,17.05472468,2.92096220,3.17240317,3.55958038,3.97417906,8.83233533,6.23960067,2.48793420,6.54149001
hun_Latn,,,,,,,,,,,,,,100.00000000,19.72283005,19.47182780,3.12008015,3.46662367,3.94587434,4.24333894,9.67795347,6.75720658,2.68166702,7.06246037
tur_Latn,,,,,,,,,,,,,,,100.00000000,20.21523332,3.19241983,3.67501648,4.21400136,4.07335567,10.01439093,6.79296346,2.67117863,7.28450020
vie_Latn,,,,,,,,,,,,,,,,100.00000000,4.34368451,5.13452915,6.25176404,5.10218872,14.00628711,8.67311679,3.54968624,9.89503608
arb_Arab,,,,,,,,,,,,,,,,,100.00000000,3.48268441,4.16467780,2.66100033,3.98259389,2.80513280,2.07379029,3.43844810
hin_Deva,,,,,,,,,,,,,,,,,,100.00000000,6.15909766,2.92167577,4.92533987,3.27494288,2.27925685,4.43652850
guj_Gujr,,,,,,,,,,,,,,,,,,,100.00000000,3.36785384,5.89140778,3.78871404,2.86546302,5.67107750
rus_Cyrl,,,,,,,,,,,,,,,,,,,,100.00000000,4.37154547,3.04471931,1.82989691,3.54019450
tha_Thai,,,,,,,,,,,,,,,,,,,,,100.00000000,6.57994763,3.34420121,7.99614644
zho_Hans,,,,,,,,,,,,,,,,,,,,,,100.00000000,15.78947368,6.19330365
jpn_Jpan,,,,,,,,,,,,,,,,,,,,,,,100.00000000,3.28420670
kor_Hang,,,,,,,,,,,,,,,,,,,,,,,,100.00000000
