source_language_code,eng_Latn,deu_Latn,nld_Latn,swe_Latn,spa_Latn,fra_Latn,ita_Latn,por_Latn,ron_Latn,ind_Latn,zsm_Latn,tgl_Latn,pol_Latn,hun_Latn,tur_Latn,vie_Latn,arb_Arab,hin_Deva,guj_Gujr,rus_Cyrl,tha_Thai,zho_Hans,jpn_Jpan,kor_Hang
eng_Latn,100.00000000,57.36500000,59.87500000,51.11500000,47.18500000,44.41000000,41.07500000,44.26000000,47.48000000,49.53500000,44.47000000,56.84000000,49.49000000,39.20500000,44.43500000,38.18000000,40.78500000,43.66000000,12.97500000,15.64000000,21.87000000,8.77000000,30.27500000,7.17500000
deu_Latn,41.11000000,100.00000000,44.49500000,39.50500000,34.90500000,36.25500000,35.10000000,33.47000000,37.91500000,35.50000000,31.44000000,35.25000000,38.10000000,35.39500000,39.02000000,24.85000000,18.27500000,14.28500000,9.15500000,12.76000000,12.81500000,8.33500000,15.62000000,9.71000000
nld_Latn,38.53500000,41.73500000,100.00000000,39.53000000,34.47000000,34.01500000,29.75500000,32.95500000,37.90500000,35.54000000,34.10000000,34.96500000,38.03000000,36.26000000,33.81000000,17.62500000,14.16500000,15.26000000,8.24000000,11.76500000,9.84000000,4.16000000,11.04500000,5.88500000
swe_Latn,33.59000000,34.60000000,32.88000000,100.00000000,31.39000000,28.46000000,29.62000000,29.07000000,33.96500000,28.66500000,30.61500000,29.58500000,31.54500000,28.47500000,33.46000000,18.39000000,13.86500000,10.81000000,7.65500000,10.19000000,11.88000000,5.43500000,10.73000000,7.27500000
spa_Latn,46.69000000,45.78000000,44.44500000,44.76500000,100.00000000,46.65500000,50.85500000,64.34500000,50.85000000,38.94500000,41.26500000,46.13500000,42.91500000,42.71000000,43.08500000,25.03500000,15.13500000,16.93500000,7.57500000,12.50500000,9.32500000,4.99500000,11.52500000,4.29500000
fra_Latn,48.17000000,44.15000000,47.47500000,44.22500000,47.10500000,100.00000000,47.42500000,51.98500000,50.02500000,43.94000000,41.06000000,44.59500000,43.68000000,39.29000000,42.53500000,24.65000000,18.65500000,25.08500000,14.44000000,19.10500000,13.18000000,6.69000000,20.09000000,7.28000000
ita_Latn,41.99500000,37.19500000,39.58500000,39.12500000,50.49000000,39.07500000,100.00000000,49.60500000,47.10000000,39.30000000,37.53500000,43.44000000,40.74000000,36.26000000,40.78500000,30.37500000,16.75000000,11.56000000,6.81000000,8.74000000,11.19500000,5.81000000,13.32000000,5.53500000
por_Latn,42.51000000,41.16500000,40.20500000,41.07000000,59.81500000,43.52500000,48.54500000,100.00000000,47.39500000,42.83500000,36.88500000,44.95000000,44.27000000,37.68500000,41.04500000,22.55500000,19.95500000,21.97000000,9.42000000,17.04000000,15.92500000,10.31000000,22.64000000,5.35500000
ron_Latn,40.68000000,38.42000000,39.95500000,36.84000000,45.35500000,43.32500000,43.51500000,43.29000000,100.00000000,39.14000000,39.42000000,41.30500000,40.96000000,37.38000000,41.94000000,25.60000000,13.23000000,16.01500000,6.81000000,11.83000000,10.81500000,5.60000000,13.76500000,6.33000000
ind_Latn,24.64000000,26.42000000,24.01000000,27.21500000,24.29000000,21.47000000,21.74000000,22.99000000,24.99500000,100.00000000,81.54500000,42.56000000,22.45000000,24.99500000,31.91500000,16.86000000,10.52500000,9.34000000,3.58500000,5.78500000,6.69500000,4.93000000,7.84000000,4.29500000
