condition,source_language_code,target_language_code,source_script,target_script,shared_token_count,union_token_count,type_iou_percent,source_shared_token_occurrences,source_analysis_token_count,frequency_overlap_percent
classification,eng_Latn,eng_Latn,Latin,Latin,2376,2376,100.00000000,20000,20000,100.00000000
classification,eng_Latn,deu_Latn,Latin,Latin,724,4158,17.41221741,11473,20000,57.36500000
classification,eng_Latn,nld_Latn,Latin,Latin,749,4064,18.43011811,11975,20000,59.87500000
classification,eng_Latn,swe_Latn,Latin,Latin,687,4433,15.49740582,10223,20000,51.11500000
classification,eng_Latn,spa_Latn,Latin,Latin,616,4500,13.68888889,9437,20000,47.18500000
classification,eng_Latn,fra_Latn,Latin,Latin,701,3990,17.56892231,8882,20000,44.41000000
classification,eng_Latn,ita_Latn,Latin,Latin,582,4405,13.21225880,8215,20000,41.07500000
classification,eng_Latn,por_Latn,Latin,Latin,593,4381,13.53572244,8852,20000,44.26000000
classification,eng_Latn,ron_Latn,Latin,Latin,658,4465,14.73684211,9496,20000,47.48000000
classification,eng_Latn,ind_Latn,Latin,Latin,591,4243,13.92882395,9907,20000,49.53500000
classification,eng_Latn,zsm_Latn,Latin,Latin,567,4301,13.18298070,8894,20000,44.47000000
classification,eng_Latn,tgl_Latn,Latin,Latin,761,3852,19.75597092,11368,20000,56.84000000
classification,eng_Latn,pol_Latn,Latin,Latin,590,4693,12.57191562,9898,20000,49.49000000
classification,eng_Latn,hun_Latn,Latin,Latin,429,4691,9.14517161,7841,20000,39.20500000
classification,eng_Latn,tur_Latn,Latin,Latin,503,4721,10.65452235,8887,20000,44.43500000
classification,eng_Latn,vie_Latn,Latin,Latin,316,3566,8.86146943,7636,20000,38.18000000
classification,eng_Latn,arb_Arab,Latin,Arabic,271,5009,5.41026153,8157,20000,40.78500000
classification,eng_Latn,hin_Deva,Latin,Devanagari,215,4442,4.84016209,8732,20000,43.66000000
classification,eng_Latn,guj_Gujr,Latin,Gujarati,38,4614,0.82358041,2595,20000,12.97500000
classification,eng_Latn,rus_Cyrl,Latin,Cyrillic,107,5478,1.95326762,3128,20000,15.64000000
classification,eng_Latn,tha_Thai,Latin,Thai,109,4415,2.46885617,4374,20000,21.87000000
classification,eng_Latn,zho_Hans,Latin,Han,50,5008,0.99840256,1754,20000,8.77000000
classification,eng_Latn,jpn_Jpan,Latin,Japanese,156,4902,3.18237454,6055,20000,30.27500000
classification,eng_Latn,kor_Hang,Latin,Hangul,53,4449,1.19127894,1435,20000,7.17500000
classification,deu_Latn,eng_Latn,Latin,Latin,724,4158,17.41221741,8222,20000,41.11000000
classification,deu_Latn,deu_Latn,Latin,Latin,2506,2506,100.00000000,20000,20000,100.00000000
classification,deu_Latn,nld_Latn,Latin,Latin,764,4179,18.28188562,8899,20000,44.49500000
classification,deu_Latn,swe_Latn,Latin,Latin,703,4547,15.46074335,7901,20000,39.50500000
classification,deu_Latn,spa_Latn,Latin,Latin,471,4775,9.86387435,6981,20000,34.90500000
classification,deu_Latn,fra_Latn,Latin,Latin,538,4283,12.56128882,7251,20000,36.25500000
classification,deu_Latn,ita_Latn,Latin,Latin,489,4628,10.56611927,7020,20000,35.10000000
classification,deu_Latn,por_Latn,Latin,Latin,480,4624,10.38062284,6694,20000,33.47000000
classification,deu_Latn,ron_Latn,Latin,Latin,533,4720,11.29237288,7583,20000,37.91500000
classification,deu_Latn,ind_Latn,Latin,Latin,502,4462,11.25056029,7100,20000,35.50000000
classification,deu_Latn,zsm_Latn,Latin,Latin,450,4548,9.89445910,6288,20000,31.44000000
classification,deu_Latn,tgl_Latn,Latin,Latin,538,4205,12.79429251,7050,20000,35.25000000
classification,deu_Latn,pol_Latn,Latin,Latin,500,4913,10.17708121,7620,20000,38.10000000
classification,deu_Latn,hun_Latn,Latin,Latin,433,4817,8.98899730,7079,20000,35.39500000
classification,deu_Latn,tur_Latn,Latin,Latin,484,4870,9.93839836,7804,20000,39.02000000
classification,deu_Latn,vie_Latn,Latin,Latin,254,3758,6.75891432,4970,20000,24.85000000
classification,deu_Latn,arb_Arab,Latin,Arabic,162,5248,3.08689024,3655,20000,18.27500000
classification,deu_Latn,hin_Deva,Latin,Devanagari,116,4671,2.48340826,2857,20000,14.28500000
classification,deu_Latn,guj_Gujr,Latin,Gujarati,30,4752,0.63131313,1831,20000,9.15500000
