language_code,eng_Latn,deu_Latn,nld_Latn,swe_Latn,spa_Latn,fra_Latn,ita_Latn,por_Latn,ron_Latn,ind_Latn,zsm_Latn,tgl_Latn,pol_Latn,hun_Latn,tur_Latn,vie_Latn,arb_Arab,hin_Deva,guj_Gujr,rus_Cyrl,tha_Thai,zho_Hans,jpn_Jpan,kor_Hang
eng_Latn,2376,724,749,687,616,701,582,593,658,591,567,761,590,429,503,316,271,215,38,107,109,50,156,53
deu_Latn,724,2506,764,703,471,538,489,480,533,502,450,538,500,433,484,254,162,116,30,88,96,38,127,51
nld_Latn,749,764,2437,640,502,559,496,479,551,499,454,556,539,419,480,243,181,133,35,83,94,31,129,46
swe_Latn,687,703,640,2744,518,491,511,496,539,523,520,555,545,471,525,241,158,123,33,92,84,41,127,55
spa_Latn,616,471,502,518,2740,530,684,1005,658,482,508,548,507,453,468,258,153,107,33,91,88,42,123,53
fra_Latn,701,538,559,491,530,2315,520,503,563,422,414,485,424,400,430,246,152,121,32,81,91,38,123,49
ita_Latn,582,489,496,511,684,520,2611,682,665,454,456,469,464,390,444,249,135,114,31,88,81,38,118,44
por_Latn,593,480,479,496,1005,503,682,2598,603,456,445,499,482,422,438,251,145,112,30,90,86,42,117,51
ron_Latn,658,533,551,539,658,563,665,603,2747,521,524,507,529,413,507,274,158,117,28,93,93,37,124,49
ind_Latn,591,502,499,523,482,422,454,456,521,2458,1259,637,490,412,515,242,159,109,35,91,90,40,123,48
zsm_Latn,567,450,454,520,508,414,456,445,524,1259,2492,615,490,404,536,243,150,113,30,82,80,39,113,54
tgl_Latn,761,538,556,555,548,485,469,499,507,637,615,2237,511,431,531,288,182,132,36,88,91,43,135,51
pol_Latn,590,500,539,545,507,424,464,482,529,490,490,511,2907,446,498,228,144,111,34,84,81,36,121,45
hun_Latn,429,433,419,471,453,400,390,422,413,412,404,431,446,2744,449,221,120,88,30,87,71,33,108,45
tur_Latn,503,484,480,525,468,430,444,438,507,515,536,531,498,449,2848,239,140,97,30,90,85,36,109,49
vie_Latn,316,254,243,241,258,246,249,251,274,242,243,288,228,221,239,1506,114,86,20,64,78,32,91,39
arb_Arab,271,162,181,158,153,152,135,145,158,159,150,182,144,120,140,114,2904,73,20,46,52,26,77,33
hin_Deva,215,116,133,123,107,121,114,112,117,109,113,132,111,88,97,86,73,2281,19,38,36,18,53,25
guj_Gujr,38,30,35,33,33,32,31,30,28,35,30,36,34,30,30,20,20,19,2276,10,11,4,15,7
rus_Cyrl,107,88,83,92,91,81,88,90,93,91,82,88,84,87,90,64,46,38,10,3209,36,29,51,32
tha_Thai,109,96,94,84,88,91,81,86,93,90,80,91,81,71,85,78,52,36,11,36,2148,20,52,31
zho_Hans,50,38,31,41,42,38,38,42,37,40,39,43,36,33,36,32,26,18,4,29,20,2682,439,28
jpn_Jpan,156,127,129,127,123,123,118,117,124,123,113,135,121,108,109,91,77,53,15,51,52,439,2682,39
kor_Hang,53,51,46,55,53,49,44,51,49,48,54,51,45,45,49,39,33,25,7,32,31,28,39,2126
