condition,language_code,split,examples,encoded_token_count,analysis_token_count
classification,eng_Latn,MassiveIntentClassification|test|text,1445,11684,11684
classification,eng_Latn,MassiveIntentClassification|validation|text,1022,8316,8316
classification,deu_Latn,MassiveIntentClassification|test|text,1083,10196,10196
classification,deu_Latn,MassiveIntentClassification|validation|text,1022,9804,9804
classification,nld_Latn,MassiveIntentClassification|test|text,1148,10670,10670
classification,nld_Latn,MassiveIntentClassification|validation|text,1031,9330,9330
classification,swe_Latn,MassiveIntentClassification|test|text,1397,11586,11586
classification,swe_Latn,MassiveIntentClassification|validation|text,1010,8414,8414
classification,spa_Latn,MassiveIntentClassification|test|text,1252,10949,10949
classification,spa_Latn,MassiveIntentClassification|validation|text,1006,9051,9051
classification,fra_Latn,MassiveIntentClassification|test|text,849,9115,9115
classification,fra_Latn,MassiveIntentClassification|validation|text,1039,10885,10885
classification,ita_Latn,MassiveIntentClassification|test|text,1265,11122,11122
classification,ita_Latn,MassiveIntentClassification|validation|text,988,8878,8878
classification,por_Latn,MassiveIntentClassification|test|text,1240,11128,11128
classification,por_Latn,MassiveIntentClassification|validation|text,993,8872,8872
classification,ron_Latn,MassiveIntentClassification|test|text,1205,10706,10706
classification,ron_Latn,MassiveIntentClassification|validation|text,1029,9294,9294
classification,ind_Latn,MassiveIntentClassification|test|text,1509,11932,11932
classification,ind_Latn,MassiveIntentClassification|validation|text,1035,8068,8068
classification,zsm_Latn,MassiveIntentClassification|test|text,1476,11758,11758
classification,zsm_Latn,MassiveIntentClassification|validation|text,1029,8242,8242
classification,tgl_Latn,MassiveIntentClassification|test|text,831,8885,8885
classification,tgl_Latn,MassiveIntentClassification|validation|text,1022,11115,11115
classification,pol_Latn,MassiveIntentClassification|test|text,1202,10726,10726
classification,pol_Latn,MassiveIntentClassification|validation|text,1010,9274,9274
classification,hun_Latn,MassiveIntentClassification|test|text,1000,9967,9967
classification,hun_Latn,MassiveIntentClassification|validation|text,985,10033,10033
classification,tur_Latn,MassiveIntentClassification|test|text,1459,11994,11994
classification,tur_Latn,MassiveIntentClassification|validation|text,993,8006,8006
classification,vie_Latn,MassiveIntentClassification|test|text,950,9574,9574
classification,vie_Latn,MassiveIntentClassification|validation|text,1012,10426,10426
classification,arb_Arab,MassiveIntentClassification|test|text,1370,11781,11781
classification,arb_Arab,MassiveIntentClassification|validation|text,977,8219,8219
classification,hin_Deva,MassiveIntentClassification|test|text,1045,10196,10196
classification,hin_Deva,MassiveIntentClassification|validation|text,1013,9804,9804
classification,guj_Gujr,GujaratiNewsClassification|test|text,919,20000,20000
classification,rus_Cyrl,MassiveIntentClassification|test|text,1257,11181,11181
classification,rus_Cyrl,MassiveIntentClassification|validation|text,977,8819,8819
classification,tha_Thai,MassiveIntentClassification|test|text,1169,10930,10930
classification,tha_Thai,MassiveIntentClassification|validation|text,979,9070,9070
classification,zho_Hans,MassiveIntentClassification|test|text,1510,11836,11835
classification,zho_Hans,MassiveIntentClassification|validation|text,1058,8165,8165
classification,jpn_Jpan,MassiveIntentClassification|test|text,1195,11005,11005
classification,jpn_Jpan,MassiveIntentClassification|validation|text,988,8995,8995
classification,kor_Hang,MassiveIntentClassification|test|text,1305,11288,11287
classification,kor_Hang,MassiveIntentClassification|validation|text,1000,8713,8713
