condition,language_code,token_id,token,count,frequency_percent
classification,eng_Latn,5,.,219,1.09500000
classification,eng_Latn,6,▁,89,0.44500000
classification,eng_Latn,7,s,571,2.85500000
classification,eng_Latn,8,▁de,6,0.03000000
classification,eng_Latn,9,-,7,0.03500000
classification,eng_Latn,10,▁a,342,1.71000000
classification,eng_Latn,11,a,18,0.09000000
classification,eng_Latn,13,e,32,0.16000000
classification,eng_Latn,14,i,6,0.03000000
classification,eng_Latn,17,▁i,374,1.87000000
classification,eng_Latn,18,t,27,0.13500000
classification,eng_Latn,19,n,23,0.11500000
classification,eng_Latn,21,▁la,3,0.01500000
classification,eng_Latn,22,▁en,2,0.01000000
classification,eng_Latn,23,▁in,275,1.37500000
classification,eng_Latn,24,▁na,4,0.02000000
classification,eng_Latn,25,',221,1.10500000
classification,eng_Latn,28,▁e,9,0.04500000
classification,eng_Latn,31,o,4,0.02000000
classification,eng_Latn,33,en,17,0.08500000
classification,eng_Latn,34,u,4,0.02000000
classification,eng_Latn,36,▁o,98,0.49000000
classification,eng_Latn,39,m,10,0.05000000
classification,eng_Latn,40,▁se,2,0.01000000
classification,eng_Latn,41,▁que,8,0.04000000
classification,eng_Latn,42,r,3,0.01500000
classification,eng_Latn,45,▁di,1,0.00500000
classification,eng_Latn,47,▁to,510,2.55000000
classification,eng_Latn,48,▁da,6,0.03000000
classification,eng_Latn,51,▁un,5,0.02500000
classification,eng_Latn,53,y,48,0.24000000
classification,eng_Latn,54,▁do,125,0.62500000
classification,eng_Latn,55,▁je,7,0.03500000
classification,eng_Latn,56,er,47,0.23500000
classification,eng_Latn,57,▁sa,10,0.05000000
classification,eng_Latn,66,an,10,0.05000000
classification,eng_Latn,67,te,27,0.13500000
classification,eng_Latn,68,▁die,1,0.00500000
classification,eng_Latn,70,▁the,889,4.44500000
classification,eng_Latn,71,d,21,0.10500000
classification,eng_Latn,72,▁er,1,0.00500000
classification,eng_Latn,73,in,4,0.02000000
classification,eng_Latn,75,▁u,20,0.10000000
classification,eng_Latn,76,na,5,0.02500000
classification,eng_Latn,78,▁si,2,0.01000000
classification,eng_Latn,79,▁ja,13,0.06500000
classification,eng_Latn,81,▁v,2,0.01000000
classification,eng_Latn,83,▁is,368,1.84000000
classification,eng_Latn,85,da,4,0.02000000
classification,eng_Latn,86,ne,28,0.14000000
classification,eng_Latn,88,▁el,3,0.01500000
classification,eng_Latn,90,es,35,0.17500000
classification,eng_Latn,91,▁s,20,0.10000000
classification,eng_Latn,92,k,26,0.13000000
classification,eng_Latn,93,ni,3,0.01500000
classification,eng_Latn,95,▁le,5,0.02500000
classification,eng_Latn,96,▁l,6,0.03000000
classification,eng_Latn,97,▁z,1,0.00500000
classification,eng_Latn,98,▁on,229,1.14500000
classification,eng_Latn,99,▁at,120,0.60000000
classification,eng_Latn,100,▁for,283,1.41500000
classification,eng_Latn,104,▁d,7,0.03500000
classification,eng_Latn,107,re,3,0.01500000
classification,eng_Latn,108,▁ne,2,0.01000000
classification,eng_Latn,110,▁no,6,0.03000000
classification,eng_Latn,111,▁of,206,1.03000000
classification,eng_Latn,112,de,2,0.01000000
classification,eng_Latn,115,▁du,4,0.02000000
classification,eng_Latn,117,▁per,2,0.01000000
classification,eng_Latn,118,ti,1,0.00500000
classification,eng_Latn,120,▁te,4,0.02000000
classification,eng_Latn,122,▁der,1,0.00500000
classification,eng_Latn,123,▁dan,3,0.01500000
classification,eng_Latn,126,et,3,0.01500000
classification,eng_Latn,127,h,15,0.07500000
classification,eng_Latn,133,le,3,0.01500000
classification,eng_Latn,136,▁and,135,0.67500000
classification,eng_Latn,141,l,2,0.01000000
classification,eng_Latn,142,▁an,75,0.37500000
classification,eng_Latn,143,la,3,0.01500000
classification,eng_Latn,144,▁al,4,0.02000000
