language_i,language_j,frequency_i_to_j_percent,frequency_j_to_i_percent,absolute_gap_points
eng_Latn,hin_Deva,43.660000,3.490000,40.170000
eng_Latn,arb_Arab,40.785000,6.040000,34.745000
eng_Latn,ind_Latn,49.535000,24.640000,24.895000
eng_Latn,vie_Latn,38.180000,13.770000,24.410000
fra_Latn,zsm_Latn,41.060000,17.605000,23.455000
eng_Latn,zsm_Latn,44.470000,21.085000,23.385000
fra_Latn,ind_Latn,43.940000,21.470000,22.470000
fra_Latn,hin_Deva,25.085000,2.860000,22.225000
eng_Latn,nld_Latn,59.875000,38.535000,21.340000
por_Latn,ind_Latn,42.835000,22.990000,19.845000
spa_Latn,zsm_Latn,41.265000,21.615000,19.650000
por_Latn,hin_Deva,21.970000,2.770000,19.200000
ita_Latn,zsm_Latn,37.535000,18.405000,19.130000
eng_Latn,jpn_Jpan,30.275000,11.940000,18.335000
ron_Latn,zsm_Latn,39.420000,21.135000,18.285000
ita_Latn,ind_Latn,39.300000,21.740000,17.560000
eng_Latn,swe_Latn,51.115000,33.590000,17.525000
hin_Deva,tha_Thai,2.210000,18.955000,16.745000
por_Latn,zsm_Latn,36.885000,20.280000,16.605000
ita_Latn,vie_Latn,30.375000,13.915000,16.460000
zsm_Latn,hun_Latn,23.295000,39.735000,16.440000
eng_Latn,deu_Latn,57.365000,41.110000,16.255000
rus_Cyrl,tha_Thai,2.760000,18.950000,16.190000
eng_Latn,tur_Latn,44.435000,28.270000,16.165000
hun_Latn,arb_Arab,20.825000,4.835000,15.990000
eng_Latn,pol_Latn,49.490000,33.595000,15.895000
swe_Latn,fra_Latn,28.460000,44.225000,15.765000
fra_Latn,rus_Cyrl,19.105000,3.525000,15.580000
nld_Latn,zsm_Latn,34.100000,18.590000,15.510000
arb_Arab,tha_Thai,4.010000,19.065000,15.055000
