language_i,language_j,relation,type_iou_percent,shared_token_count,frequency_i_to_j_percent,frequency_j_to_i_percent
ind_Latn,zsm_Latn,within Latin-script,34.109997,1259,81.545000,78.465000
spa_Latn,por_Latn,within Latin-script,23.194092,1005,64.345000,59.815000
eng_Latn,tgl_Latn,within Latin-script,19.755971,761,56.840000,43.150000
eng_Latn,nld_Latn,within Latin-script,18.430118,749,59.875000,38.535000
deu_Latn,nld_Latn,within Latin-script,18.281886,764,44.495000,41.735000
eng_Latn,fra_Latn,within Latin-script,17.568922,701,44.410000,48.170000
eng_Latn,deu_Latn,within Latin-script,17.412217,724,57.365000,41.110000
ind_Latn,tgl_Latn,within Latin-script,15.697388,637,42.560000,53.475000
eng_Latn,swe_Latn,within Latin-script,15.497406,687,51.115000,33.590000
deu_Latn,swe_Latn,within Latin-script,15.460743,703,39.505000,34.600000
ita_Latn,por_Latn,within Latin-script,15.065165,682,49.605000,48.545000
zsm_Latn,tgl_Latn,within Latin-script,14.948955,615,38.005000,47.235000
eng_Latn,ron_Latn,within Latin-script,14.736842,658,47.480000,40.680000
spa_Latn,ita_Latn,within Latin-script,14.656096,684,50.855000,50.490000
ita_Latn,ron_Latn,within Latin-script,14.170040,665,47.100000,43.515000
nld_Latn,swe_Latn,within Latin-script,14.093812,640,39.530000,32.880000
eng_Latn,ind_Latn,within Latin-script,13.928824,591,49.535000,24.640000
eng_Latn,spa_Latn,within Latin-script,13.688889,616,47.185000,46.690000
spa_Latn,ron_Latn,within Latin-script,13.626010,658,50.850000,45.355000
eng_Latn,por_Latn,within Latin-script,13.535722,593,44.260000,42.510000
nld_Latn,tgl_Latn,within Latin-script,13.501700,556,34.965000,36.850000
nld_Latn,fra_Latn,within Latin-script,13.331743,559,34.015000,47.475000
eng_Latn,ita_Latn,within Latin-script,13.212259,582,41.075000,41.995000
eng_Latn,zsm_Latn,within Latin-script,13.182981,567,44.470000,21.085000
deu_Latn,tgl_Latn,within Latin-script,12.794293,538,35.250000,35.345000
por_Latn,ron_Latn,within Latin-script,12.716154,603,47.395000,43.290000
eng_Latn,pol_Latn,within Latin-script,12.571916,590,49.490000,33.595000
deu_Latn,fra_Latn,within Latin-script,12.561289,538,36.255000,44.150000
swe_Latn,tgl_Latn,within Latin-script,12.539539,555,29.585000,39.465000
fra_Latn,ron_Latn,within Latin-script,12.513892,563,50.025000,43.325000
