language_code,eng_Latn,deu_Latn,nld_Latn,swe_Latn,spa_Latn,fra_Latn,ita_Latn,por_Latn,ron_Latn,ind_Latn,zsm_Latn,tgl_Latn,pol_Latn,hun_Latn,tur_Latn,vie_Latn,arb_Arab,hin_Deva,guj_Gujr,rus_Cyrl,tha_Thai,zho_Hans,jpn_Jpan,kor_Hang
eng_Latn,100.00000000,17.41221741,18.43011811,15.49740582,13.68888889,17.56892231,13.21225880,13.53572244,14.73684211,13.92882395,13.18298070,19.75597092,12.57191562,9.14517161,10.65452235,8.86146943,5.41026153,4.84016209,0.82358041,1.95326762,2.46885617,0.99840256,3.18237454,1.19127894
deu_Latn,,100.00000000,18.28188562,15.46074335,9.86387435,12.56128882,10.56611927,10.38062284,11.29237288,11.25056029,9.89445910,12.79429251,10.17708121,8.98899730,9.93839836,6.75891432,3.08689024,2.48340826,0.63131313,1.56388840,2.10618692,0.73786408,2.50938550,1.11329404
nld_Latn,,,100.00000000,14.09381194,10.73796791,13.33174338,10.89630931,10.51360843,11.89294194,11.35122839,10.14525140,13.50169985,11.21748179,8.79882402,9.98959417,6.56756757,3.50775194,2.90076336,0.74818298,1.49200072,2.09307504,0.60927673,2.58517034,1.01837503
swe_Latn,,,,100.00000000,10.43093033,10.74868651,10.54913295,10.23524556,10.88449111,11.17760205,11.02629347,12.53953909,10.67371720,9.38808053,10.36116045,6.01147418,2.87795993,2.50917993,0.66172047,1.56969800,1.74708819,0.76137419,2.39667862,1.14226376
spa_Latn,,,,,100.00000000,11.71270718,14.65609599,23.19409185,13.62600953,10.22052587,10.75359865,12.37299616,9.86381323,9.00417412,9.14062500,6.46940822,2.78637771,2.17745218,0.66225166,1.55343121,1.83333333,0.78066914,2.32119268,1.10118429
fra_Latn,,,,,,100.00000000,11.80208806,11.40589569,12.51389198,9.69891979,9.42408377,11.92525203,8.83701542,8.58553338,9.08514684,6.88111888,2.99980264,2.70391061,0.70190831,1.48814992,2.08142726,0.76628352,2.52359458,1.11566485
ita_Latn,,,,,,,100.00000000,15.06516457,14.17004049,9.83748646,9.81278244,10.71020781,9.18084685,7.85498489,8.85343968,6.43743537,2.50929368,2.38593554,0.63838550,1.53524075,1.73150919,0.72312084,2.28019324,0.93756659
por_Latn,,,,,,,,100.00000000,12.71615352,9.91304348,9.58019376,11.50830258,9.59585905,8.57723577,8.74600639,6.51440436,2.70673885,2.34948605,0.61932287,1.57425223,1.84549356,0.80183276,2.26612435,1.09137599
ron_Latn,,,,,,,,,100.00000000,11.12297182,11.11346766,11.32454769,10.32195122,8.13312328,9.96462264,6.88615230,2.87638813,2.38240684,0.56056056,1.58621866,1.93669304,0.68620178,2.33741753,1.01575456
ind_Latn,,,,,,,,,,100.00000000,34.10999729,15.69738788,10.05128205,8.60125261,10.74932164,6.50188071,3.05592927,2.35421166,0.74483933,1.63199426,1.99291408,0.78431373,2.45166434,1.05820106
zsm_Latn,,,,,,,,,,,100.00000000,14.94895479,9.98166633,8.36092715,11.15736886,6.47137150,2.85932139,2.42489270,0.63317856,1.45933440,1.75438596,0.75949367,2.23276032,1.18317266
tgl_Latn,,,,,,,,,,,,100.00000000,11.02957047,9.47252747,11.66007905,8.33574530,3.67009478,3.00957592,0.80410990,1.64240388,2.11923614,0.88187039,2.82190635,1.18274583
pol_Latn,,,,,,,,,,,,,100.00000000,8.56868396,9.47308351,5.44802867,2.54102700,2.18633051,0.66032239,1.39257294,1.62846803,0.64829822,2.21287491,0.90216520
hun_Latn,,,,,,,,,,,,,,100.00000000,8.73031305,5.48523207,2.17076700,1.78245898,0.60120240,1.48312308,1.47272350,0.61190432,2.03083866,0.93264249
tur_Latn,,,,,,,,,,,,,,,100.00000000,5.80801944,2.49465431,1.92766296,0.58892815,1.50829563,1.73080839,0.65526028,2.01069913,0.99492386
vie_Latn,,,,,,,,,,,,,,,,100.00000000,2.65363128,2.32369630,0.53163211,1.37604816,2.18120805,0.76997113,2.22113742,1.08544392
arb_Arab,,,,,,,,,,,,,,,,,100.00000000,1.42801252,0.38759690,0.75820010,1.04000000,0.46762590,1.39771283,0.66039624
hin_Deva,,,,,,,,,,,,,,,,,,100.00000000,0.41868665,0.69699193,0.81948555,0.36400404,1.07942974,0.57051575
guj_Gujr,,,,,,,,,,,,,,,,,,,100.00000000,0.18264840,0.24926354,0.08074283,0.30345944,0.15927190
rus_Cyrl,,,,,,,,,,,,,,,,,,,,100.00000000,0.67656456,0.49471170,0.87328767,0.60343202
tha_Thai,,,,,,,,,,,,,,,,,,,,,100.00000000,0.41580042,1.08832147,0.73061513
zho_Hans,,,,,,,,,,,,,,,,,,,,,,100.00000000,8.91370558,0.58577406
jpn_Jpan,,,,,,,,,,,,,,,,,,,,,,,100.00000000,0.81778151
kor_Hang,,,,,,,,,,,,,,,,,,,,,,,,100.00000000
