source_language_code,eng_Latn,deu_Latn,nld_Latn,swe_Latn,spa_Latn,fra_Latn,ita_Latn,por_Latn,ron_Latn,ind_Latn,zsm_Latn,tgl_Latn,pol_Latn,hun_Latn,tur_Latn,vie_Latn,arb_Arab,hin_Deva,guj_Gujr,rus_Cyrl,tha_Thai,zho_Hans,jpn_Jpan,kor_Hang
eng_Latn,100.00000000,45.38588506,50.09253239,51.71309958,40.54919222,49.08718051,47.62166758,42.37483119,43.67028460,43.20512179,44.31551043,46.45125794,40.68924123,39.89396289,43.35017256,32.94653129,11.33896864,10.87380583,11.34897214,24.13844846,27.83474216,26.60431151,13.48471965,25.21882659
deu_Latn,39.44183255,100.00000000,42.91787536,39.21176353,36.87106132,32.51475443,35.48564569,35.99579874,35.91577473,36.26087826,36.25587676,33.25497649,35.17055117,36.69100730,37.30619186,28.22346704,12.76883065,12.33870161,12.45873762,18.15044513,20.25107532,19.68090427,13.19395819,21.97159148
nld_Latn,45.63000000,45.35000000,100.00000000,46.14000000,38.59500000,39.51500000,42.33500000,38.38500000,40.05000000,39.30500000,39.54000000,38.25000000,39.92000000,44.35500000,40.73000000,29.29000000,10.05000000,10.37000000,9.99000000,15.54000000,22.35000000,18.12500000,10.66500000,23.53500000
swe_Latn,41.97919792,37.90379038,40.26902690,100.00000000,40.68906891,38.12881288,41.00910091,37.86378638,42.02920292,40.77407741,38.73387339,38.58885889,38.12381238,37.02370237,42.54425443,27.26272627,12.56125613,10.84108411,10.91609161,17.97179718,19.92699270,20.42704270,12.55625563,21.04710471
spa_Latn,47.80500000,40.30500000,44.09500000,46.91000000,100.00000000,50.47500000,55.01500000,63.77000000,51.79500000,44.40500000,46.07000000,49.64500000,42.71000000,46.58000000,45.93000000,33.35500000,10.44000000,10.23500000,10.12000000,17.34000000,24.35000000,18.74500000,12.73500000,21.93500000
fra_Latn,52.35761788,41.18205910,44.19220961,46.49232462,50.13750688,100.00000000,47.48737437,51.70758538,50.52752638,39.05195260,42.31211561,42.88214411,42.60713036,44.60723036,43.28716436,36.14680734,8.93544677,9.76048802,11.16555828,17.86589329,25.96629831,17.91589579,13.15065753,23.23116156
ita_Latn,48.73949580,36.98479392,45.21308523,43.75750300,50.53021208,47.46398559,100.00000000,53.26130452,51.85074030,40.50620248,39.83593437,45.01300520,40.15106042,42.91216487,41.99179672,32.44797919,9.50880352,10.32412965,10.77931172,13.99059624,19.22769108,16.43157263,9.40376150,18.57242897
por_Latn,46.00230012,37.68188409,41.37706885,42.78213911,61.46307315,47.81739087,54.42272114,100.00000000,49.26746337,43.49217461,43.27216361,45.78728936,43.58717936,42.86214311,43.47717386,32.28161408,10.87054353,10.94554728,10.57052853,16.06580329,24.15120756,20.68103405,13.36066803,22.21611081
ron_Latn,42.73000000,35.75000000,39.24500000,39.28000000,43.29500000,41.94000000,46.08500000,42.90000000,100.00000000,39.33500000,39.07500000,37.68500000,40.29500000,38.57000000,37.98000000,29.04000000,10.42500000,11.87500000,9.49000000,12.23000000,20.12000000,17.32000000,10.71500000,20.14500000
ind_Latn,30.65419626,29.72891868,33.62008603,33.59007702,31.25937781,26.81804541,31.43443033,32.44473342,30.86425928,100.00000000,82.58977693,36.96608983,28.46353906,31.86455937,35.28058418,24.07222167,11.76853056,11.22336701,11.66850055,13.51905572,15.77973392,17.31519456,11.21836551,15.59467840
zsm_Latn,30.07304383,27.71162698,32.14928957,32.29437663,30.85851511,26.14068441,29.74784871,30.95357214,29.57274365,82.68961377,100.00000000,34.69081449,27.70662397,30.39823894,33.53512107,23.75925555,10.85151091,11.15169101,10.64138483,12.56253752,15.48429057,16.92515509,10.69141485,14.82389434
tgl_Latn,41.76379371,41.17352809,40.59326697,41.58871492,48.88199690,38.83747686,38.97253764,41.01345606,43.25946676,52.00340153,44.50002501,100.00000000,42.91931369,36.04121855,46.62598169,37.14671602,9.20414186,8.84898204,8.23870742,11.30508729,16.03221450,16.90260617,9.13411035,14.46650993
pol_Latn,37.83202441,33.92026412,41.06347857,34.90570757,33.79020559,31.54919714,35.12580661,34.30543745,37.51688260,35.13080886,35.57600920,33.74018308,100.00000000,38.14716622,37.85703567,27.95257866,10.69981492,11.47516382,9.91446151,13.30098544,19.39372718,20.02401080,11.11500175,18.21819819
hun_Latn,35.75500000,35.56000000,37.22000000,37.70500000,37.51500000,34.14000000,35.59500000,36.12500000,37.81000000,36.43000000,38.13500000,36.55500000,38.42000000,100.00000000,40.69500000,26.96000000,13.36500000,13.30000000,13.00000000,15.80000000,19.22500000,20.77000000,13.83000000,20.52000000
tur_Latn,35.97079124,32.78483545,33.21996599,36.17085126,34.15524657,33.25997799,34.76542963,33.45503651,34.83044913,38.82664799,39.29678904,37.49624887,33.15994798,37.06611984,100.00000000,26.11283385,10.78323497,10.18305492,11.85355607,14.79443833,18.85065520,17.55526658,10.21306392,18.63058918
vie_Latn,18.34500000,17.00000000,17.22500000,17.21000000,16.92000000,17.58500000,17.51500000,19.64000000,17.61500000,17.08000000,17.68500000,16.81500000,18.04000000,16.56000000,17.38500000,100.00000000,8.39500000,8.34500000,8.44000000,9.63500000,11.72000000,11.63000000,8.37500000,11.55500000
arb_Arab,7.21824821,7.18823471,6.41788805,7.16322345,6.35285879,6.14276424,7.00315142,7.14821670,6.35786104,7.17322795,6.49792407,7.07818518,6.28782952,7.09819419,7.22325046,7.08818969,100.00000000,6.34285428,6.94312441,7.05817618,6.92311540,6.93812215,5.75258866,6.98314241
hin_Deva,8.23288151,7.88275897,7.89276247,7.89776422,7.75771520,7.54263992,7.73270645,7.98279398,7.90776772,8.09283249,8.20287100,7.90276597,7.84774671,7.94277997,8.20287100,8.07282549,7.71770120,100.00000000,7.74270995,7.78772570,7.98279398,8.07282549,7.05246836,7.91276947
guj_Gujr,9.65030767,9.60028015,8.83986192,9.52023613,8.71479314,8.43463905,9.43518935,9.56526089,8.74981240,9.62529391,8.91990595,9.53024163,8.66476562,9.54024714,9.66531592,9.58026915,9.30011506,8.70979038,100.00000000,9.39516734,9.38516184,9.37015358,8.06443544,9.54524989
rus_Cyrl,12.91000000,12.65000000,11.99000000,12.97000000,11.59000000,11.60000000,12.29500000,12.89000000,11.66000000,12.61000000,12.15500000,12.24000000,11.79500000,12.93000000,12.98500000,12.73500000,11.62500000,11.28500000,11.96000000,100.00000000,11.84500000,11.94000000,10.08000000,12.02000000
tha_Thai,8.82352941,8.40836335,7.93817527,8.60344138,7.94317727,7.60804322,8.26330532,8.47839136,7.90316126,8.71348539,8.40336134,8.06322529,7.87314926,8.44837935,8.59343737,8.16326531,6.77771108,6.44757903,6.82773109,7.29791917,100.00000000,7.82312925,5.76730692,7.65306122
zho_Hans,14.02500000,13.89000000,13.53500000,13.69000000,12.88500000,13.10000000,12.90500000,13.14500000,13.05000000,14.11000000,13.89500000,12.83000000,13.48000000,13.16000000,13.78000000,13.44000000,11.76500000,12.13500000,11.67500000,12.47500000,12.44500000,100.00000000,42.95000000,13.25000000
jpn_Jpan,4.68640592,4.78143443,4.63639092,4.50135041,4.09622887,4.03120936,4.26627988,4.20626188,4.17625288,4.62638792,4.45633690,4.26627988,4.52635791,4.08122437,4.73141943,4.49634890,4.11623487,4.06121837,3.92117635,4.12623787,3.91617485,28.58357507,100.00000000,4.64639392
kor_Hang,14.26999450,13.88485970,12.87450608,13.83484219,12.03921372,12.28930126,12.98454459,13.25964087,12.10423648,13.92487371,12.94453059,12.96953934,12.61941680,13.19461812,14.00490172,13.64477567,12.48436953,11.59905967,12.17426099,12.98954634,12.81448507,13.46471265,11.12389336,100.00000000
