condition,source_language_code,target_language_code,source_script,target_script,shared_token_count,union_token_count,type_iou_percent,source_shared_token_occurrences,source_analysis_token_count,frequency_overlap_percent
clustering,eng_Latn,eng_Latn,Latin,Latin,4805,4805,100.00000000,19993,19993,100.00000000
clustering,eng_Latn,deu_Latn,Latin,Latin,1160,8590,13.50407451,9074,19993,45.38588506
clustering,eng_Latn,nld_Latn,Latin,Latin,1422,7863,18.08470050,10015,19993,50.09253239
clustering,eng_Latn,swe_Latn,Latin,Latin,1358,8199,16.56299549,10339,19993,51.71309958
clustering,eng_Latn,spa_Latn,Latin,Latin,1176,8313,14.14651750,8107,19993,40.54919222
clustering,eng_Latn,fra_Latn,Latin,Latin,1365,7670,17.79661017,9814,19993,49.08718051
clustering,eng_Latn,ita_Latn,Latin,Latin,1284,8339,15.39752968,9521,19993,47.62166758
clustering,eng_Latn,por_Latn,Latin,Latin,1238,8287,14.93906118,8472,19993,42.37483119
clustering,eng_Latn,ron_Latn,Latin,Latin,1323,7972,16.59558455,8731,19993,43.67028460
clustering,eng_Latn,ind_Latn,Latin,Latin,1302,8315,15.65844859,8638,19993,43.20512179
clustering,eng_Latn,zsm_Latn,Latin,Latin,1324,8186,16.17395553,8860,19993,44.31551043
clustering,eng_Latn,tgl_Latn,Latin,Latin,1187,7164,16.56895589,9287,19993,46.45125794
clustering,eng_Latn,pol_Latn,Latin,Latin,1072,8767,12.22767195,8135,19993,40.68924123
clustering,eng_Latn,hun_Latn,Latin,Latin,969,8673,11.17260464,7976,19993,39.89396289
clustering,eng_Latn,tur_Latn,Latin,Latin,1111,8746,12.70294992,8667,19993,43.35017256
clustering,eng_Latn,vie_Latn,Latin,Latin,850,6821,12.46151591,6587,19993,32.94653129
clustering,eng_Latn,arb_Arab,Latin,Arabic,142,8624,1.64656772,2267,19993,11.33896864
clustering,eng_Latn,hin_Deva,Latin,Devanagari,162,7574,2.13889622,2174,19993,10.87380583
clustering,eng_Latn,guj_Gujr,Latin,Gujarati,149,6660,2.23723724,2269,19993,11.34897214
clustering,eng_Latn,rus_Cyrl,Latin,Cyrillic,257,10001,2.56974303,4826,19993,24.13844846
clustering,eng_Latn,tha_Thai,Latin,Thai,431,7725,5.57928803,5565,19993,27.83474216
clustering,eng_Latn,zho_Hans,Latin,Han,415,9096,4.56244503,5319,19993,26.60431151
clustering,eng_Latn,jpn_Jpan,Latin,Japanese,130,8605,1.51074956,2696,19993,13.48471965
clustering,eng_Latn,kor_Hang,Latin,Hangul,364,7887,4.61518955,5042,19993,25.21882659
clustering,deu_Latn,eng_Latn,Latin,Latin,1160,8590,13.50407451,7886,19994,39.44183255
clustering,deu_Latn,deu_Latn,Latin,Latin,4945,4945,100.00000000,19994,19994,100.00000000
clustering,deu_Latn,nld_Latn,Latin,Latin,1278,8147,15.68675586,8581,19994,42.91787536
clustering,deu_Latn,swe_Latn,Latin,Latin,1290,8407,15.34435589,7840,19994,39.21176353
clustering,deu_Latn,spa_Latn,Latin,Latin,846,8783,9.63224411,7372,19994,36.87106132
clustering,deu_Latn,fra_Latn,Latin,Latin,911,8264,11.02371733,6501,19994,32.51475443
clustering,deu_Latn,ita_Latn,Latin,Latin,929,8834,10.51618746,7095,19994,35.48564569
clustering,deu_Latn,por_Latn,Latin,Latin,942,8723,10.79903703,7197,19994,35.99579874
clustering,deu_Latn,ron_Latn,Latin,Latin,955,8480,11.26179245,7181,19994,35.91577473
clustering,deu_Latn,ind_Latn,Latin,Latin,1102,8655,12.73252455,7250,19994,36.26087826
clustering,deu_Latn,zsm_Latn,Latin,Latin,1070,8580,12.47086247,7249,19994,36.25587676
clustering,deu_Latn,tgl_Latn,Latin,Latin,888,7603,11.67960016,6649,19994,33.25497649
clustering,deu_Latn,pol_Latn,Latin,Latin,1001,8978,11.14947650,7032,19994,35.17055117
clustering,deu_Latn,hun_Latn,Latin,Latin,911,8871,10.26941720,7336,19994,36.69100730
clustering,deu_Latn,tur_Latn,Latin,Latin,1078,8919,12.08655679,7459,19994,37.30619186
clustering,deu_Latn,vie_Latn,Latin,Latin,719,7092,10.13818387,5643,19994,28.22346704
clustering,deu_Latn,arb_Arab,Latin,Arabic,136,8770,1.55074116,2553,19994,12.76883065
clustering,deu_Latn,hin_Deva,Latin,Devanagari,141,7735,1.82288300,2467,19994,12.33870161
clustering,deu_Latn,guj_Gujr,Latin,Gujarati,142,6807,2.08608785,2491,19994,12.45873762
clustering,deu_Latn,rus_Cyrl,Latin,Cyrillic,261,10137,2.57472625,3629,19994,18.15044513
clustering,deu_Latn,tha_Thai,Latin,Thai,374,7922,4.72103004,4049,19994,20.25107532
clustering,deu_Latn,zho_Hans,Latin,Han,382,9269,4.12126443,3935,19994,19.68090427
clustering,deu_Latn,jpn_Jpan,Latin,Japanese,134,8741,1.53300538,2638,19994,13.19395819
clustering,deu_Latn,kor_Hang,Latin,Hangul,323,8068,4.00347050,4393,19994,21.97159148
clustering,nld_Latn,eng_Latn,Latin,Latin,1422,7863,18.08470050,9126,20000,45.63000000
clustering,nld_Latn,deu_Latn,Latin,Latin,1278,8147,15.68675586,9070,20000,45.35000000
clustering,nld_Latn,nld_Latn,Latin,Latin,4480,4480,100.00000000,20000,20000,100.00000000
clustering,nld_Latn,swe_Latn,Latin,Latin,1273,7959,15.99447167,9228,20000,46.14000000
clustering,nld_Latn,spa_Latn,Latin,Latin,973,8191,11.87889147,7719,20000,38.59500000
clustering,nld_Latn,fra_Latn,Latin,Latin,1029,7681,13.39669314,7903,20000,39.51500000
