language_code,eng_Latn,deu_Latn,nld_Latn,swe_Latn,spa_Latn,fra_Latn,ita_Latn,por_Latn,ron_Latn,ind_Latn,zsm_Latn,tgl_Latn,pol_Latn,hun_Latn,tur_Latn,vie_Latn,arb_Arab,hin_Deva,guj_Gujr,rus_Cyrl,tha_Thai,zho_Hans,jpn_Jpan,kor_Hang
eng_Latn,4805,1160,1422,1358,1176,1365,1284,1238,1323,1302,1324,1187,1072,969,1111,850,142,162,149,257,431,415,130,364
deu_Latn,1160,4945,1278,1290,846,911,929,942,955,1102,1070,888,1001,911,1078,719,136,141,142,261,374,382,134,323
nld_Latn,1422,1278,4480,1273,973,1029,1075,1038,1094,1180,1102,950,1047,967,1065,729,120,138,128,248,339,362,121,307
swe_Latn,1358,1290,1273,4752,993,1013,1062,1053,1097,1247,1207,1003,1065,1036,1166,761,134,139,126,260,404,382,115,310
spa_Latn,1176,846,973,993,4684,1022,1355,1907,1241,1041,1034,958,943,901,934,661,118,126,119,223,341,332,109,279
fra_Latn,1365,911,1029,1013,1022,4230,1141,1045,1096,886,888,818,839,794,883,652,101,104,89,192,300,313,91,241
ita_Latn,1284,929,1075,1062,1355,1141,4818,1422,1375,1057,1008,947,951,882,963,679,110,118,128,211,339,329,118,278
por_Latn,1238,942,1038,1053,1907,1045,1422,4720,1290,1088,1092,983,965,949,1053,767,130,135,132,268,374,367,111,312
ron_Latn,1323,955,1094,1097,1241,1096,1375,1290,4490,1144,1110,921,1064,904,1075,714,111,127,116,220,332,333,112,274
ind_Latn,1302,1102,1180,1247,1041,886,1057,1088,1144,4812,3027,1322,1096,1043,1293,782,132,142,143,267,408,400,125,315
zsm_Latn,1324,1070,1102,1207,1034,888,1008,1092,1110,3027,4705,1285,1057,1065,1285,843,137,160,142,271,427,399,123,337
tgl_Latn,1187,888,950,1003,958,818,947,983,921,1322,1285,3546,923,875,1084,686,120,131,129,204,315,322,108,267
pol_Latn,1072,1001,1047,1065,943,839,951,965,1064,1096,1057,923,5034,952,1068,663,112,131,114,245,347,332,108,277
hun_Latn,969,911,967,1036,901,794,882,949,904,1043,1065,875,952,4837,1057,684,122,133,133,256,377,355,115,302
tur_Latn,1111,1078,1065,1166,934,883,963,1053,1075,1293,1285,1084,1068,1057,5052,788,142,159,151,272,400,384,125,335
vie_Latn,850,719,729,761,661,652,679,767,714,782,843,686,663,684,788,2866,121,138,136,228,315,316,112,276
arb_Arab,142,136,120,134,118,101,110,130,111,132,137,120,112,122,142,121,3961,113,97,128,119,121,69,117
hin_Deva,162,141,138,139,126,104,118,135,127,142,160,131,131,133,159,138,113,2931,117,130,130,140,65,129
guj_Gujr,149,142,128,126,119,89,128,132,116,143,142,129,114,133,151,136,97,117,2004,121,127,128,70,137
rus_Cyrl,257,261,248,260,223,192,211,268,220,267,271,204,245,256,272,228,128,130,121,5453,200,197,85,180
tha_Thai,431,374,339,404,341,300,339,374,332,408,427,315,347,377,400,315,119,130,127,200,3351,267,101,244
zho_Hans,415,382,362,382,332,313,329,367,333,400,399,322,332,355,384,316,121,140,128,197,267,4706,916,264
jpn_Jpan,130,134,121,115,109,91,118,111,112,125,123,108,108,115,125,112,69,65,70,85,101,916,3930,99
kor_Hang,364,323,307,310,279,241,278,312,274,315,337,267,277,302,335,276,117,129,137,180,244,264,99,3446
