condition,language_code,split,examples,encoded_token_count,analysis_token_count
clustering,eng_Latn,SIB200ClusteringS2S|test|text,147,4242,4242
clustering,eng_Latn,SIB200ClusteringS2S|train|text,465,13945,13945
clustering,eng_Latn,SIB200ClusteringS2S|validation|text,65,1806,1806
clustering,deu_Latn,SIB200ClusteringS2S|test|text,119,4176,4176
clustering,deu_Latn,SIB200ClusteringS2S|train|text,398,14086,14086
clustering,deu_Latn,SIB200ClusteringS2S|validation|text,52,1732,1732
clustering,nld_Latn,SIB200ClusteringS2S|test|text,120,4181,4181
clustering,nld_Latn,SIB200ClusteringS2S|train|text,397,13859,13859
clustering,nld_Latn,SIB200ClusteringS2S|validation|text,60,1960,1960
clustering,swe_Latn,SIB200ClusteringS2S|test|text,128,4049,4049
clustering,swe_Latn,SIB200ClusteringS2S|train|text,441,14082,14082
clustering,swe_Latn,SIB200ClusteringS2S|validation|text,63,1867,1867
clustering,spa_Latn,SIB200ClusteringS2S|test|text,116,4119,4119
clustering,spa_Latn,SIB200ClusteringS2S|train|text,403,14639,14639
clustering,spa_Latn,SIB200ClusteringS2S|validation|text,38,1242,1242
clustering,fra_Latn,SIB200ClusteringS2S|test|text,96,3592,3592
clustering,fra_Latn,SIB200ClusteringS2S|train|text,364,14282,14282
clustering,fra_Latn,SIB200ClusteringS2S|validation|text,61,2125,2125
clustering,ita_Latn,SIB200ClusteringS2S|test|text,119,4324,4324
clustering,ita_Latn,SIB200ClusteringS2S|train|text,373,13671,13671
clustering,ita_Latn,SIB200ClusteringS2S|validation|text,54,1997,1997
clustering,por_Latn,SIB200ClusteringS2S|test|text,119,3963,3963
clustering,por_Latn,SIB200ClusteringS2S|train|text,422,14161,14161
clustering,por_Latn,SIB200ClusteringS2S|validation|text,60,1875,1875
clustering,ron_Latn,SIB200ClusteringS2S|test|text,110,4116,4116
clustering,ron_Latn,SIB200ClusteringS2S|train|text,375,14092,14092
clustering,ron_Latn,SIB200ClusteringS2S|validation|text,51,1792,1792
clustering,ind_Latn,SIB200ClusteringS2S|test|text,145,4007,4007
clustering,ind_Latn,SIB200ClusteringS2S|train|text,495,14123,14123
clustering,ind_Latn,SIB200ClusteringS2S|validation|text,70,1864,1864
clustering,zsm_Latn,SIB200ClusteringS2S|test|text,136,3779,3779
clustering,zsm_Latn,SIB200ClusteringS2S|train|text,500,14276,14276
clustering,zsm_Latn,SIB200ClusteringS2S|validation|text,72,1933,1933
clustering,tgl_Latn,SIB200ClusteringS2S|test|text,64,2999,2999
clustering,tgl_Latn,SIB200ClusteringS2S|train|text,344,14771,14771
clustering,tgl_Latn,SIB200ClusteringS2S|validation|text,52,2221,2221
clustering,pol_Latn,SIB200ClusteringS2S|test|text,121,4281,4281
clustering,pol_Latn,SIB200ClusteringS2S|train|text,387,13733,13733
clustering,pol_Latn,SIB200ClusteringS2S|validation|text,55,1977,1977
clustering,hun_Latn,SIB200ClusteringS2S|test|text,119,4148,4148
clustering,hun_Latn,SIB200ClusteringS2S|train|text,401,14179,14179
clustering,hun_Latn,SIB200ClusteringS2S|validation|text,49,1673,1673
clustering,tur_Latn,SIB200ClusteringS2S|test|text,122,3897,3897
clustering,tur_Latn,SIB200ClusteringS2S|train|text,455,14114,14114
clustering,tur_Latn,SIB200ClusteringS2S|validation|text,67,1983,1983
clustering,vie_Latn,SIB200ClusteringS2S|test|text,109,3744,3744
clustering,vie_Latn,SIB200ClusteringS2S|train|text,402,14455,14455
clustering,vie_Latn,SIB200ClusteringS2S|validation|text,55,1801,1801
clustering,arb_Arab,SIB200ClusteringS2S|test|text,113,4013,4013
clustering,arb_Arab,SIB200ClusteringS2S|train|text,397,14223,14223
clustering,arb_Arab,SIB200ClusteringS2S|validation|text,51,1755,1755
clustering,hin_Deva,SIB200ClusteringS2S|test|text,90,3397,3397
clustering,hin_Deva,SIB200ClusteringS2S|train|text,379,14345,14345
clustering,hin_Deva,SIB200ClusteringS2S|validation|text,62,2251,2251
clustering,guj_Gujr,SIB200ClusteringS2S|test|text,64,2784,2784
clustering,guj_Gujr,SIB200ClusteringS2S|train|text,353,14990,14990
clustering,guj_Gujr,SIB200ClusteringS2S|validation|text,54,2215,2215
clustering,rus_Cyrl,SIB200ClusteringS2S|test|text,105,3820,3820
clustering,rus_Cyrl,SIB200ClusteringS2S|train|text,390,14194,14194
clustering,rus_Cyrl,SIB200ClusteringS2S|validation|text,57,1986,1986
clustering,tha_Thai,SIB200ClusteringS2S|test|text,115,3754,3754
clustering,tha_Thai,SIB200ClusteringS2S|train|text,444,14469,14469
clustering,tha_Thai,SIB200ClusteringS2S|validation|text,59,1769,1769
clustering,zho_Hans,SIB200ClusteringS2S|test|text,142,4247,4247
clustering,zho_Hans,SIB200ClusteringS2S|train|text,465,13800,13795
clustering,zho_Hans,SIB200ClusteringS2S|validation|text,72,1958,1958
clustering,jpn_Jpan,SIB200ClusteringS2S|test|text,118,3862,3862
clustering,jpn_Jpan,SIB200ClusteringS2S|train|text,432,14344,14344
clustering,jpn_Jpan,SIB200ClusteringS2S|validation|text,56,1788,1788
clustering,kor_Hang,SIB200ClusteringS2S|test|text,110,3690,3690
clustering,kor_Hang,SIB200ClusteringS2S|train|text,410,14347,14341
clustering,kor_Hang,SIB200ClusteringS2S|validation|text,61,1963,1962
