language_i,language_j,frequency_i_to_j_percent,frequency_j_to_i_percent,absolute_gap_points
tgl_Latn,vie_Latn,37.146716,16.815000,20.331716
eng_Latn,tha_Thai,27.834742,8.823529,19.011213
fra_Latn,vie_Latn,36.146807,17.585000,18.561807
fra_Latn,tha_Thai,25.966298,7.608043,18.358255
spa_Latn,vie_Latn,33.355000,16.920000,16.435000
spa_Latn,tha_Thai,24.350000,7.943177,16.406823
fra_Latn,zsm_Latn,42.312116,26.140684,16.171431
por_Latn,tha_Thai,24.151208,8.478391,15.672816
spa_Latn,zsm_Latn,46.070000,30.858515,15.211485
ind_Latn,tgl_Latn,36.966090,52.003402,15.037312
ita_Latn,vie_Latn,32.447979,17.515000,14.932979
eng_Latn,vie_Latn,32.946531,18.345000,14.601531
nld_Latn,tha_Thai,22.350000,7.938175,14.411825
zho_Hans,jpn_Jpan,42.950000,28.583575,14.366425
eng_Latn,zsm_Latn,44.315510,30.073044,14.242467
spa_Latn,ind_Latn,44.405000,31.259378,13.145622
por_Latn,vie_Latn,32.281614,19.640000,12.641614
eng_Latn,zho_Hans,26.604312,14.025000,12.579312
eng_Latn,ind_Latn,43.205122,30.654196,12.550926
por_Latn,zsm_Latn,43.272164,30.953572,12.318591
fra_Latn,ind_Latn,39.051953,26.818045,12.233907
ron_Latn,tha_Thai,20.120000,7.903161,12.216839
nld_Latn,vie_Latn,29.290000,17.225000,12.065000
deu_Latn,tha_Thai,20.251075,8.408363,11.842712
spa_Latn,tur_Latn,45.930000,34.155247,11.774753
pol_Latn,tha_Thai,19.393727,7.873149,11.520578
ron_Latn,vie_Latn,29.040000,17.615000,11.425000
swe_Latn,tha_Thai,19.926993,8.603441,11.323551
eng_Latn,rus_Cyrl,24.138448,12.910000,11.228448
deu_Latn,vie_Latn,28.223467,17.000000,11.223467
