language_i,language_j,relation,type_iou_percent,shared_token_count,frequency_i_to_j_percent,frequency_j_to_i_percent
ind_Latn,zsm_Latn,within Latin-script,46.640986,3027,82.589777,82.689614
spa_Latn,por_Latn,within Latin-script,25.436841,1907,63.770000,61.463073
ind_Latn,tgl_Latn,within Latin-script,18.789085,1322,36.966090,52.003402
zsm_Latn,tgl_Latn,within Latin-script,18.446741,1285,34.690814,44.500025
eng_Latn,nld_Latn,within Latin-script,18.084700,1422,50.092532,45.630000
eng_Latn,fra_Latn,within Latin-script,17.796610,1365,49.087181,52.357618
ita_Latn,por_Latn,within Latin-script,17.520946,1422,53.261305,54.422721
ita_Latn,ron_Latn,within Latin-script,17.332661,1375,51.850740,46.085000
spa_Latn,ita_Latn,within Latin-script,16.631889,1355,55.015000,50.530212
eng_Latn,ron_Latn,within Latin-script,16.595585,1323,43.670285,42.730000
eng_Latn,tgl_Latn,within Latin-script,16.568956,1187,46.451258,41.763794
eng_Latn,swe_Latn,within Latin-script,16.562995,1358,51.713100,41.979198
por_Latn,ron_Latn,within Latin-script,16.287879,1290,49.267463,42.900000
eng_Latn,zsm_Latn,within Latin-script,16.173956,1324,44.315510,30.073044
nld_Latn,swe_Latn,within Latin-script,15.994472,1273,46.140000,40.269027
deu_Latn,nld_Latn,within Latin-script,15.686756,1278,42.917875,45.350000
eng_Latn,ind_Latn,within Latin-script,15.658449,1302,43.205122,30.654196
spa_Latn,ron_Latn,within Latin-script,15.643514,1241,51.795000,43.295000
eng_Latn,ita_Latn,within Latin-script,15.397530,1284,47.621668,48.739496
deu_Latn,swe_Latn,within Latin-script,15.344356,1290,39.211764,37.903790
zsm_Latn,tur_Latn,within Latin-script,15.167611,1285,33.535121,39.296789
ind_Latn,tur_Latn,within Latin-script,15.085754,1293,35.280584,38.826648
swe_Latn,ind_Latn,within Latin-script,14.993387,1247,40.774077,33.590077
eng_Latn,por_Latn,within Latin-script,14.939061,1238,42.374831,46.002300
swe_Latn,zsm_Latn,within Latin-script,14.630303,1207,38.733873,32.294377
nld_Latn,ind_Latn,within Latin-script,14.546351,1180,39.305000,33.620086
fra_Latn,ita_Latn,within Latin-script,14.430252,1141,47.487374,47.463986
tgl_Latn,tur_Latn,within Latin-script,14.426404,1084,46.625982,37.496249
fra_Latn,ron_Latn,within Latin-script,14.375656,1096,50.527526,41.940000
eng_Latn,spa_Latn,within Latin-script,14.146518,1176,40.549192,47.805000
