language_code,eng_Latn,deu_Latn,nld_Latn,swe_Latn,spa_Latn,fra_Latn,ita_Latn,por_Latn,ron_Latn,ind_Latn,zsm_Latn,tgl_Latn,pol_Latn,hun_Latn,tur_Latn,vie_Latn,arb_Arab,hin_Deva,guj_Gujr,rus_Cyrl,tha_Thai,zho_Hans,jpn_Jpan,kor_Hang
eng_Latn,100.00000000,13.50407451,18.08470050,16.56299549,14.14651750,17.79661017,15.39752968,14.93906118,16.59558455,15.65844859,16.17395553,16.56895589,12.22767195,11.17260464,12.70294992,12.46151591,1.64656772,2.13889622,2.23723724,2.56974303,5.57928803,4.56244503,1.51074956,4.61518955
deu_Latn,13.50407451,100.00000000,15.68675586,15.34435589,9.63224411,11.02371733,10.51618746,10.79903703,11.26179245,12.73252455,12.47086247,11.67960016,11.14947650,10.26941720,12.08655679,10.13818387,1.55074116,1.82288300,2.08608785,2.57472625,4.72103004,4.12126443,1.53300538,4.00347050
nld_Latn,18.08470050,15.68675586,100.00000000,15.99447167,11.87889147,13.39669314,13.07308768,12.71747121,13.89029964,14.54635108,13.63355190,13.42566422,12.36565490,11.58083832,12.57824495,11.01707723,1.44213436,1.89742885,2.01384519,2.56066082,4.52482648,4.10244787,1.45976595,4.02940018
swe_Latn,16.56299549,15.34435589,15.99447167,100.00000000,11.76122231,12.71175806,12.48236953,12.50742368,13.46838551,14.99338704,14.63030303,13.74914325,12.21190230,12.11270899,13.49849502,11.09814788,1.56195361,1.84252386,1.90045249,2.61437908,5.24743473,4.20890260,1.34236022,3.93002028
spa_Latn,14.14651750,9.63224411,11.87889147,11.76122231,100.00000000,12.94982261,16.63188904,25.43684140,15.64351443,12.31224128,12.37582286,13.17381738,10.74643875,10.45243619,10.61122472,9.59500653,1.38383957,1.68246762,1.81153905,2.24934436,4.43202495,3.66526827,1.28159906,3.55368743
fra_Latn,17.79661017,11.02371733,13.39669314,12.71175806,12.94982261,100.00000000,14.43025168,13.21948134,14.37565582,10.86316822,11.03516839,11.75625180,9.95845697,9.59748580,10.51315633,10.11793917,1.24845488,1.47371404,1.44833198,2.02296913,4.12031314,3.62982721,1.12777296,3.24142569
ita_Latn,15.39752968,10.51618746,13.07308768,12.48236953,16.63188904,14.43025168,100.00000000,17.52094628,17.33266104,12.32940628,11.83793306,12.76796548,10.68419279,10.05357346,10.81172112,9.69307637,1.26888915,1.54632420,1.91216014,2.09741551,4.32950192,3.57803154,1.36732329,3.48109191
por_Latn,14.93906118,10.79903703,12.71747121,12.50742368,25.43684140,13.21948134,17.52094628,100.00000000,16.28787879,12.88488868,13.10452418,13.49718523,10.97963363,11.02462825,12.07707306,11.24798358,1.52029002,1.79616817,2.00242718,2.70570419,4.85903599,4.05121978,1.29991802,3.97249809
ron_Latn,16.59558455,11.26179245,13.89029964,13.46838551,15.64351443,14.37565582,17.33266104,16.28787879,100.00000000,14.02304486,13.72912801,12.94448349,12.57683215,10.73251811,12.69635054,10.74977416,1.33093525,1.74115712,1.81875196,2.26267613,4.42136103,3.75719282,1.34809822,3.57608979
ind_Latn,15.65844859,12.73252455,14.54635108,14.99338704,12.31224128,10.86316822,12.32940628,12.88488868,14.02304486,100.00000000,46.64098613,18.78908471,12.52571429,12.11945155,15.08575429,11.33990719,1.52760097,1.86817524,2.14296418,2.67053411,5.26112186,4.38692696,1.45062087,3.96575601
