condition,language_i,language_j,flores_type_iou_percent,mteb_type_iou_percent,difference_points
overall,eng_Latn,deu_Latn,21.93094629,13.09720736,-8.83373893
overall,eng_Latn,nld_Latn,28.82450201,14.60638964,-14.21811237
overall,eng_Latn,swe_Latn,25.36534447,13.12938816,-12.23595631
overall,eng_Latn,spa_Latn,22.86655212,12.22290640,-10.64364572
overall,eng_Latn,fra_Latn,29.59531163,14.75810031,-14.83721132
overall,eng_Latn,ita_Latn,25.89240091,13.44554455,-12.44685636
overall,eng_Latn,por_Latn,24.12884334,12.33714171,-11.79170163
overall,eng_Latn,ron_Latn,27.26789242,13.61150496,-13.65638746
overall,eng_Latn,ind_Latn,22.77916383,12.67996709,-10.09919674
overall,eng_Latn,zsm_Latn,24.09535642,12.98133333,-11.11402309
overall,eng_Latn,tgl_Latn,30.50486099,15.21554341,-15.28931758
overall,eng_Latn,pol_Latn,18.97840532,10.69772032,-8.28068500
overall,eng_Latn,hun_Latn,18.38638468,9.17153800,-9.21484668
overall,eng_Latn,tur_Latn,19.35413326,10.38870663,-8.96542663
overall,eng_Latn,vie_Latn,22.99430279,9.09907598,-13.89522681
overall,eng_Latn,arb_Arab,3.44107696,2.49034357,-0.95073339
overall,eng_Latn,hin_Deva,4.10970052,2.49014085,-1.61955967
overall,eng_Latn,guj_Gujr,4.65716745,2.95107429,-1.70609316
overall,eng_Latn,rus_Cyrl,4.24133116,2.08512099,-2.15621017
overall,eng_Latn,tha_Thai,10.93658127,4.28197244,-6.65460883
overall,eng_Latn,zho_Hans,7.33458596,2.87560288,-4.45898308
overall,eng_Latn,jpn_Jpan,2.91586658,2.49799358,-0.41787300
overall,eng_Latn,kor_Hang,8.11722200,3.25570879,-4.86151321
overall,deu_Latn,nld_Latn,26.26518596,15.43756146,-10.82762450
overall,deu_Latn,swe_Latn,24.88691032,14.16382253,-10.72308779
overall,deu_Latn,spa_Latn,16.72478453,9.24542398,-7.47936055
overall,deu_Latn,fra_Latn,19.59483306,10.07037367,-9.52445939
overall,deu_Latn,ita_Latn,18.73043362,10.67741351,-8.05302011
overall,deu_Latn,por_Latn,17.95371990,9.48331047,-8.47040943
overall,deu_Latn,ron_Latn,19.89760620,10.82231061,-9.07529559
overall,deu_Latn,ind_Latn,20.08424961,11.44922024,-8.63502937
overall,deu_Latn,zsm_Latn,19.77433820,11.06220657,-8.71213163
overall,deu_Latn,tgl_Latn,21.47774208,10.91755031,-10.56019177
overall,deu_Latn,pol_Latn,18.07429065,10.35372144,-7.72056921
overall,deu_Latn,hun_Latn,18.35443038,10.20815512,-8.14627526
overall,deu_Latn,tur_Latn,18.96975226,10.54494644,-8.42480582
overall,deu_Latn,vie_Latn,19.03030303,7.85888928,-11.17141375
overall,deu_Latn,arb_Arab,3.07543787,1.70667667,-1.36876120
overall,deu_Latn,hin_Deva,3.42640575,1.70208376,-1.72432199
overall,deu_Latn,guj_Gujr,3.88568338,2.24020643,-1.64547695
overall,deu_Latn,rus_Cyrl,4.09139513,1.70308483,-2.38831030
overall,deu_Latn,tha_Thai,9.75240825,3.65726228,-6.09514597
overall,deu_Latn,zho_Hans,6.97044017,2.41004752,-4.56039265
overall,deu_Latn,jpn_Jpan,2.63929619,1.92147034,-0.71782585
overall,deu_Latn,kor_Hang,7.30384292,2.72991488,-4.57392804
overall,nld_Latn,swe_Latn,26.91807542,13.74388662,-13.17418880
overall,nld_Latn,spa_Latn,20.23564483,10.15648360,-10.07916123
overall,nld_Latn,fra_Latn,24.57169316,12.10075027,-12.47094289
overall,nld_Latn,ita_Latn,23.13924051,11.50178210,-11.63745841
