source_language_code,eng_Latn,deu_Latn,nld_Latn,swe_Latn,spa_Latn,fra_Latn,ita_Latn,por_Latn,ron_Latn,ind_Latn,zsm_Latn,tgl_Latn,pol_Latn,hun_Latn,tur_Latn,vie_Latn,arb_Arab,hin_Deva,guj_Gujr,rus_Cyrl,tha_Thai,zho_Hans,jpn_Jpan,kor_Hang
eng_Latn,100.00000000,51.32666667,54.15333333,51.43666667,46.14333333,52.53000000,46.76666667,49.50666667,47.71000000,49.00333333,47.07333333,47.91000000,41.80666667,44.60000000,42.83333333,39.03666667,25.93666667,22.13000000,17.33666667,23.78000000,21.62666667,25.44333333,21.82666667,23.57000000
deu_Latn,38.21333333,100.00000000,49.12666667,42.19666667,38.15333333,35.33333333,40.45666667,37.45333333,40.02000000,39.97666667,37.80666667,33.44333333,38.38000000,39.35000000,39.62666667,28.32000000,13.62666667,15.91333333,15.88333333,15.90333333,18.22000000,17.64333333,15.49333333,17.17000000
nld_Latn,43.34333333,45.45333333,100.00000000,45.39666667,41.60000000,40.68666667,42.44666667,42.43666667,43.56666667,42.79000000,38.49666667,38.21000000,39.80000000,44.31666667,40.91333333,28.51333333,11.15000000,14.85000000,13.97000000,13.32333333,20.31000000,15.75000000,14.87333333,14.37666667
swe_Latn,40.90333333,40.41000000,41.74333333,100.00000000,40.45666667,39.32666667,42.33000000,38.87000000,42.57333333,39.94666667,35.43333333,36.12333333,38.20666667,38.30666667,40.12666667,24.22666667,13.31000000,16.68333333,15.76333333,16.19666667,19.49666667,18.99666667,15.35000000,17.85333333
spa_Latn,49.35666667,45.43666667,46.44666667,49.01333333,100.00000000,51.78000000,55.16000000,65.65000000,53.81666667,46.31000000,43.97000000,51.16000000,48.50333333,46.78666667,45.91666667,34.04666667,11.85333333,11.65000000,13.61666667,13.37000000,24.53666667,17.87000000,14.88000000,13.79333333
fra_Latn,52.15666667,47.99333333,52.61666667,47.13000000,53.21000000,100.00000000,52.00333333,54.33333333,52.30666667,47.57333333,43.54333333,45.89000000,47.69000000,46.42333333,44.89333333,37.45333333,18.77000000,19.96000000,18.47666667,19.47666667,23.37666667,21.40000000,19.63000000,21.03000000
ita_Latn,46.09666667,41.59666667,47.12000000,44.34666667,52.80666667,47.98000000,100.00000000,52.87000000,54.39000000,42.91333333,41.22666667,43.79333333,43.80333333,43.31666667,42.82000000,35.63000000,14.53666667,13.81333333,13.92333333,13.95333333,16.66333333,18.79666667,16.28000000,15.94000000
por_Latn,47.42333333,45.47666667,43.32666667,46.79666667,61.50333333,50.35000000,54.66000000,100.00000000,51.96666667,47.35666667,43.50333333,48.33666667,47.89666667,43.01333333,45.03000000,35.85333333,15.65666667,15.95333333,16.79333333,16.58333333,25.32000000,25.39666667,20.34000000,15.44666667
ron_Latn,42.54666667,39.10333333,41.10666667,41.74000000,45.22333333,44.48000000,48.00000000,45.06333333,100.00000000,41.91333333,40.58000000,39.26666667,41.48666667,39.88000000,39.57000000,34.99333333,14.14333333,14.46000000,12.64333333,13.32333333,20.88000000,18.92000000,17.03666667,14.82333333
ind_Latn,27.98666667,31.51000000,31.62666667,32.00666667,32.20000000,28.57000000,30.46333333,30.67666667,30.38666667,100.00000000,80.97000000,40.08666667,30.38666667,32.17333333,38.94333333,23.98333333,12.11000000,13.00666667,11.74666667,11.77000000,13.58000000,13.50333333,11.75333333,13.00000000
zsm_Latn,25.96666667,26.98333333,28.02666667,28.44333333,29.31000000,26.16000000,27.57000000,28.15333333,26.75333333,81.71333333,100.00000000,38.83000000,29.00666667,29.99333333,36.79666667,22.30000000,9.91333333,11.62000000,10.75666667,10.27666667,12.62333333,12.58000000,10.76000000,11.48000000
tgl_Latn,44.67333333,44.24000000,42.55666667,45.66000000,47.44666667,39.73000000,40.97333333,41.67000000,44.99666667,53.89333333,53.43333333,100.00000000,45.77333333,44.22666667,44.03666667,37.07333333,12.08666667,11.34666667,11.29000000,11.77000000,16.03000000,17.36333333,19.34666667,13.62333333
pol_Latn,37.13000000,39.51000000,39.91000000,34.79333333,34.79666667,33.95666667,34.60666667,36.63000000,39.00000000,34.22333333,38.63666667,37.92333333,100.00000000,37.75333333,36.88000000,28.17333333,13.63000000,14.85000000,11.30333333,13.51333333,18.60666667,19.65666667,16.56666667,16.49333333
hun_Latn,36.43000000,38.70666667,40.96666667,40.84666667,41.14000000,36.85666667,37.21666667,40.66000000,40.93000000,38.89333333,40.00000000,37.32666667,41.22000000,100.00000000,41.07333333,29.92666667,14.22333333,15.47666667,16.13000000,16.46333333,22.76000000,23.66666667,15.75333333,18.37000000
tur_Latn,33.06000000,34.48666667,34.35333333,37.50333333,33.55666667,32.28333333,33.57333333,33.32000000,34.01666667,38.09666667,39.31000000,38.04666667,33.58000000,34.97666667,100.00000000,25.00666667,12.39333333,12.85666667,12.91333333,13.15333333,16.61666667,15.77333333,13.49666667,14.94666667
vie_Latn,16.95333333,15.58333333,15.64000000,15.92666667,17.82666667,18.23000000,16.28000000,19.00666667,16.45333333,15.91333333,17.06333333,16.07666667,17.59000000,15.78666667,15.04666667,100.00000000,8.42000000,8.14666667,9.21000000,9.61666667,8.92666667,10.34000000,9.68000000,10.33333333
arb_Arab,6.66666667,6.38666667,6.37666667,6.25000000,6.24666667,6.28333333,6.26666667,6.31333333,6.16000000,6.39000000,5.53666667,6.33333333,6.28333333,6.17000000,6.29000000,6.19666667,100.00000000,5.93000000,5.73333333,5.85666667,5.83666667,5.84000000,4.92333333,5.76000000
hin_Deva,7.00333333,6.63666667,6.67333333,6.62000000,6.59666667,6.66333333,6.69333333,6.69666667,6.64666667,6.76000000,6.52333333,6.66333333,6.64333333,6.57333333,6.78333333,6.63666667,5.29666667,100.00000000,6.48000000,6.42333333,5.45000000,6.47000000,5.83666667,6.35666667
guj_Gujr,10.26735116,9.82732182,10.02733516,9.96066404,9.56063738,9.81732115,10.09733982,10.00066671,9.96399760,10.14067605,9.35395693,9.90066004,9.76398427,9.65064338,10.11067404,9.68731249,8.70391359,9.57063804,100.00000000,9.77398493,9.28728582,9.36729115,8.01053404,9.82398827
rus_Cyrl,10.23666667,9.94333333,9.93666667,9.98333333,9.92000000,10.16666667,10.13666667,10.15000000,10.14000000,9.97333333,9.35333333,9.73333333,9.97333333,10.04666667,9.99333333,9.87000000,8.18666667,9.51666667,9.50000000,100.00000000,8.19000000,9.45000000,8.50666667,9.37333333
tha_Thai,12.09000000,11.89666667,11.91000000,11.79333333,11.69666667,11.62000000,11.88333333,11.92333333,11.79666667,12.10666667,11.87666667,11.74333333,11.88000000,11.82666667,12.05666667,11.52666667,10.81333333,10.79666667,10.76666667,10.91333333,100.00000000,11.12000000,10.10333333,11.09333333
zho_Hans,13.03333333,12.79333333,12.43666667,12.67666667,12.26333333,12.69000000,12.45000000,12.77000000,12.88333333,12.77666667,12.45000000,12.40666667,12.66333333,12.55333333,12.84333333,12.54666667,11.16000000,11.66333333,12.18666667,12.11000000,11.59666667,100.00000000,43.49333333,12.49333333
jpn_Jpan,7.96666667,7.51333333,7.46666667,7.44666667,7.09333333,7.63666667,7.42000000,7.47000000,7.60333333,7.76666667,7.24333333,7.46666667,7.55666667,7.34333333,7.58000000,7.41333333,6.48666667,6.75666667,6.92666667,7.21000000,6.42333333,27.46666667,100.00000000,7.26000000
kor_Hang,12.36666667,12.17000000,11.76000000,12.19666667,11.60333333,12.11333333,11.85333333,12.20000000,12.04333333,12.12666667,10.65333333,11.80666667,11.99000000,12.13000000,12.36333333,11.92333333,10.67666667,11.10000000,11.58666667,11.64000000,11.12333333,11.71000000,10.22666667,100.00000000
