group_i,group_j,pairs,mean_type_iou_percent,median_type_iou_percent
Germanic Latin,Germanic Latin,6,14.029709,13.953855
Germanic Latin,Romance Latin,20,11.456896,11.340311
Austronesian Latin,Germanic Latin,12,12.088437,11.863852
Germanic Latin,Other Latin,16,9.864296,10.371214
Germanic Latin,Other scripts,32,2.420294,2.294821
Romance Latin,Romance Latin,10,14.880218,14.329857
Austronesian Latin,Romance Latin,15,11.148501,11.009703
Other Latin,Romance Latin,20,9.272927,9.405821
Other scripts,Romance Latin,40,2.213669,2.023310
Austronesian Latin,Austronesian Latin,3,24.605124,17.842536
Austronesian Latin,Other Latin,12,11.014503,10.860005
Austronesian Latin,Other scripts,24,2.546771,2.294466
Other Latin,Other Latin,6,8.890480,8.911194
Other Latin,Other scripts,32,2.335470,2.038741
Other scripts,Other scripts,28,1.877567,1.404460
