condition,source_language_code,target_language_code,source_script,target_script,shared_token_count,union_token_count,type_iou_percent,source_shared_token_occurrences,source_analysis_token_count,frequency_overlap_percent
overall,eng_Latn,eng_Latn,Latin,Latin,5430,5430,100.00000000,30000,30000,100.00000000
overall,eng_Latn,deu_Latn,Latin,Latin,1346,10277,13.09720736,15398,30000,51.32666667
overall,eng_Latn,nld_Latn,Latin,Latin,1399,9578,14.60638964,16246,30000,54.15333333
overall,eng_Latn,swe_Latn,Latin,Latin,1309,9970,13.12938816,15431,30000,51.43666667
overall,eng_Latn,spa_Latn,Latin,Latin,1191,9744,12.22290640,13843,30000,46.14333333
overall,eng_Latn,fra_Latn,Latin,Latin,1330,9012,14.75810031,15759,30000,52.53000000
overall,eng_Latn,ita_Latn,Latin,Latin,1358,10100,13.44554455,14030,30000,46.76666667
overall,eng_Latn,por_Latn,Latin,Latin,1231,9978,12.33714171,14852,30000,49.50666667
overall,eng_Latn,ron_Latn,Latin,Latin,1344,9874,13.61150496,14313,30000,47.71000000
overall,eng_Latn,ind_Latn,Latin,Latin,1233,9724,12.67996709,14701,30000,49.00333333
overall,eng_Latn,zsm_Latn,Latin,Latin,1217,9375,12.98133333,14122,30000,47.07333333
overall,eng_Latn,tgl_Latn,Latin,Latin,1253,8235,15.21554341,14373,30000,47.91000000
overall,eng_Latn,pol_Latn,Latin,Latin,1084,10133,10.69772032,12542,30000,41.80666667
overall,eng_Latn,hun_Latn,Latin,Latin,910,9922,9.17153800,13380,30000,44.60000000
overall,eng_Latn,tur_Latn,Latin,Latin,1045,10059,10.38870663,12850,30000,42.83333333
overall,eng_Latn,vie_Latn,Latin,Latin,709,7792,9.09907598,11711,30000,39.03666667
overall,eng_Latn,arb_Arab,Latin,Arabic,245,9838,2.49034357,7781,30000,25.93666667
overall,eng_Latn,hin_Deva,Latin,Devanagari,221,8875,2.49014085,6639,30000,22.13000000
overall,eng_Latn,guj_Gujr,Latin,Gujarati,228,7726,2.95107429,5201,30000,17.33666667
overall,eng_Latn,rus_Cyrl,Latin,Cyrillic,243,11654,2.08512099,7134,30000,23.78000000
overall,eng_Latn,tha_Thai,Latin,Thai,376,8781,4.28197244,6488,30000,21.62666667
overall,eng_Latn,zho_Hans,Latin,Han,316,10989,2.87560288,7633,30000,25.44333333
overall,eng_Latn,jpn_Jpan,Latin,Japanese,249,9968,2.49799358,6548,30000,21.82666667
overall,eng_Latn,kor_Hang,Latin,Hangul,288,8846,3.25570879,7071,30000,23.57000000
overall,deu_Latn,eng_Latn,Latin,Latin,1346,10277,13.09720736,11464,30000,38.21333333
overall,deu_Latn,deu_Latn,Latin,Latin,6193,6193,100.00000000,30000,30000,100.00000000
overall,deu_Latn,nld_Latn,Latin,Latin,1570,10170,15.43756146,14738,30000,49.12666667
overall,deu_Latn,swe_Latn,Latin,Latin,1494,10548,14.16382253,12659,30000,42.19666667
overall,deu_Latn,spa_Latn,Latin,Latin,990,10708,9.24542398,11446,30000,38.15333333
overall,deu_Latn,fra_Latn,Latin,Latin,1016,10089,10.07037367,10600,30000,35.33333333
overall,deu_Latn,ita_Latn,Latin,Latin,1179,11042,10.67741351,12137,30000,40.45666667
overall,deu_Latn,por_Latn,Latin,Latin,1037,10935,9.48331047,11236,30000,37.45333333
overall,deu_Latn,ron_Latn,Latin,Latin,1170,10811,10.82231061,12006,30000,40.02000000
overall,deu_Latn,ind_Latn,Latin,Latin,1204,10516,11.44922024,11993,30000,39.97666667
overall,deu_Latn,zsm_Latn,Latin,Latin,1131,10224,11.06220657,11342,30000,37.80666667
overall,deu_Latn,tgl_Latn,Latin,Latin,1009,9242,10.91755031,10033,30000,33.44333333
overall,deu_Latn,pol_Latn,Latin,Latin,1124,10856,10.35372144,11514,30000,38.38000000
overall,deu_Latn,hun_Latn,Latin,Latin,1074,10521,10.20815512,11805,30000,39.35000000
overall,deu_Latn,tur_Latn,Latin,Latin,1132,10735,10.54494644,11888,30000,39.62666667
overall,deu_Latn,vie_Latn,Latin,Latin,675,8589,7.85888928,8496,30000,28.32000000
overall,deu_Latn,arb_Arab,Latin,Arabic,182,10664,1.70667667,4088,30000,13.62666667
overall,deu_Latn,hin_Deva,Latin,Devanagari,165,9694,1.70208376,4774,30000,15.91333333
overall,deu_Latn,guj_Gujr,Latin,Gujarati,191,8526,2.24020643,4765,30000,15.88333333
overall,deu_Latn,rus_Cyrl,Latin,Cyrillic,212,12448,1.70308483,4771,30000,15.90333333
overall,deu_Latn,tha_Thai,Latin,Thai,350,9570,3.65726228,5466,30000,18.22000000
overall,deu_Latn,zho_Hans,Latin,Han,284,11784,2.41004752,5293,30000,17.64333333
overall,deu_Latn,jpn_Jpan,Latin,Japanese,207,10773,1.92147034,4648,30000,15.49333333
overall,deu_Latn,kor_Hang,Latin,Hangul,263,9634,2.72991488,5151,30000,17.17000000
overall,nld_Latn,eng_Latn,Latin,Latin,1399,9578,14.60638964,13003,30000,43.34333333
overall,nld_Latn,deu_Latn,Latin,Latin,1570,10170,15.43756146,13636,30000,45.45333333
overall,nld_Latn,nld_Latn,Latin,Latin,5547,5547,100.00000000,30000,30000,100.00000000
