language_code,eng_Latn,deu_Latn,nld_Latn,swe_Latn,spa_Latn,fra_Latn,ita_Latn,por_Latn,ron_Latn,ind_Latn,zsm_Latn,tgl_Latn,pol_Latn,hun_Latn,tur_Latn,vie_Latn,arb_Arab,hin_Deva,guj_Gujr,rus_Cyrl,tha_Thai,zho_Hans,jpn_Jpan,kor_Hang
eng_Latn,5430,1346,1399,1309,1191,1330,1358,1231,1344,1233,1217,1253,1084,910,1045,709,245,221,228,243,376,316,249,288
deu_Latn,1346,6193,1570,1494,990,1016,1179,1037,1170,1204,1131,1009,1124,1074,1132,675,182,165,191,212,350,284,207,263
nld_Latn,1399,1570,5547,1377,1019,1129,1194,1095,1259,1166,1082,1026,1072,1060,1025,654,191,171,179,229,334,272,209,239
swe_Latn,1309,1494,1377,5849,1030,1082,1265,1142,1204,1225,1131,1083,1125,1076,1141,646,163,159,174,206,327,266,192,256
spa_Latn,1191,990,1019,1030,5505,1094,1532,2090,1424,1085,1051,1049,984,931,972,621,181,143,147,193,298,246,172,229
fra_Latn,1330,1016,1129,1082,1094,4912,1281,1192,1184,918,851,872,865,874,863,605,182,166,174,204,281,266,197,236
ita_Latn,1358,1179,1194,1265,1532,1281,6028,1581,1686,1146,1086,1064,1023,945,1035,637,164,162,191,210,330,273,204,249
por_Latn,1231,1037,1095,1142,2090,1192,1581,5779,1441,1114,1114,1062,1026,1006,1066,698,176,160,178,221,330,272,182,256
ron_Latn,1344,1170,1259,1204,1424,1184,1686,1441,5788,1214,1171,1017,1156,993,1099,695,165,149,171,205,317,277,195,235
ind_Latn,1233,1204,1166,1225,1085,918,1146,1114,1214,5527,3006,1382,1111,1059,1289,690,187,164,192,228,371,294,205,293
zsm_Latn,1217,1131,1082,1131,1051,851,1086,1114,1171,3006,5162,1396,1070,1041,1285,712,180,170,193,208,421,290,180,258
tgl_Latn,1253,1009,1026,1083,1049,872,1064,1062,1017,1382,1396,4058,1021,901,1088,616,183,151,174,178,299,245,174,232
pol_Latn,1084,1124,1072,1125,984,865,1023,1026,1156,1111,1070,1021,5787,972,1043,607,173,156,165,196,339,263,177,229
hun_Latn,910,1074,1060,1076,931,874,945,1006,993,1059,1041,901,972,5402,1001,650,149,143,154,210,354,247,178,243
tur_Latn,1045,1132,1025,1141,972,863,1035,1066,1099,1289,1285,1088,1043,1001,5674,664,167,166,191,221,369,298,193,277
vie_Latn,709,675,654,646,621,605,637,698,695,690,712,616,607,650,664,3071,153,138,149,183,268,211,158,206
arb_Arab,245,182,191,163,181,182,164,176,165,187,180,183,173,149,167,153,4653,109,96,99,115,114,91,103
hin_Deva,221,165,171,159,143,166,162,160,149,164,170,151,156,143,166,138,109,3666,117,112,118,117,89,111
guj_Gujr,228,191,179,174,147,174,191,178,171,192,193,174,165,154,191,149,96,117,2524,136,139,153,90,139
rus_Cyrl,243,212,229,206,193,204,210,221,205,228,208,178,196,210,221,183,99,112,136,6467,144,156,108,127
tha_Thai,376,350,334,327,298,281,330,330,317,371,421,299,339,354,369,268,115,118,139,144,3727,184,119,195
zho_Hans,316,284,272,266,246,266,273,272,277,294,290,245,263,247,298,211,114,117,153,156,184,5875,1155,186
jpn_Jpan,249,207,209,192,172,197,204,182,195,205,180,174,177,178,193,158,91,89,90,108,119,1155,4787,121
kor_Hang,288,263,239,256,229,236,249,256,235,293,258,232,229,243,277,206,103,111,139,127,195,186,121,3704
