language_i,language_j,frequency_i_to_j_percent,frequency_j_to_i_percent,absolute_gap_points
eng_Latn,vie_Latn,39.036667,16.953333,22.083333
eng_Latn,zsm_Latn,47.073333,25.966667,21.106667
eng_Latn,ind_Latn,49.003333,27.986667,21.016667
tgl_Latn,vie_Latn,37.073333,16.076667,20.996667
ita_Latn,vie_Latn,35.630000,16.280000,19.350000
eng_Latn,arb_Arab,25.936667,6.666667,19.270000
fra_Latn,vie_Latn,37.453333,18.230000,19.223333
fra_Latn,ind_Latn,47.573333,28.570000,19.003333
ron_Latn,vie_Latn,34.993333,16.453333,18.540000
fra_Latn,zsm_Latn,43.543333,26.160000,17.383333
por_Latn,vie_Latn,35.853333,19.006667,16.846667
por_Latn,ind_Latn,47.356667,30.676667,16.680000
spa_Latn,vie_Latn,34.046667,17.826667,16.220000
zho_Hans,jpn_Jpan,43.493333,27.466667,16.026667
por_Latn,zsm_Latn,43.503333,28.153333,15.350000
eng_Latn,hin_Deva,22.130000,7.003333,15.126667
spa_Latn,zsm_Latn,43.970000,29.310000,14.660000
zsm_Latn,tgl_Latn,38.830000,53.433333,14.603333
hun_Latn,vie_Latn,29.926667,15.786667,14.140000
spa_Latn,ind_Latn,46.310000,32.200000,14.110000
eng_Latn,jpn_Jpan,21.826667,7.966667,13.860000
ron_Latn,zsm_Latn,40.580000,26.753333,13.826667
ind_Latn,tgl_Latn,40.086667,53.893333,13.806667
fra_Latn,pol_Latn,47.690000,33.956667,13.733333
spa_Latn,pol_Latn,48.503333,34.796667,13.706667
ita_Latn,zsm_Latn,41.226667,27.570000,13.656667
eng_Latn,rus_Cyrl,23.780000,10.236667,13.543333
por_Latn,tha_Thai,25.320000,11.923333,13.396667
fra_Latn,hin_Deva,19.960000,6.663333,13.296667
eng_Latn,deu_Latn,51.326667,38.213333,13.113333
