language_i,language_j,relation,type_iou_percent,shared_token_count,frequency_i_to_j_percent,frequency_j_to_i_percent
ind_Latn,zsm_Latn,within Latin-script,39.125342,3006,80.970000,81.713333
spa_Latn,por_Latn,within Latin-script,22.732217,2090,65.650000,61.503333
zsm_Latn,tgl_Latn,within Latin-script,17.842536,1396,38.830000,53.433333
ind_Latn,tgl_Latn,within Latin-script,16.847495,1382,40.086667,53.893333
ita_Latn,ron_Latn,within Latin-script,16.643633,1686,54.390000,48.000000
ita_Latn,por_Latn,within Latin-script,15.460591,1581,52.870000,54.660000
deu_Latn,nld_Latn,within Latin-script,15.437561,1570,49.126667,45.453333
spa_Latn,ita_Latn,within Latin-script,15.318468,1532,55.160000,52.806667
eng_Latn,tgl_Latn,within Latin-script,15.215543,1253,47.910000,44.673333
eng_Latn,fra_Latn,within Latin-script,14.758100,1330,52.530000,52.156667
eng_Latn,nld_Latn,within Latin-script,14.606390,1399,54.153333,43.343333
spa_Latn,ron_Latn,within Latin-script,14.429020,1424,53.816667,45.223333
por_Latn,ron_Latn,within Latin-script,14.230693,1441,51.966667,45.063333
deu_Latn,swe_Latn,within Latin-script,14.163823,1494,42.196667,40.410000
nld_Latn,swe_Latn,within Latin-script,13.743887,1377,45.396667,41.743333
eng_Latn,ron_Latn,within Latin-script,13.611505,1344,47.710000,42.546667
zsm_Latn,tur_Latn,within Latin-script,13.454089,1285,36.796667,39.310000
eng_Latn,ita_Latn,within Latin-script,13.445545,1358,46.766667,46.096667
fra_Latn,ita_Latn,within Latin-script,13.262242,1281,52.003333,47.980000
eng_Latn,swe_Latn,within Latin-script,13.129388,1309,51.436667,40.903333
eng_Latn,deu_Latn,within Latin-script,13.097207,1346,51.326667,38.213333
ind_Latn,tur_Latn,within Latin-script,13.004439,1289,38.943333,38.096667
eng_Latn,zsm_Latn,within Latin-script,12.981333,1217,47.073333,25.966667
eng_Latn,ind_Latn,within Latin-script,12.679967,1233,49.003333,27.986667
tgl_Latn,tur_Latn,within Latin-script,12.586765,1088,44.036667,38.046667
fra_Latn,por_Latn,within Latin-script,12.548689,1192,54.333333,50.350000
nld_Latn,ron_Latn,within Latin-script,12.495038,1259,43.566667,41.106667
fra_Latn,ron_Latn,within Latin-script,12.442203,1184,52.306667,44.480000
eng_Latn,por_Latn,within Latin-script,12.337142,1231,49.506667,47.423333
spa_Latn,tgl_Latn,within Latin-script,12.320883,1049,51.160000,47.446667
