language_code,eng_Latn,deu_Latn,nld_Latn,swe_Latn,spa_Latn,fra_Latn,ita_Latn,por_Latn,ron_Latn,ind_Latn,zsm_Latn,tgl_Latn,pol_Latn,hun_Latn,tur_Latn,vie_Latn,arb_Arab,hin_Deva,guj_Gujr,rus_Cyrl,tha_Thai,zho_Hans,jpn_Jpan,kor_Hang
eng_Latn,100.00000000,13.09720736,14.60638964,13.12938816,12.22290640,14.75810031,13.44554455,12.33714171,13.61150496,12.67996709,12.98133333,15.21554341,10.69772032,9.17153800,10.38870663,9.09907598,2.49034357,2.49014085,2.95107429,2.08512099,4.28197244,2.87560288,2.49799358,3.25570879
deu_Latn,13.09720736,100.00000000,15.43756146,14.16382253,9.24542398,10.07037367,10.67741351,9.48331047,10.82231061,11.44922024,11.06220657,10.91755031,10.35372144,10.20815512,10.54494644,7.85888928,1.70667667,1.70208376,2.24020643,1.70308483,3.65726228,2.41004752,1.92147034,2.72991488
nld_Latn,14.60638964,15.43756146,100.00000000,13.74388662,10.15648360,12.10075027,11.50178210,10.70276610,12.49503771,11.76826807,11.23922302,11.95943583,10.44630676,10.71898069,10.05296195,8.21195379,1.90828255,1.89117452,2.26811961,1.94314807,3.73601790,2.43946188,2.06419753,2.65201953
swe_Latn,13.12938816,14.16382253,13.74388662,100.00000000,9.97675320,11.17884079,11.92046740,10.89071142,11.54030480,12.06777657,11.44736842,12.27334542,10.70307297,10.57493857,10.99017530,7.80759004,1.57655479,1.69944421,2.12221003,1.70107349,3.53551735,2.32152208,1.83837610,2.75357642
spa_Latn,12.22290640,9.24542398,10.15648360,9.97675320,100.00000000,11.73442025,15.31846815,22.73221666,14.42902016,10.90781140,10.92970050,12.32088325,9.54598370,9.33239775,9.52287646,7.80641106,1.81417260,1.58396101,1.86500888,1.63850921,3.33557197,2.20944854,1.69960474,2.55011136
fra_Latn,14.75810031,10.07037367,12.10075027,11.17884079,11.73442025,100.00000000,13.26224247,12.54868934,12.44220261,9.64184434,9.22693267,10.76809089,8.79601383,9.25847458,8.87586136,8.20005422,1.93967814,1.97337137,2.39603415,1.82550336,3.36204834,2.52827678,2.07324774,2.81622912
ita_Latn,13.44554455,10.67741351,11.50178210,11.92046740,15.31846815,13.26224247,100.00000000,15.46059065,16.64363277,11.00970314,10.74821853,11.79339393,9.47924388,9.01287554,9.70282179,7.52777121,1.55938005,1.69953840,2.28441574,1.70940171,3.50132626,2.34737747,1.92253322,2.62575134
por_Latn,12.33714171,9.48331047,10.70276610,10.89071142,22.73221666,12.54868934,15.46059065,100.00000000,14.23069326,10.93014129,11.33611479,12.10256410,9.73434535,9.88697789,10.26282854,8.56231600,1.71606864,1.72320948,2.19076923,1.83783784,3.59633827,2.38973818,1.75269646,2.77446624
ron_Latn,13.61150496,10.82231061,12.49503771,11.54030480,14.42902016,12.44220261,16.64363277,14.23069326,100.00000000,12.01861202,11.97463953,11.51885831,11.09511469,9.73815828,10.60503715,8.51298383,1.60568315,1.60128963,2.10047906,1.70124481,3.44640139,2.43281223,1.87861272,2.53861942
ind_Latn,12.67996709,11.44922024,11.76826807,12.06777657,10.90781140,9.64184434,11.00970314,10.93014129,12.01861202,100.00000000,39.12534166,16.84749482,10.88895423,10.72948328,13.00443906,8.72534143,1.87130992,1.81636948,2.44305891,1.93778684,4.17651694,2.64674109,2.02789593,3.27813829
