language_code,eng_Latn,deu_Latn,nld_Latn,swe_Latn,spa_Latn,fra_Latn,ita_Latn,por_Latn,ron_Latn,ind_Latn,zsm_Latn,tgl_Latn,pol_Latn,hun_Latn,tur_Latn,vie_Latn,arb_Arab,hin_Deva,guj_Gujr,rus_Cyrl,tha_Thai,zho_Hans,jpn_Jpan,kor_Hang
eng_Latn,100.00000000,13.09720736,14.60638964,13.12938816,12.22290640,14.75810031,13.44554455,12.33714171,13.61150496,12.67996709,12.98133333,15.21554341,10.69772032,9.17153800,10.38870663,9.09907598,2.49034357,2.49014085,2.95107429,2.08512099,4.28197244,2.87560288,2.49799358,3.25570879
deu_Latn,,100.00000000,15.43756146,14.16382253,9.24542398,10.07037367,10.67741351,9.48331047,10.82231061,11.44922024,11.06220657,10.91755031,10.35372144,10.20815512,10.54494644,7.85888928,1.70667667,1.70208376,2.24020643,1.70308483,3.65726228,2.41004752,1.92147034,2.72991488
nld_Latn,,,100.00000000,13.74388662,10.15648360,12.10075027,11.50178210,10.70276610,12.49503771,11.76826807,11.23922302,11.95943583,10.44630676,10.71898069,10.05296195,8.21195379,1.90828255,1.89117452,2.26811961,1.94314807,3.73601790,2.43946188,2.06419753,2.65201953
swe_Latn,,,,100.00000000,9.97675320,11.17884079,11.92046740,10.89071142,11.54030480,12.06777657,11.44736842,12.27334542,10.70307297,10.57493857,10.99017530,7.80759004,1.57655479,1.69944421,2.12221003,1.70107349,3.53551735,2.32152208,1.83837610,2.75357642
spa_Latn,,,,,100.00000000,11.73442025,15.31846815,22.73221666,14.42902016,10.90781140,10.92970050,12.32088325,9.54598370,9.33239775,9.52287646,7.80641106,1.81417260,1.58396101,1.86500888,1.63850921,3.33557197,2.20944854,1.69960474,2.55011136
fra_Latn,,,,,,100.00000000,13.26224247,12.54868934,12.44220261,9.64184434,9.22693267,10.76809089,8.79601383,9.25847458,8.87586136,8.20005422,1.93967814,1.97337137,2.39603415,1.82550336,3.36204834,2.52827678,2.07324774,2.81622912
ita_Latn,,,,,,,100.00000000,15.46059065,16.64363277,11.00970314,10.74821853,11.79339393,9.47924388,9.01287554,9.70282179,7.52777121,1.55938005,1.69953840,2.28441574,1.70940171,3.50132626,2.34737747,1.92253322,2.62575134
por_Latn,,,,,,,,100.00000000,14.23069326,10.93014129,11.33611479,12.10256410,9.73434535,9.88697789,10.26282854,8.56231600,1.71606864,1.72320948,2.19076923,1.83783784,3.59633827,2.38973818,1.75269646,2.77446624
ron_Latn,,,,,,,,,100.00000000,12.01861202,11.97463953,11.51885831,11.09511469,9.73815828,10.60503715,8.51298383,1.60568315,1.60128963,2.10047906,1.70124481,3.44640139,2.43281223,1.87861272,2.53861942
ind_Latn,,,,,,,,,,100.00000000,39.12534166,16.84749482,10.88895423,10.72948328,13.00443906,8.72534143,1.87130992,1.81636948,2.44305891,1.93778684,4.17651694,2.64674109,2.02789593,3.27813829
zsm_Latn,,,,,,,,,,,100.00000000,17.84253579,10.83105577,10.93142917,13.45408858,9.46682622,1.86818889,1.96350196,2.57573735,1.82120655,4.97165801,2.69842747,1.84256321,2.99721190
tgl_Latn,,,,,,,,,,,,100.00000000,11.57071623,10.52693072,12.58676539,9.45800706,2.14587242,1.99392579,2.71535581,1.72030540,3.99412236,2.52890173,2.00668896,3.08100930
pol_Latn,,,,,,,,,,,,,100.00000000,9.51355584,10.01151853,7.35668404,1.68501023,1.67796063,2.02553400,1.62547686,3.69482289,2.30721993,1.70241416,2.47246815
hun_Latn,,,,,,,,,,,,,,100.00000000,9.93548387,8.30883293,1.50413891,1.60224090,1.98147195,1.80118363,4.03418803,2.23934723,1.77804415,2.74173530
tur_Latn,,,,,,,,,,,,,,,100.00000000,8.21680485,1.64370079,1.80946152,2.38541276,1.85402685,4.08547387,2.64865345,1.87962602,3.04362158
vie_Latn,,,,,,,,,,,,,,,,100.00000000,2.02086911,2.09122594,2.73595299,1.95617317,4.10413476,2.41556955,2.05194805,3.13594154
arb_Arab,,,,,,,,,,,,,,,,,100.00000000,1.32764921,1.35574071,0.89828509,1.39140956,1.09468024,0.97336614,1.24787982
hin_Deva,,,,,,,,,,,,,,,,,,100.00000000,1.92656018,1.11765293,1.62199313,1.24151104,1.06408417,1.52913624
guj_Gujr,,,,,,,,,,,,,,,,,,,100.00000000,1.53585545,2.27421466,1.85544506,1.24636477,2.28280506
rus_Cyrl,,,,,,,,,,,,,,,,,,,,100.00000000,1.43283582,1.28015756,0.96895747,1.26443648
tha_Thai,,,,,,,,,,,,,,,,,,,,,100.00000000,1.95370567,1.41751042,2.69485904
zho_Hans,,,,,,,,,,,,,,,,,,,,,,100.00000000,12.14894288,1.98019802
jpn_Jpan,,,,,,,,,,,,,,,,,,,,,,,100.00000000,1.44563919
kor_Hang,,,,,,,,,,,,,,,,,,,,,,,,100.00000000
