source_language_code,eng_Latn,deu_Latn,nld_Latn,swe_Latn,fra_Latn,ita_Latn,por_Latn,ron_Latn,hin_Deva,rus_Cyrl,zho_Hans,jpn_Jpan
eng_Latn,100.00000000,44.08881776,50.98519704,51.51530306,52.36547309,47.76455291,48.68473695,48.03960792,25.64012803,30.13602721,28.38067614,32.86157231
deu_Latn,35.34206841,100.00000000,50.27505501,41.89337868,32.04640928,40.33806761,38.20264053,38.35267053,14.91298260,18.95379076,12.80256051,19.59391878
nld_Latn,40.23701185,49.39746987,100.00000000,48.60243012,38.81194060,44.39721986,42.15710786,44.40222011,14.29571479,22.47112356,16.89584479,20.02100105
swe_Latn,34.15170759,40.93704685,40.52202610,100.00000000,31.21656083,39.68698435,35.59177959,41.40707035,15.28576429,20.95104755,16.04080204,18.09090455
fra_Latn,41.25825165,43.71374275,50.08001600,45.19903981,100.00000000,48.07461492,53.55571114,46.35427085,21.64432887,26.90538108,21.86437287,25.35007001
ita_Latn,38.86888689,37.05870587,43.20932093,42.59425943,41.34413441,100.00000000,50.63506351,50.33003300,15.32653265,19.74197420,13.94139414,20.79207921
por_Latn,42.58000000,39.56000000,43.82000000,46.88000000,48.00500000,55.08000000,100.00000000,51.48000000,19.12500000,24.38000000,19.46000000,18.94500000
ron_Latn,39.46289258,36.66233247,40.27305461,40.12802561,39.49289858,50.14502901,45.05401080,100.00000000,16.82836567,21.61432286,15.16803361,18.52870574
hin_Deva,8.58542927,8.63543177,8.62543127,8.60043002,8.54542727,8.55542777,8.59542977,8.58542927,100.00000000,8.40542027,4.21021051,7.20536027
rus_Cyrl,12.71500000,12.79500000,12.78000000,12.82000000,13.40500000,12.80500000,12.72000000,13.01000000,11.48500000,100.00000000,7.26500000,8.80500000
zho_Hans,13.29066453,12.76563828,13.21066053,12.95064753,13.29566478,12.64063203,12.76563828,12.79063953,11.38056903,11.87559378,100.00000000,36.53182659
jpn_Jpan,8.59000000,8.72500000,8.54000000,8.57500000,8.71500000,8.13500000,8.78500000,8.82000000,6.74000000,7.19000000,20.24000000,100.00000000
