condition,source_language_code,target_language_code,source_script,target_script,shared_token_count,union_token_count,type_iou_percent,source_shared_token_occurrences,source_analysis_token_count,frequency_overlap_percent
reranking,eng_Latn,eng_Latn,Latin,Latin,3497,3497,100.00000000,19996,19996,100.00000000
reranking,eng_Latn,deu_Latn,Latin,Latin,790,7994,9.88241181,8816,19996,44.08881776
reranking,eng_Latn,nld_Latn,Latin,Latin,817,7440,10.98118280,10195,19996,50.98519704
reranking,eng_Latn,swe_Latn,Latin,Latin,803,7756,10.35327488,10301,19996,51.51530306
reranking,eng_Latn,fra_Latn,Latin,Latin,656,6171,10.63036785,10471,19996,52.36547309
reranking,eng_Latn,ita_Latn,Latin,Latin,858,7715,11.12119248,9551,19996,47.76455291
reranking,eng_Latn,por_Latn,Latin,Latin,750,7723,9.71125210,9735,19996,48.68473695
reranking,eng_Latn,ron_Latn,Latin,Latin,867,7608,11.39589905,9606,19996,48.03960792
reranking,eng_Latn,hin_Deva,Latin,Devanagari,125,6638,1.88309732,5127,19996,25.64012803
reranking,eng_Latn,rus_Cyrl,Latin,Cyrillic,192,8271,2.32136380,6026,19996,30.13602721
reranking,eng_Latn,zho_Hans,Latin,Han,174,7910,2.19974716,5675,19996,28.38067614
reranking,eng_Latn,jpn_Jpan,Latin,Japanese,228,6858,3.32458443,6571,19996,32.86157231
reranking,deu_Latn,eng_Latn,Latin,Latin,790,7994,9.88241181,7067,19996,35.34206841
reranking,deu_Latn,deu_Latn,Latin,Latin,5287,5287,100.00000000,19996,19996,100.00000000
reranking,deu_Latn,nld_Latn,Latin,Latin,1141,8906,12.81158769,10053,19996,50.27505501
reranking,deu_Latn,swe_Latn,Latin,Latin,1109,9240,12.00216450,8377,19996,41.89337868
reranking,deu_Latn,fra_Latn,Latin,Latin,592,8025,7.37694704,6408,19996,32.04640928
reranking,deu_Latn,ita_Latn,Latin,Latin,921,9442,9.75428935,8066,19996,40.33806761
reranking,deu_Latn,por_Latn,Latin,Latin,885,9378,9.43698017,7639,19996,38.20264053
reranking,deu_Latn,ron_Latn,Latin,Latin,951,9314,10.21043590,7669,19996,38.35267053
reranking,deu_Latn,hin_Deva,Latin,Devanagari,119,8434,1.41095566,2982,19996,14.91298260
reranking,deu_Latn,rus_Cyrl,Latin,Cyrillic,210,10043,2.09100866,3790,19996,18.95379076
reranking,deu_Latn,zho_Hans,Latin,Han,143,9731,1.46953037,2560,19996,12.80256051
reranking,deu_Latn,jpn_Jpan,Latin,Japanese,264,8612,3.06549001,3918,19996,19.59391878
reranking,nld_Latn,eng_Latn,Latin,Latin,817,7440,10.98118280,8047,19999,40.23701185
reranking,nld_Latn,deu_Latn,Latin,Latin,1141,8906,12.81158769,9879,19999,49.39746987
reranking,nld_Latn,nld_Latn,Latin,Latin,4760,4760,100.00000000,19999,19999,100.00000000
reranking,nld_Latn,swe_Latn,Latin,Latin,1041,8781,11.85514178,9720,19999,48.60243012
reranking,nld_Latn,fra_Latn,Latin,Latin,697,7393,9.42783714,7762,19999,38.81194060
reranking,nld_Latn,ita_Latn,Latin,Latin,952,8884,10.71589374,8879,19999,44.39721986
reranking,nld_Latn,por_Latn,Latin,Latin,881,8855,9.94918125,8431,19999,42.15710786
reranking,nld_Latn,ron_Latn,Latin,Latin,985,8753,11.25328459,8880,19999,44.40222011
reranking,nld_Latn,hin_Deva,Latin,Devanagari,114,7912,1.44084934,2859,19999,14.29571479
reranking,nld_Latn,rus_Cyrl,Latin,Cyrillic,212,9514,2.22829514,4494,19999,22.47112356
reranking,nld_Latn,zho_Hans,Latin,Han,167,9180,1.81917211,3379,19999,16.89584479
reranking,nld_Latn,jpn_Jpan,Latin,Japanese,230,8119,2.83286119,4004,19999,20.02100105
reranking,swe_Latn,eng_Latn,Latin,Latin,803,7756,10.35327488,6830,19999,34.15170759
reranking,swe_Latn,deu_Latn,Latin,Latin,1109,9240,12.00216450,8187,19999,40.93704685
reranking,swe_Latn,nld_Latn,Latin,Latin,1041,8781,11.85514178,8104,19999,40.52202610
reranking,swe_Latn,swe_Latn,Latin,Latin,5062,5062,100.00000000,19999,19999,100.00000000
reranking,swe_Latn,fra_Latn,Latin,Latin,639,7753,8.24197085,6243,19999,31.21656083
reranking,swe_Latn,ita_Latn,Latin,Latin,946,9192,10.29155788,7937,19999,39.68698435
reranking,swe_Latn,por_Latn,Latin,Latin,853,9185,9.28688078,7118,19999,35.59177959
reranking,swe_Latn,ron_Latn,Latin,Latin,1016,9024,11.25886525,8281,19999,41.40707035
reranking,swe_Latn,hin_Deva,Latin,Devanagari,117,8211,1.42491779,3057,19999,15.28576429
reranking,swe_Latn,rus_Cyrl,Latin,Cyrillic,211,9817,2.14933279,4190,19999,20.95104755
reranking,swe_Latn,zho_Hans,Latin,Han,160,9489,1.68616293,3208,19999,16.04080204
reranking,swe_Latn,jpn_Jpan,Latin,Japanese,240,8411,2.85340625,3618,19999,18.09090455
reranking,fra_Latn,eng_Latn,Latin,Latin,656,6171,10.63036785,8250,19996,41.25825165
reranking,fra_Latn,deu_Latn,Latin,Latin,592,8025,7.37694704,8741,19996,43.71374275
reranking,fra_Latn,nld_Latn,Latin,Latin,697,7393,9.42783714,10014,19996,50.08001600
reranking,fra_Latn,swe_Latn,Latin,Latin,639,7753,8.24197085,9038,19996,45.19903981
reranking,fra_Latn,fra_Latn,Latin,Latin,3330,3330,100.00000000,19996,19996,100.00000000
reranking,fra_Latn,ita_Latn,Latin,Latin,750,7656,9.79623824,9613,19996,48.07461492
reranking,fra_Latn,por_Latn,Latin,Latin,740,7566,9.78059741,10709,19996,53.55571114
reranking,fra_Latn,ron_Latn,Latin,Latin,733,7575,9.67656766,9269,19996,46.35427085
reranking,fra_Latn,hin_Deva,Latin,Devanagari,113,6483,1.74302021,4328,19996,21.64432887
reranking,fra_Latn,rus_Cyrl,Latin,Cyrillic,183,8113,2.25563910,5380,19996,26.90538108
reranking,fra_Latn,zho_Hans,Latin,Han,177,7740,2.28682171,4372,19996,21.86437287
reranking,fra_Latn,jpn_Jpan,Latin,Japanese,226,6693,3.37666218,5069,19996,25.35007001
reranking,ita_Latn,eng_Latn,Latin,Latin,858,7715,11.12119248,7773,19998,38.86888689
reranking,ita_Latn,deu_Latn,Latin,Latin,921,9442,9.75428935,7411,19998,37.05870587
reranking,ita_Latn,nld_Latn,Latin,Latin,952,8884,10.71589374,8641,19998,43.20932093
reranking,ita_Latn,swe_Latn,Latin,Latin,946,9192,10.29155788,8518,19998,42.59425943
reranking,ita_Latn,fra_Latn,Latin,Latin,750,7656,9.79623824,8268,19998,41.34413441
reranking,ita_Latn,ita_Latn,Latin,Latin,5076,5076,100.00000000,19998,19998,100.00000000
reranking,ita_Latn,por_Latn,Latin,Latin,1230,8822,13.94241669,10126,19998,50.63506351
reranking,ita_Latn,ron_Latn,Latin,Latin,1306,8748,14.92912666,10065,19998,50.33003300
reranking,ita_Latn,hin_Deva,Latin,Devanagari,111,8231,1.34856032,3065,19998,15.32653265
reranking,ita_Latn,rus_Cyrl,Latin,Cyrillic,218,9824,2.21905537,3948,19998,19.74197420
reranking,ita_Latn,zho_Hans,Latin,Han,157,9506,1.65158847,2788,19998,13.94139414
reranking,ita_Latn,jpn_Jpan,Latin,Japanese,238,8427,2.82425537,4158,19998,20.79207921
reranking,por_Latn,eng_Latn,Latin,Latin,750,7723,9.71125210,8516,20000,42.58000000
reranking,por_Latn,deu_Latn,Latin,Latin,885,9378,9.43698017,7912,20000,39.56000000
reranking,por_Latn,nld_Latn,Latin,Latin,881,8855,9.94918125,8764,20000,43.82000000
reranking,por_Latn,swe_Latn,Latin,Latin,853,9185,9.28688078,9376,20000,46.88000000
reranking,por_Latn,fra_Latn,Latin,Latin,740,7566,9.78059741,9601,20000,48.00500000
reranking,por_Latn,ita_Latn,Latin,Latin,1230,8822,13.94241669,11016,20000,55.08000000
reranking,por_Latn,por_Latn,Latin,Latin,4976,4976,100.00000000,20000,20000,100.00000000
reranking,por_Latn,ron_Latn,Latin,Latin,1170,8784,13.31967213,10296,20000,51.48000000
reranking,por_Latn,hin_Deva,Latin,Devanagari,116,8126,1.42751661,3825,20000,19.12500000
reranking,por_Latn,rus_Cyrl,Latin,Cyrillic,198,9744,2.03201970,4876,20000,24.38000000
reranking,por_Latn,zho_Hans,Latin,Han,146,9417,1.55038760,3892,20000,19.46000000
reranking,por_Latn,jpn_Jpan,Latin,Japanese,246,8319,2.95708619,3789,20000,18.94500000
reranking,ron_Latn,eng_Latn,Latin,Latin,867,7608,11.39589905,7891,19996,39.46289258
reranking,ron_Latn,deu_Latn,Latin,Latin,951,9314,10.21043590,7331,19996,36.66233247
reranking,ron_Latn,nld_Latn,Latin,Latin,985,8753,11.25328459,8053,19996,40.27305461
reranking,ron_Latn,swe_Latn,Latin,Latin,1016,9024,11.25886525,8024,19996,40.12802561
