language_code,eng_Latn,deu_Latn,nld_Latn,swe_Latn,fra_Latn,ita_Latn,por_Latn,ron_Latn,hin_Deva,rus_Cyrl,zho_Hans,jpn_Jpan
eng_Latn,3497,790,817,803,656,858,750,867,125,192,174,228
deu_Latn,790,5287,1141,1109,592,921,885,951,119,210,143,264
nld_Latn,817,1141,4760,1041,697,952,881,985,114,212,167,230
swe_Latn,803,1109,1041,5062,639,946,853,1016,117,211,160,240
fra_Latn,656,592,697,639,3330,750,740,733,113,183,177,226
ita_Latn,858,921,952,946,750,5076,1230,1306,111,218,157,238
por_Latn,750,885,881,853,740,1230,4976,1170,116,198,146,246
ron_Latn,867,951,985,1016,733,1306,1170,4978,113,205,153,256
hin_Deva,125,119,114,117,113,111,116,113,3266,80,58,69
rus_Cyrl,192,210,212,211,183,218,198,205,80,4966,83,105
zho_Hans,174,143,167,160,177,157,146,153,58,83,4587,740
jpn_Jpan,228,264,230,240,226,238,246,256,69,105,740,3589
