language_code,eng_Latn,deu_Latn,nld_Latn,swe_Latn,spa_Latn,fra_Latn,ita_Latn,por_Latn,ron_Latn,ind_Latn,zsm_Latn,tgl_Latn,pol_Latn,hun_Latn,tur_Latn,vie_Latn,arb_Arab,hin_Deva,guj_Gujr,rus_Cyrl,tha_Thai,zho_Hans,jpn_Jpan,kor_Hang
eng_Latn,3497.00000000,790.00000000,817.00000000,803.00000000,,656.00000000,858.00000000,750.00000000,867.00000000,,,,,,,,,125.00000000,,192.00000000,,174.00000000,228.00000000,
deu_Latn,790.00000000,5287.00000000,1141.00000000,1109.00000000,,592.00000000,921.00000000,885.00000000,951.00000000,,,,,,,,,119.00000000,,210.00000000,,143.00000000,264.00000000,
nld_Latn,817.00000000,1141.00000000,4760.00000000,1041.00000000,,697.00000000,952.00000000,881.00000000,985.00000000,,,,,,,,,114.00000000,,212.00000000,,167.00000000,230.00000000,
swe_Latn,803.00000000,1109.00000000,1041.00000000,5062.00000000,,639.00000000,946.00000000,853.00000000,1016.00000000,,,,,,,,,117.00000000,,211.00000000,,160.00000000,240.00000000,
spa_Latn,,,,,,,,,,,,,,,,,,,,,,,,
fra_Latn,656.00000000,592.00000000,697.00000000,639.00000000,,3330.00000000,750.00000000,740.00000000,733.00000000,,,,,,,,,113.00000000,,183.00000000,,177.00000000,226.00000000,
ita_Latn,858.00000000,921.00000000,952.00000000,946.00000000,,750.00000000,5076.00000000,1230.00000000,1306.00000000,,,,,,,,,111.00000000,,218.00000000,,157.00000000,238.00000000,
por_Latn,750.00000000,885.00000000,881.00000000,853.00000000,,740.00000000,1230.00000000,4976.00000000,1170.00000000,,,,,,,,,116.00000000,,198.00000000,,146.00000000,246.00000000,
ron_Latn,867.00000000,951.00000000,985.00000000,1016.00000000,,733.00000000,1306.00000000,1170.00000000,4978.00000000,,,,,,,,,113.00000000,,205.00000000,,153.00000000,256.00000000,
ind_Latn,,,,,,,,,,,,,,,,,,,,,,,,
zsm_Latn,,,,,,,,,,,,,,,,,,,,,,,,
tgl_Latn,,,,,,,,,,,,,,,,,,,,,,,,
pol_Latn,,,,,,,,,,,,,,,,,,,,,,,,
hun_Latn,,,,,,,,,,,,,,,,,,,,,,,,
tur_Latn,,,,,,,,,,,,,,,,,,,,,,,,
vie_Latn,,,,,,,,,,,,,,,,,,,,,,,,
arb_Arab,,,,,,,,,,,,,,,,,,,,,,,,
hin_Deva,125.00000000,119.00000000,114.00000000,117.00000000,,113.00000000,111.00000000,116.00000000,113.00000000,,,,,,,,,3266.00000000,,80.00000000,,58.00000000,69.00000000,
guj_Gujr,,,,,,,,,,,,,,,,,,,,,,,,
rus_Cyrl,192.00000000,210.00000000,212.00000000,211.00000000,,183.00000000,218.00000000,198.00000000,205.00000000,,,,,,,,,80.00000000,,4966.00000000,,83.00000000,105.00000000,
tha_Thai,,,,,,,,,,,,,,,,,,,,,,,,
zho_Hans,174.00000000,143.00000000,167.00000000,160.00000000,,177.00000000,157.00000000,146.00000000,153.00000000,,,,,,,,,58.00000000,,83.00000000,,4587.00000000,740.00000000,
jpn_Jpan,228.00000000,264.00000000,230.00000000,240.00000000,,226.00000000,238.00000000,246.00000000,256.00000000,,,,,,,,,69.00000000,,105.00000000,,740.00000000,3589.00000000,
kor_Hang,,,,,,,,,,,,,,,,,,,,,,,,
