condition,language_code,split,examples,encoded_token_count,analysis_token_count
reranking,eng_Latn,WebLINXCandidatesReranking|test_iid|queries:text,14,10090,10090
reranking,eng_Latn,WikipediaRerankingMultilingual|test|corpus:text,36,4381,4381
reranking,eng_Latn,WikipediaRerankingMultilingual|test|queries:text,339,5525,5525
reranking,deu_Latn,WikipediaRerankingMultilingual|test|corpus:text,71,7336,7336
reranking,deu_Latn,WikipediaRerankingMultilingual|test|queries:text,738,12661,12660
reranking,nld_Latn,WikipediaRerankingMultilingual|test|corpus:text,86,7957,7957
reranking,nld_Latn,WikipediaRerankingMultilingual|test|queries:text,731,12042,12042
reranking,swe_Latn,WikipediaRerankingMultilingual|test|corpus:text,95,9113,9113
reranking,swe_Latn,WikipediaRerankingMultilingual|test|queries:text,751,10886,10886
reranking,fra_Latn,AlloprofReranking|test|queries:text,397,19998,19996
reranking,ita_Latn,WikipediaRerankingMultilingual|test|corpus:text,64,6700,6700
reranking,ita_Latn,WikipediaRerankingMultilingual|test|queries:text,777,13299,13298
reranking,por_Latn,WikipediaRerankingMultilingual|test|corpus:text,64,7406,7406
reranking,por_Latn,WikipediaRerankingMultilingual|test|queries:text,743,12594,12594
reranking,ron_Latn,WikipediaRerankingMultilingual|test|corpus:text,83,7090,7090
reranking,ron_Latn,WikipediaRerankingMultilingual|test|queries:text,807,12906,12906
reranking,hin_Deva,WikipediaRerankingMultilingual|test|corpus:text,70,9412,9412
reranking,hin_Deva,WikipediaRerankingMultilingual|test|queries:text,688,10587,10587
reranking,rus_Cyrl,RuBQReranking|test|corpus:text,71,11084,11084
reranking,rus_Cyrl,RuBQReranking|test|queries:text,777,8916,8916
reranking,zho_Hans,T2Reranking|dev|queries:text,2320,20020,19999
reranking,jpn_Jpan,VoyageMMarcoReranking|test|corpus:text,101,9841,9836
reranking,jpn_Jpan,VoyageMMarcoReranking|test|queries:text,1013,10165,10164
