language_i,language_j,frequency_i_to_j_percent,frequency_j_to_i_percent,absolute_gap_points
eng_Latn,jpn_Jpan,32.861572,8.590000,24.271572
eng_Latn,rus_Cyrl,30.136027,12.715000,17.421027
eng_Latn,swe_Latn,51.515303,34.151708,17.363595
eng_Latn,hin_Deva,25.640128,8.585429,17.054699
fra_Latn,jpn_Jpan,25.350070,8.715000,16.635070
zho_Hans,jpn_Jpan,36.531827,20.240000,16.291827
eng_Latn,zho_Hans,28.380676,13.290665,15.090012
swe_Latn,fra_Latn,31.216561,45.199040,13.982479
fra_Latn,rus_Cyrl,26.905381,13.405000,13.500381
fra_Latn,hin_Deva,21.644329,8.545427,13.098902
ita_Latn,jpn_Jpan,20.792079,8.135000,12.657079
deu_Latn,fra_Latn,32.046409,43.713743,11.667333
por_Latn,rus_Cyrl,24.380000,12.720000,11.660000
nld_Latn,jpn_Jpan,20.021001,8.540000,11.481001
swe_Latn,por_Latn,35.591780,46.880000,11.288220
nld_Latn,fra_Latn,38.811941,50.080016,11.268075
eng_Latn,fra_Latn,52.365473,41.258252,11.107221
deu_Latn,jpn_Jpan,19.593919,8.725000,10.868919
eng_Latn,nld_Latn,50.985197,40.237012,10.748185
por_Latn,hin_Deva,19.125000,8.595430,10.529570
por_Latn,jpn_Jpan,18.945000,8.785000,10.160000
ron_Latn,jpn_Jpan,18.528706,8.820000,9.708706
nld_Latn,rus_Cyrl,22.471124,12.780000,9.691124
swe_Latn,jpn_Jpan,18.090905,8.575000,9.515905
eng_Latn,ita_Latn,47.764553,38.868887,8.895666
eng_Latn,deu_Latn,44.088818,35.342068,8.746749
ron_Latn,rus_Cyrl,21.614323,13.010000,8.604323
eng_Latn,ron_Latn,48.039608,39.462893,8.576715
fra_Latn,zho_Hans,21.864373,13.295665,8.568708
ron_Latn,hin_Deva,16.828366,8.585429,8.242936
