language_code,eng_Latn,deu_Latn,nld_Latn,swe_Latn,fra_Latn,ita_Latn,por_Latn,ron_Latn,hin_Deva,rus_Cyrl,zho_Hans,jpn_Jpan
eng_Latn,100.00000000,9.88241181,10.98118280,10.35327488,10.63036785,11.12119248,9.71125210,11.39589905,1.88309732,2.32136380,2.19974716,3.32458443
deu_Latn,,100.00000000,12.81158769,12.00216450,7.37694704,9.75428935,9.43698017,10.21043590,1.41095566,2.09100866,1.46953037,3.06549001
nld_Latn,,,100.00000000,11.85514178,9.42783714,10.71589374,9.94918125,11.25328459,1.44084934,2.22829514,1.81917211,2.83286119
swe_Latn,,,,100.00000000,8.24197085,10.29155788,9.28688078,11.25886525,1.42491779,2.14933279,1.68616293,2.85340625
fra_Latn,,,,,100.00000000,9.79623824,9.78059741,9.67656766,1.74302021,2.25563910,2.28682171,3.37666218
ita_Latn,,,,,,100.00000000,13.94241669,14.92912666,1.34856032,2.21905537,1.65158847,2.82425537
por_Latn,,,,,,,100.00000000,13.31967213,1.42751661,2.03201970,1.55038760,2.95708619
ron_Latn,,,,,,,,100.00000000,1.38974296,2.10493891,1.62558436,3.08025508
hin_Deva,,,,,,,,,100.00000000,0.98135427,0.74406671,1.01679929
rus_Cyrl,,,,,,,,,,100.00000000,0.87645195,1.24260355
zho_Hans,,,,,,,,,,,100.00000000,9.95158687
jpn_Jpan,,,,,,,,,,,,100.00000000
