source_language_code,eng_Latn,deu_Latn,nld_Latn,swe_Latn,spa_Latn,fra_Latn,ita_Latn,por_Latn,ron_Latn,ind_Latn,zsm_Latn,tgl_Latn,pol_Latn,hun_Latn,tur_Latn,vie_Latn,arb_Arab,hin_Deva,guj_Gujr,rus_Cyrl,tha_Thai,zho_Hans,jpn_Jpan,kor_Hang
eng_Latn,100.00000000,44.18325498,49.53986196,50.29008703,39.50685206,44.41832550,42.85785736,48.42952886,37.13113934,39.36180854,41.14734420,42.34270281,42.92787836,36.11583475,36.96108833,33.04491347,12.77383215,11.17835351,16.70501150,14.80444133,20.84125238,23.83715115,13.62408723,29.32379714
deu_Latn,37.51062659,100.00000000,42.86642996,37.28559284,37.25058759,33.06495974,37.82067310,35.53533030,32.00480072,38.60079012,36.95054258,31.57473621,33.85507826,36.18042706,36.17042556,23.97359604,12.74191129,12.66189928,12.57188578,14.97224584,19.95799370,19.36290444,12.79191879,19.73796069
nld_Latn,44.45500000,43.79500000,100.00000000,44.87000000,36.35500000,35.72500000,37.46500000,39.66000000,39.62000000,38.86000000,37.76500000,34.45500000,35.60000000,42.74500000,39.65500000,25.50000000,9.67000000,10.39500000,9.98000000,12.89000000,16.10500000,20.75500000,10.14000000,15.97000000
swe_Latn,38.52577887,36.52047807,36.47047057,100.00000000,38.31074661,35.06525979,44.04160624,38.93083963,35.20528079,38.43076461,36.68050208,35.47032055,33.75006251,37.06555983,41.47122068,22.77841676,11.79676952,12.07181077,12.87693154,15.11226684,19.33790069,19.51792769,11.92178827,18.82282342
spa_Latn,44.65446545,36.73367337,42.00920092,43.62436244,100.00000000,45.98959896,53.44534453,60.64106411,47.09470947,41.73917392,40.21402140,46.41964196,38.76387639,45.32453245,42.79927993,29.37793779,10.47104710,9.21592159,11.32113211,12.17621762,17.75177518,21.66216622,12.15621562,15.78657866
fra_Latn,48.32483248,40.58405841,42.30923092,46.60966097,46.95969597,100.00000000,52.01020102,50.52505251,44.34443444,41.21912191,41.77917792,42.40924092,43.00930093,43.11931193,40.26902690,30.39303930,14.27142714,12.77127713,16.35163516,13.89138914,19.48694869,21.65216522,14.76647665,19.01690169
ita_Latn,44.71500000,37.33500000,37.17000000,41.94000000,49.59500000,45.82000000,100.00000000,52.00000000,45.78500000,38.09500000,40.02000000,41.79000000,41.14500000,40.50500000,40.00000000,27.11500000,12.89000000,11.24500000,12.01000000,12.63000000,17.53500000,17.90500000,10.94500000,18.14000000
por_Latn,42.62926293,35.38853885,39.68896890,40.40904090,59.36093609,46.56465647,54.04540454,100.00000000,45.65956596,40.84908491,43.54435444,43.97439744,42.80428043,42.08420842,42.04420442,27.48774877,12.39123912,10.75107511,14.08640864,13.35133513,18.85688569,24.56745675,12.35623562,18.36183618
ron_Latn,37.73377338,31.26312631,36.46864686,36.36863686,39.67896790,37.71877188,41.62916292,40.18901890,100.00000000,36.97869787,36.66866687,34.83348335,37.56875688,38.71387139,34.41844184,27.29772977,10.18101810,9.43594359,9.56595660,10.96609661,14.34643464,20.30203020,10.52605261,16.22162216
ind_Latn,29.02000000,32.13500000,30.87500000,32.14500000,28.78500000,28.52500000,30.87000000,31.50500000,28.69500000,100.00000000,78.94000000,34.48500000,29.14000000,30.80500000,37.91000000,21.27000000,11.96000000,12.44500000,13.38500000,13.57000000,15.98500000,17.89000000,11.18500000,17.33000000
zsm_Latn,27.41274127,27.90779078,29.35293529,29.52795280,25.75257526,26.18761876,28.91289129,29.33293329,26.73267327,80.17301730,100.00000000,32.04320432,29.31793179,26.71267127,35.56355636,18.73187319,9.91099110,11.21612161,12.05620562,11.57615762,14.87648765,16.47664766,11.24112411,14.97149715
