condition,source_language_code,target_language_code,source_script,target_script,shared_token_count,union_token_count,type_iou_percent,source_shared_token_occurrences,source_analysis_token_count,frequency_overlap_percent
retrieval,eng_Latn,eng_Latn,Latin,Latin,4251,4251,100.00000000,19994,19994,100.00000000
retrieval,eng_Latn,deu_Latn,Latin,Latin,930,7943,11.70842251,8834,19994,44.18325498
retrieval,eng_Latn,nld_Latn,Latin,Latin,942,7533,12.50497810,9905,19994,49.53986196
retrieval,eng_Latn,swe_Latn,Latin,Latin,1026,7644,13.42229199,10055,19994,50.29008703
retrieval,eng_Latn,spa_Latn,Latin,Latin,885,7705,11.48604802,7899,19994,39.50685206
retrieval,eng_Latn,fra_Latn,Latin,Latin,1006,6964,14.44572085,8881,19994,44.41832550
retrieval,eng_Latn,ita_Latn,Latin,Latin,1051,7654,13.73138228,8569,19994,42.85785736
retrieval,eng_Latn,por_Latn,Latin,Latin,988,7705,12.82284231,9683,19994,48.42952886
retrieval,eng_Latn,ron_Latn,Latin,Latin,802,7529,10.65214504,7424,19994,37.13113934
retrieval,eng_Latn,ind_Latn,Latin,Latin,955,7929,12.04439400,7870,19994,39.36180854
retrieval,eng_Latn,zsm_Latn,Latin,Latin,985,7659,12.86068677,8227,19994,41.14734420
retrieval,eng_Latn,tgl_Latn,Latin,Latin,846,6565,12.88651942,8466,19994,42.34270281
retrieval,eng_Latn,pol_Latn,Latin,Latin,766,8068,9.49429846,8583,19994,42.92787836
retrieval,eng_Latn,hun_Latn,Latin,Latin,570,8243,6.91495815,7221,19994,36.11583475
retrieval,eng_Latn,tur_Latn,Latin,Latin,853,8041,10.60813332,7390,19994,36.96108833
retrieval,eng_Latn,vie_Latn,Latin,Latin,305,6337,4.81300300,6607,19994,33.04491347
retrieval,eng_Latn,arb_Arab,Latin,Arabic,108,7960,1.35678392,2554,19994,12.77383215
retrieval,eng_Latn,hin_Deva,Latin,Devanagari,123,6949,1.77003885,2235,19994,11.17835351
retrieval,eng_Latn,guj_Gujr,Latin,Gujarati,109,6047,1.80254672,3340,19994,16.70501150
retrieval,eng_Latn,rus_Cyrl,Latin,Cyrillic,103,9089,1.13323798,2960,19994,14.80444133
retrieval,eng_Latn,tha_Thai,Latin,Thai,356,7093,5.01903285,4167,19994,20.84125238
retrieval,eng_Latn,zho_Hans,Latin,Han,302,8410,3.59096314,4766,19994,23.83715115
retrieval,eng_Latn,jpn_Jpan,Latin,Japanese,96,7888,1.21703854,2724,19994,13.62408723
retrieval,eng_Latn,kor_Hang,Latin,Hangul,316,7078,4.46453801,5863,19994,29.32379714
retrieval,deu_Latn,eng_Latn,Latin,Latin,930,7943,11.70842251,7501,19997,37.51062659
retrieval,deu_Latn,deu_Latn,Latin,Latin,4622,4622,100.00000000,19997,19997,100.00000000
retrieval,deu_Latn,nld_Latn,Latin,Latin,1095,7751,14.12720939,8572,19997,42.86642996
retrieval,deu_Latn,swe_Latn,Latin,Latin,1020,8021,12.71661888,7456,19997,37.28559284
retrieval,deu_Latn,spa_Latn,Latin,Latin,667,8294,8.04195804,7449,19997,37.25058759
retrieval,deu_Latn,fra_Latn,Latin,Latin,693,7648,9.06119247,6612,19997,33.06495974
retrieval,deu_Latn,ita_Latn,Latin,Latin,817,8259,9.89223877,7563,19997,37.82067310
retrieval,deu_Latn,por_Latn,Latin,Latin,759,8305,9.13907285,7106,19997,35.53533030
retrieval,deu_Latn,ron_Latn,Latin,Latin,719,7983,9.00663911,6400,19997,32.00480072
retrieval,deu_Latn,ind_Latn,Latin,Latin,1006,8249,12.19541763,7719,19997,38.60079012
retrieval,deu_Latn,zsm_Latn,Latin,Latin,880,8135,10.81745544,7389,19997,36.95054258
retrieval,deu_Latn,tgl_Latn,Latin,Latin,652,7130,9.14446003,6314,19997,31.57473621
retrieval,deu_Latn,pol_Latn,Latin,Latin,752,8453,8.89624985,6770,19997,33.85507826
retrieval,deu_Latn,hun_Latn,Latin,Latin,713,8471,8.41695195,7235,19997,36.18042706
retrieval,deu_Latn,tur_Latn,Latin,Latin,813,8452,9.61902508,7233,19997,36.17042556
retrieval,deu_Latn,vie_Latn,Latin,Latin,309,6704,4.60918854,4794,19997,23.97359604
retrieval,deu_Latn,arb_Arab,Latin,Arabic,94,8345,1.12642301,2548,19997,12.74191129
retrieval,deu_Latn,hin_Deva,Latin,Devanagari,93,7350,1.26530612,2532,19997,12.66189928
retrieval,deu_Latn,guj_Gujr,Latin,Gujarati,88,6439,1.36667184,2514,19997,12.57188578
retrieval,deu_Latn,rus_Cyrl,Latin,Cyrillic,94,9469,0.99271306,2994,19997,14.97224584
retrieval,deu_Latn,tha_Thai,Latin,Thai,313,7507,4.16944185,3991,19997,19.95799370
retrieval,deu_Latn,zho_Hans,Latin,Han,293,8790,3.33333333,3872,19997,19.36290444
retrieval,deu_Latn,jpn_Jpan,Latin,Japanese,99,8256,1.19912791,2558,19997,12.79191879
retrieval,deu_Latn,kor_Hang,Latin,Hangul,304,7461,4.07452084,3947,19997,19.73796069
retrieval,nld_Latn,eng_Latn,Latin,Latin,942,7533,12.50497810,8891,20000,44.45500000
retrieval,nld_Latn,deu_Latn,Latin,Latin,1095,7751,14.12720939,8759,20000,43.79500000
retrieval,nld_Latn,nld_Latn,Latin,Latin,4224,4224,100.00000000,20000,20000,100.00000000
retrieval,nld_Latn,swe_Latn,Latin,Latin,943,7700,12.24675325,8974,20000,44.87000000
retrieval,nld_Latn,spa_Latn,Latin,Latin,659,7904,8.33755061,7271,20000,36.35500000
retrieval,nld_Latn,fra_Latn,Latin,Latin,667,7276,9.16712479,7145,20000,35.72500000
retrieval,nld_Latn,ita_Latn,Latin,Latin,734,7944,9.23967774,7493,20000,37.46500000
retrieval,nld_Latn,por_Latn,Latin,Latin,689,7977,8.63733233,7932,20000,39.66000000
retrieval,nld_Latn,ron_Latn,Latin,Latin,887,7417,11.95901308,7924,20000,39.62000000
retrieval,nld_Latn,ind_Latn,Latin,Latin,983,7874,12.48412497,7772,20000,38.86000000
retrieval,nld_Latn,zsm_Latn,Latin,Latin,778,7839,9.92473530,7553,20000,37.76500000
retrieval,nld_Latn,tgl_Latn,Latin,Latin,589,6795,8.66813834,6891,20000,34.45500000
retrieval,nld_Latn,pol_Latn,Latin,Latin,668,8139,8.20739649,7120,20000,35.60000000
retrieval,nld_Latn,hun_Latn,Latin,Latin,856,7930,10.79445145,8549,20000,42.74500000
retrieval,nld_Latn,tur_Latn,Latin,Latin,677,8190,8.26617827,7931,20000,39.65500000
retrieval,nld_Latn,vie_Latn,Latin,Latin,375,6240,6.00961538,5100,20000,25.50000000
retrieval,nld_Latn,arb_Arab,Latin,Arabic,82,7959,1.03028019,1934,20000,9.67000000
retrieval,nld_Latn,hin_Deva,Latin,Devanagari,83,6962,1.19218615,2079,20000,10.39500000
retrieval,nld_Latn,guj_Gujr,Latin,Gujarati,73,6056,1.20541612,1996,20000,9.98000000
retrieval,nld_Latn,rus_Cyrl,Latin,Cyrillic,127,9038,1.40517814,2578,20000,12.89000000
retrieval,nld_Latn,tha_Thai,Latin,Thai,276,7146,3.86230059,3221,20000,16.10500000
retrieval,nld_Latn,zho_Hans,Latin,Han,244,8441,2.89065277,4151,20000,20.75500000
retrieval,nld_Latn,jpn_Jpan,Latin,Japanese,77,7880,0.97715736,2028,20000,10.14000000
retrieval,nld_Latn,kor_Hang,Latin,Hangul,224,7143,3.13593728,3194,20000,15.97000000
retrieval,swe_Latn,eng_Latn,Latin,Latin,1026,7644,13.42229199,7704,19997,38.52577887
retrieval,swe_Latn,deu_Latn,Latin,Latin,1020,8021,12.71661888,7303,19997,36.52047807
retrieval,swe_Latn,nld_Latn,Latin,Latin,943,7700,12.24675325,7293,19997,36.47047057
retrieval,swe_Latn,swe_Latn,Latin,Latin,4419,4419,100.00000000,19997,19997,100.00000000
retrieval,swe_Latn,spa_Latn,Latin,Latin,774,7984,9.69438878,7661,19997,38.31074661
retrieval,swe_Latn,fra_Latn,Latin,Latin,799,7339,10.88704183,7012,19997,35.06525979
retrieval,swe_Latn,ita_Latn,Latin,Latin,946,7927,11.93389681,8807,19997,44.04160624
retrieval,swe_Latn,por_Latn,Latin,Latin,817,8044,10.15663849,7785,19997,38.93083963
retrieval,swe_Latn,ron_Latn,Latin,Latin,702,7797,9.00346287,7040,19997,35.20528079
retrieval,swe_Latn,ind_Latn,Latin,Latin,977,8075,12.09907121,7685,19997,38.43076461
retrieval,swe_Latn,zsm_Latn,Latin,Latin,978,7834,12.48404391,7335,19997,36.68050208
retrieval,swe_Latn,tgl_Latn,Latin,Latin,749,6830,10.96632504,7093,19997,35.47032055
retrieval,swe_Latn,pol_Latn,Latin,Latin,834,8168,10.21057786,6749,19997,33.75006251
retrieval,swe_Latn,hun_Latn,Latin,Latin,700,8281,8.45308538,7412,19997,37.06555983
retrieval,swe_Latn,tur_Latn,Latin,Latin,891,8171,10.90441806,8293,19997,41.47122068
retrieval,swe_Latn,vie_Latn,Latin,Latin,279,6531,4.27193385,4555,19997,22.77841676
retrieval,swe_Latn,arb_Arab,Latin,Arabic,103,8133,1.26644535,2359,19997,11.79676952
retrieval,swe_Latn,hin_Deva,Latin,Devanagari,109,7131,1.52853737,2414,19997,12.07181077
retrieval,swe_Latn,guj_Gujr,Latin,Gujarati,97,6227,1.55773246,2575,19997,12.87693154
retrieval,swe_Latn,rus_Cyrl,Latin,Cyrillic,97,9263,1.04717694,3022,19997,15.11226684
retrieval,swe_Latn,tha_Thai,Latin,Thai,326,7291,4.47126594,3867,19997,19.33790069
retrieval,swe_Latn,zho_Hans,Latin,Han,280,8600,3.25581395,3903,19997,19.51792769
retrieval,swe_Latn,jpn_Jpan,Latin,Japanese,86,8066,1.06620382,2384,19997,11.92178827
retrieval,swe_Latn,kor_Hang,Latin,Hangul,252,7310,3.44733242,3764,19997,18.82282342
retrieval,spa_Latn,eng_Latn,Latin,Latin,885,7705,11.48604802,8930,19998,44.65446545
retrieval,spa_Latn,deu_Latn,Latin,Latin,667,8294,8.04195804,7346,19998,36.73367337
retrieval,spa_Latn,nld_Latn,Latin,Latin,659,7904,8.33755061,8401,19998,42.00920092
retrieval,spa_Latn,swe_Latn,Latin,Latin,774,7984,9.69438878,8724,19998,43.62436244
retrieval,spa_Latn,spa_Latn,Latin,Latin,4339,4339,100.00000000,19998,19998,100.00000000
retrieval,spa_Latn,fra_Latn,Latin,Latin,811,7247,11.19083759,9197,19998,45.98959896
retrieval,spa_Latn,ita_Latn,Latin,Latin,1202,7591,15.83454090,10688,19998,53.44534453
retrieval,spa_Latn,por_Latn,Latin,Latin,1654,7127,23.20752070,12127,19998,60.64106411
retrieval,spa_Latn,ron_Latn,Latin,Latin,793,7626,10.39863624,9418,19998,47.09470947
retrieval,spa_Latn,ind_Latn,Latin,Latin,785,8187,9.58837181,8347,19998,41.73917392
retrieval,spa_Latn,zsm_Latn,Latin,Latin,777,7955,9.76744186,8042,19998,40.21402140
retrieval,spa_Latn,tgl_Latn,Latin,Latin,730,6769,10.78445856,9283,19998,46.41964196
retrieval,spa_Latn,pol_Latn,Latin,Latin,728,8194,8.88454967,7752,19998,38.76387639
retrieval,spa_Latn,hun_Latn,Latin,Latin,574,8327,6.89323886,9064,19998,45.32453245
