language_code,eng_Latn,deu_Latn,nld_Latn,swe_Latn,spa_Latn,fra_Latn,ita_Latn,por_Latn,ron_Latn,ind_Latn,zsm_Latn,tgl_Latn,pol_Latn,hun_Latn,tur_Latn,vie_Latn,arb_Arab,hin_Deva,guj_Gujr,rus_Cyrl,tha_Thai,zho_Hans,jpn_Jpan,kor_Hang
eng_Latn,4251,930,942,1026,885,1006,1051,988,802,955,985,846,766,570,853,305,108,123,109,103,356,302,96,316
deu_Latn,930,4622,1095,1020,667,693,817,759,719,1006,880,652,752,713,813,309,94,93,88,94,313,293,99,304
nld_Latn,942,1095,4224,943,659,667,734,689,887,983,778,589,668,856,677,375,82,83,73,127,276,244,77,224
swe_Latn,1026,1020,943,4419,774,799,946,817,702,977,978,749,834,700,891,279,103,109,97,97,326,280,86,252
spa_Latn,885,667,659,774,4339,811,1202,1654,793,785,777,730,728,574,721,289,98,107,94,71,257,242,76,203
fra_Latn,1006,693,667,799,811,3719,942,898,674,665,676,627,650,533,616,276,87,98,86,75,248,226,77,214
ita_Latn,1051,817,734,946,1202,942,4454,1275,890,864,848,755,771,561,804,308,102,106,103,77,316,279,96,245
por_Latn,988,759,689,817,1654,898,1275,4442,862,853,835,802,783,630,798,349,110,115,101,82,300,301,95,256
ron_Latn,802,719,887,702,793,674,890,862,4080,873,724,549,615,813,609,380,64,61,58,110,220,197,65,196
ind_Latn,955,1006,983,977,785,665,864,853,873,4633,2508,981,779,805,980,369,100,113,97,115,333,325,92,298
zsm_Latn,985,880,778,978,777,676,848,835,724,2508,4393,993,763,717,1013,291,105,126,104,110,390,308,96,272
tgl_Latn,846,652,589,749,730,627,755,802,549,981,993,3160,733,533,815,281,88,101,88,76,234,237,75,206
pol_Latn,766,752,668,834,728,650,771,783,615,779,763,733,4583,588,764,253,84,111,88,82,266,265,83,249
hun_Latn,570,713,856,700,574,533,561,630,813,805,717,533,588,4562,670,401,66,67,72,149,233,228,68,198
tur_Latn,853,813,677,891,721,616,804,798,609,980,1013,815,764,670,4643,296,109,127,108,101,349,314,97,253
vie_Latn,305,309,375,279,289,276,308,349,380,369,291,281,253,401,296,2391,60,66,68,97,125,134,56,102
arb_Arab,108,94,82,103,98,87,102,110,64,100,105,88,84,66,109,60,3817,87,68,51,94,97,58,87
hin_Deva,123,93,83,109,107,98,106,115,61,113,126,101,111,67,127,66,87,2821,88,58,98,107,52,99
guj_Gujr,109,88,73,97,94,86,103,101,58,97,104,88,88,72,108,68,68,88,1905,49,97,92,48,86
rus_Cyrl,103,94,127,97,71,75,77,82,110,115,110,76,82,149,101,97,51,58,49,4941,73,80,37,82
tha_Thai,356,313,276,326,257,248,316,300,220,333,390,234,266,233,349,125,94,98,97,73,3198,212,80,206
zho_Hans,302,293,244,280,242,226,279,301,197,325,308,237,265,228,314,134,97,107,92,80,212,4461,885,225
jpn_Jpan,96,99,77,86,76,77,96,95,65,92,96,75,83,68,97,56,58,52,48,37,80,885,3733,97
kor_Hang,316,304,224,252,203,214,245,256,196,298,272,206,249,198,253,102,87,99,86,82,206,225,97,3143
