language_i,language_j,frequency_i_to_j_percent,frequency_j_to_i_percent,absolute_gap_points
tgl_Latn,vie_Latn,33.878470,13.942789,19.935681
eng_Latn,vie_Latn,33.044913,14.672935,18.371979
zsm_Latn,tgl_Latn,32.043204,49.332333,17.289129
fra_Latn,zsm_Latn,41.779178,26.187619,15.591559
fra_Latn,vie_Latn,30.393039,15.303061,15.089979
ind_Latn,tgl_Latn,34.485000,49.102276,14.617276
spa_Latn,zsm_Latn,40.214021,25.752575,14.461446
por_Latn,zsm_Latn,43.544354,29.332933,14.211421
eng_Latn,kor_Hang,29.323797,15.155000,14.168797
fra_Latn,pol_Latn,43.009301,28.970000,14.039301
spa_Latn,vie_Latn,29.377938,15.453091,13.924847
eng_Latn,zsm_Latn,41.147344,27.412741,13.734603
zho_Hans,jpn_Jpan,42.727136,29.474421,13.252715
spa_Latn,ind_Latn,41.739174,28.785000,12.954174
fra_Latn,ind_Latn,41.219122,28.525000,12.694122
hun_Latn,tha_Thai,19.854964,7.945000,11.909964
ron_Latn,vie_Latn,27.297730,15.493099,11.804631
eng_Latn,tha_Thai,20.841252,9.060000,11.781252
eng_Latn,swe_Latn,50.290087,38.525779,11.764308
fra_Latn,hun_Latn,43.119312,31.372843,11.746469
swe_Latn,fra_Latn,35.065260,46.609661,11.544401
nld_Latn,vie_Latn,25.500000,14.082817,11.417183
deu_Latn,tha_Thai,19.957994,8.550000,11.407994
tgl_Latn,pol_Latn,43.425856,32.040000,11.385856
fra_Latn,tha_Thai,19.486949,8.165000,11.321949
por_Latn,vie_Latn,27.487749,16.173235,11.314514
spa_Latn,tur_Latn,42.799280,31.599740,11.199540
ita_Latn,zsm_Latn,40.020000,28.912891,11.107109
ita_Latn,vie_Latn,27.115000,16.228246,10.886754
fra_Latn,jpn_Jpan,14.766477,4.175626,10.590850
