language_code,eng_Latn,deu_Latn,nld_Latn,swe_Latn,spa_Latn,fra_Latn,ita_Latn,por_Latn,ron_Latn,ind_Latn,zsm_Latn,tgl_Latn,pol_Latn,hun_Latn,tur_Latn,vie_Latn,arb_Arab,hin_Deva,guj_Gujr,rus_Cyrl,tha_Thai,zho_Hans,jpn_Jpan,kor_Hang
eng_Latn,100.00000000,11.70842251,12.50497810,13.42229199,11.48604802,14.44572085,13.73138228,12.82284231,10.65214504,12.04439400,12.86068677,12.88651942,9.49429846,6.91495815,10.60813332,4.81300300,1.35678392,1.77003885,1.80254672,1.13323798,5.01903285,3.59096314,1.21703854,4.46453801
deu_Latn,11.70842251,100.00000000,14.12720939,12.71661888,8.04195804,9.06119247,9.89223877,9.13907285,9.00663911,12.19541763,10.81745544,9.14446003,8.89624985,8.41695195,9.61902508,4.60918854,1.12642301,1.26530612,1.36667184,0.99271306,4.16944185,3.33333333,1.19912791,4.07452084
nld_Latn,12.50497810,14.12720939,100.00000000,12.24675325,8.33755061,9.16712479,9.23967774,8.63733233,11.95901308,12.48412497,9.92473530,8.66813834,8.20739649,10.79445145,8.26617827,6.00961538,1.03028019,1.19218615,1.20541612,1.40517814,3.86230059,2.89065277,0.97715736,3.13593728
swe_Latn,13.42229199,12.71661888,12.24675325,100.00000000,9.69438878,10.88704183,11.93389681,10.15663849,9.00346287,12.09907121,12.48404391,10.96632504,10.21057786,8.45308538,10.90441806,4.27193385,1.26644535,1.52853737,1.55773246,1.04717694,4.47126594,3.25581395,1.06620382,3.44733242
spa_Latn,11.48604802,8.04195804,8.33755061,9.69438878,100.00000000,11.19083759,15.83454090,23.20752070,10.39863624,9.58837181,9.76744186,10.78445856,8.88454967,6.89323886,8.72775693,4.48688092,1.21618268,1.51708493,1.52845528,0.77098491,3.53021978,2.82776350,0.95047524,2.78884462
fra_Latn,14.44572085,9.06119247,9.16712479,10.88704183,11.19083759,100.00000000,13.02724381,12.36403690,9.45964912,8.65096917,9.09090909,10.02879079,8.49451124,6.87919463,7.95249161,4.73088790,1.16794201,1.52126669,1.55290719,0.87361677,3.71869846,2.84133769,1.04406780,3.21901324
ita_Latn,13.73138228,9.89223877,9.23967774,11.93389681,15.83454090,13.02724381,100.00000000,16.73008791,11.64311879,10.50711419,10.60132517,11.00743549,9.32736511,6.63512714,9.69492343,4.71164143,1.24862284,1.47858837,1.64641944,0.82635759,4.30752454,3.23066234,1.18650352,3.33242655
por_Latn,12.82284231,9.13907285,8.63733233,10.15663849,23.20752070,12.36403690,16.73008791,100.00000000,11.25326371,10.37460472,10.43750000,11.79411765,9.50012133,7.52328636,9.62954024,5.38247995,1.34985888,1.60884163,1.61703490,0.88162563,4.08719346,3.49918624,1.17574257,3.49297312
ron_Latn,10.65214504,9.00663911,11.95901308,9.00346287,10.39863624,9.45964912,11.64311879,11.25326371,100.00000000,11.13520408,9.34314105,8.20505156,7.64165010,10.38446800,7.50554597,6.23871286,0.81705604,0.89181287,0.97857263,1.23442936,3.11703032,2.36097795,0.83892617,2.78924150
ind_Latn,12.04439400,12.19541763,12.48412497,12.09907121,9.58837181,8.65096917,10.50711419,10.37460472,11.13520408,100.00000000,38.47806075,14.40105696,9.23313974,9.59475566,11.81292189,5.54470323,1.19760479,1.53929982,1.50597733,1.21577334,4.44118432,3.70623788,1.11191685,3.98502273
zsm_Latn,12.86068677,10.81745544,9.92473530,12.48404391,9.76744186,9.09090909,10.60132517,10.43750000,9.34314105,38.47806075,100.00000000,15.13719512,9.29014976,8.70356883,12.62619968,4.48174958,1.29549661,1.77765237,1.67904424,1.19254120,5.41591446,3.60402527,1.19551681,3.74449339
tgl_Latn,12.88651942,9.14446003,8.66813834,10.96632504,10.78445856,10.02879079,11.00743549,11.79411765,8.20505156,14.40105696,15.13719512,100.00000000,10.45649073,7.41410488,11.66285060,5.33206831,1.27739875,1.71768707,1.76813341,0.94704050,3.82103201,3.20964247,1.10002933,3.37871084
pol_Latn,9.49429846,8.89624985,8.20739649,10.21057786,8.88454967,8.49451124,9.32736511,9.50012133,7.64165010,9.23313974,9.29014976,10.45649073,100.00000000,6.87156714,9.02859844,3.76432079,1.01010101,1.52200740,1.37500000,0.86846007,3.53958749,3.01856703,1.00813798,3.33021265
hun_Latn,6.91495815,8.41695195,10.79445145,8.45308538,6.89323886,6.87919463,6.63512714,7.52328636,10.38446800,9.59475566,8.70356883,7.41410488,6.87156714,100.00000000,7.85002929,6.12026862,0.79393721,0.91580098,1.12587959,1.59290143,3.09552278,2.59238204,0.82654674,2.63753830
tur_Latn,10.60813332,9.61902508,8.26617827,10.90441806,8.72775693,7.95249161,9.69492343,9.62954024,7.50554597,11.81292189,12.62619968,11.66285060,9.02859844,7.85002929,100.00000000,4.39299495,1.30523291,1.73095271,1.67701863,1.06506380,4.65830219,3.57224118,1.17163909,3.35855569
vie_Latn,4.81300300,4.60918854,6.00961538,4.27193385,4.48688092,4.73088790,4.71164143,5.38247995,6.23871286,5.54470323,4.48174958,5.33206831,3.76432079,6.12026862,4.39299495,100.00000000,0.97592713,1.28254955,1.60832545,1.34070491,2.28770132,1.99464126,0.92287409,1.87776141
arb_Arab,1.35678392,1.12642301,1.03028019,1.26644535,1.21618268,1.16794201,1.24862284,1.34985888,0.81705604,1.19760479,1.29549661,1.27739875,1.01010101,0.79393721,1.30523291,0.97592713,100.00000000,1.32804152,1.20268836,0.58573562,1.35818523,1.18567412,0.77415910,1.26582278
hin_Deva,1.77003885,1.26530612,1.19218615,1.52853737,1.51708493,1.52126669,1.47858837,1.60884163,0.89181287,1.53929982,1.77765237,1.71768707,1.52200740,0.91580098,1.73095271,1.28254955,1.32804152,100.00000000,1.89736956,0.75285566,1.65512582,1.49128920,0.79975392,1.68797954
