condition,language_code,examples,analysis_tokens,tasks
classification,arb_Arab,2347,20000,1
classification,deu_Latn,2105,20000,1
classification,eng_Latn,2467,20000,1
classification,fra_Latn,1888,20000,1
classification,guj_Gujr,919,20000,1
classification,hin_Deva,2058,20000,1
classification,hun_Latn,1985,20000,1
classification,ind_Latn,2544,20000,1
classification,ita_Latn,2253,20000,1
classification,jpn_Jpan,2183,20000,1
classification,kor_Hang,2305,20000,1
classification,nld_Latn,2179,20000,1
classification,pol_Latn,2212,20000,1
classification,por_Latn,2233,20000,1
classification,ron_Latn,2234,20000,1
classification,rus_Cyrl,2234,20000,1
classification,spa_Latn,2258,20000,1
classification,swe_Latn,2407,20000,1
classification,tgl_Latn,1853,20000,1
classification,tha_Thai,2148,20000,1
classification,tur_Latn,2452,20000,1
classification,vie_Latn,1962,20000,1
classification,zho_Hans,2568,20000,1
classification,zsm_Latn,2505,20000,1
clustering,arb_Arab,561,19991,1
clustering,deu_Latn,569,19994,1
clustering,eng_Latn,677,19993,1
clustering,fra_Latn,521,19999,1
clustering,guj_Gujr,471,19989,1
clustering,hin_Deva,531,19993,1
clustering,hun_Latn,569,20000,1
clustering,ind_Latn,710,19994,1
clustering,ita_Latn,546,19992,1
clustering,jpn_Jpan,606,19994,1
clustering,kor_Hang,581,19993,1
clustering,nld_Latn,577,20000,1
clustering,pol_Latn,563,19991,1
clustering,por_Latn,601,19999,1
clustering,ron_Latn,536,20000,1
clustering,rus_Cyrl,552,20000,1
clustering,spa_Latn,557,20000,1
clustering,swe_Latn,632,19998,1
clustering,tgl_Latn,460,19991,1
clustering,tha_Thai,618,19992,1
clustering,tur_Latn,644,19994,1
clustering,vie_Latn,566,20000,1
clustering,zho_Hans,679,20000,1
clustering,zsm_Latn,708,19988,1
overall,arb_Arab,1621,30000,4
overall,deu_Latn,1449,30000,5
overall,eng_Latn,1452,30000,8
overall,fra_Latn,1110,30000,5
overall,guj_Gujr,857,29998,4
overall,hin_Deva,1385,30000,5
overall,hun_Latn,1469,30000,3
overall,ind_Latn,1828,30000,4
overall,ita_Latn,1411,30000,5
overall,jpn_Jpan,1627,30000,5
overall,kor_Hang,1662,30000,4
overall,nld_Latn,1515,30000,5
overall,pol_Latn,1462,30000,4
overall,por_Latn,1407,30000,4
overall,ron_Latn,1480,30000,4
overall,rus_Cyrl,1560,30000,5
overall,spa_Latn,1487,30000,4
overall,swe_Latn,1605,30000,4
overall,tgl_Latn,1259,30000,3
overall,tha_Thai,1555,30000,3
overall,tur_Latn,1647,30000,4
overall,vie_Latn,1422,30000,3
overall,zho_Hans,2105,30000,5
overall,zsm_Latn,1770,30000,3
reranking,deu_Latn,809,19996,1
reranking,eng_Latn,389,19996,2
reranking,fra_Latn,397,19996,1
reranking,hin_Deva,758,19999,1
reranking,ita_Latn,841,19998,1
reranking,jpn_Jpan,1114,20000,1
reranking,nld_Latn,817,19999,1
reranking,por_Latn,807,20000,1
reranking,ron_Latn,890,19996,1
reranking,rus_Cyrl,848,20000,1
reranking,swe_Latn,846,19999,1
reranking,zho_Hans,2320,19999,1
retrieval,arb_Arab,350,19999,1
retrieval,deu_Latn,367,19997,1
retrieval,eng_Latn,442,19994,1
retrieval,fra_Latn,294,19998,1
retrieval,guj_Gujr,306,19996,1
retrieval,hin_Deva,324,19997,1
retrieval,hun_Latn,330,19995,1
retrieval,ind_Latn,430,20000,1
retrieval,ita_Latn,339,20000,1
retrieval,jpn_Jpan,351,19997,1
retrieval,kor_Hang,352,20000,1
retrieval,nld_Latn,364,20000,1
retrieval,pol_Latn,369,20000,1
retrieval,por_Latn,350,19998,1
retrieval,ron_Latn,376,19998,1
retrieval,rus_Cyrl,333,19997,1
retrieval,spa_Latn,336,19998,1
retrieval,swe_Latn,385,19997,1
retrieval,tgl_Latn,295,19995,1
retrieval,tha_Thai,400,20000,1
retrieval,tur_Latn,418,19997,1
retrieval,vie_Latn,326,19996,1
retrieval,zho_Hans,429,19999,1
retrieval,zsm_Latn,429,19998,1
sts,arb_Arab,10,2923,1
sts,deu_Latn,7,2944,1
sts,eng_Latn,81,2950,3
sts,fra_Latn,5,2932,1
sts,guj_Gujr,149,2949,1
sts,hin_Deva,132,2951,1
sts,ind_Latn,149,2951,1
sts,ita_Latn,7,2932,1
sts,jpn_Jpan,211,2949,1
sts,kor_Hang,167,2951,1
sts,nld_Latn,250,2951,1
sts,pol_Latn,7,2951,1
sts,rus_Cyrl,8,2933,1
sts,spa_Latn,7,2928,1
sts,tur_Latn,6,2943,1
sts,zho_Hans,8,2941,1
