source_language_code,eng_Latn,deu_Latn,nld_Latn,spa_Latn,fra_Latn,ita_Latn,ind_Latn,pol_Latn,tur_Latn,arb_Arab,hin_Deva,guj_Gujr,rus_Cyrl,zho_Hans,jpn_Jpan,kor_Hang
eng_Latn,100.00000000,21.49152542,27.93220339,24.98305085,33.72881356,25.38983051,30.20338983,23.45762712,21.86440678,6.27118644,5.69491525,30.77966102,10.67796610,4.54237288,0.44067797,12.47457627
deu_Latn,24.25271739,100.00000000,24.28668478,23.33559783,22.65625000,18.20652174,24.21875000,21.43342391,22.48641304,6.89538043,5.67255435,10.42798913,9.30706522,3.60054348,0.54347826,10.32608696
nld_Latn,27.21111488,25.31345307,100.00000000,24.87292443,26.29617079,21.55201627,24.97458489,22.26363944,24.22907489,9.14944087,2.16875635,11.25042359,9.25110132,1.72822772,1.59268045,10.26770586
spa_Latn,26.09289617,19.33060109,23.70218579,100.00000000,36.74863388,35.55327869,29.40573770,19.36475410,29.64480874,3.55191257,8.29918033,16.01775956,10.79234973,8.60655738,0.44398907,10.99726776
fra_Latn,27.59208731,20.60027285,24.62482947,33.56070941,100.00000000,34.14051842,26.53478854,20.63437926,23.70395634,6.51432469,8.32196453,16.13233288,10.53888131,4.94542974,0.75034106,11.35743520
ita_Latn,26.19372442,16.13233288,16.47339700,33.96998636,31.44611187,100.00000000,27.79672578,19.61118690,20.63437926,4.91132333,6.24147340,13.06275580,8.86766712,5.66166439,0.71623465,8.39017735
ind_Latn,19.92544900,20.90816672,16.46899356,21.55201627,22.53473399,22.46696035,100.00000000,20.97594036,19.62046764,9.28498814,8.26838360,14.30023721,13.75804812,5.93019315,0.30498136,14.09691630
pol_Latn,20.29820400,20.33209082,22.83971535,17.68891901,21.07760081,21.89088445,24.83903761,100.00000000,19.62046764,7.15011860,7.48898678,12.26702813,11.48763131,5.96407997,1.21992545,11.45374449
tur_Latn,15.73224601,17.15936120,19.74176011,19.60584438,19.46992864,18.75637105,21.71253823,17.53312946,100.00000000,5.06286103,4.55317703,9.48012232,7.84913354,3.39789331,0.37376826,7.64525994
arb_Arab,4.55011974,4.20800547,3.62641122,4.68696545,5.40540541,5.74751967,4.92644543,4.51590831,4.48169689,100.00000000,3.52377694,4.44748546,5.54225111,2.56585700,2.22374273,4.61854259
hin_Deva,11.18264995,10.97932904,1.99932226,11.41985768,2.57539817,11.35208404,11.35208404,10.97932904,10.91155540,10.36936632,100.00000000,7.04845815,11.18264995,1.82988817,0.81328363,11.14876313
guj_Gujr,28.45032214,10.07121058,9.15564598,10.74940658,10.71549678,10.88504578,10.61376738,10.44421838,10.03730078,7.49406579,5.52729739,100.00000000,9.96948118,5.01865039,2.23804680,9.63038318
rus_Cyrl,11.83088987,11.48994204,9.71701330,12.20593249,12.99011251,12.34231163,11.89907944,12.88782816,11.14899420,7.26218889,7.46675759,11.48994204,100.00000000,6.17115581,0.88646437,11.18308899
zho_Hans,7.95647739,7.95647739,6.52839170,8.09248555,7.99047943,8.22849371,8.02448147,7.88847331,7.71846311,3.12818769,7.48044883,8.09248555,7.54845291,100.00000000,12.17273036,7.75246515
jpn_Jpan,6.81586979,6.78195999,6.78195999,6.81586979,6.81586979,6.78195999,6.78195999,6.81586979,6.78195999,6.78195999,6.78195999,6.78195999,6.81586979,17.12444897,100.00000000,6.78195999
kor_Hang,12.47034903,12.26702813,11.62317858,12.87699085,12.23314131,12.53812267,13.01253812,12.50423585,12.47034903,11.75872586,7.25177906,12.43646222,12.36868858,6.54015588,5.15079634,100.00000000
