condition,source_language_code,target_language_code,source_script,target_script,shared_token_count,union_token_count,type_iou_percent,source_shared_token_occurrences,source_analysis_token_count,frequency_overlap_percent
sts,eng_Latn,eng_Latn,Latin,Latin,1183,1183,100.00000000,2950,2950,100.00000000
sts,eng_Latn,deu_Latn,Latin,Latin,86,2221,3.87212967,634,2950,21.49152542
sts,eng_Latn,nld_Latn,Latin,Latin,75,1965,3.81679389,824,2950,27.93220339
sts,eng_Latn,spa_Latn,Latin,Latin,85,2198,3.86715196,737,2950,24.98305085
sts,eng_Latn,fra_Latn,Latin,Latin,126,2243,5.61747659,995,2950,33.72881356
sts,eng_Latn,ita_Latn,Latin,Latin,78,2270,3.43612335,749,2950,25.38983051
sts,eng_Latn,ind_Latn,Latin,Latin,119,2571,4.62854920,891,2950,30.20338983
sts,eng_Latn,pol_Latn,Latin,Latin,76,2351,3.23266695,692,2950,23.45762712
sts,eng_Latn,tur_Latn,Latin,Latin,64,2301,2.78139939,645,2950,21.86440678
sts,eng_Latn,arb_Arab,Latin,Arabic,15,2398,0.62552127,185,2950,6.27118644
sts,eng_Latn,hin_Deva,Latin,Devanagari,17,2325,0.73118280,168,2950,5.69491525
sts,eng_Latn,guj_Gujr,Latin,Gujarati,105,2163,4.85436893,908,2950,30.77966102
sts,eng_Latn,rus_Cyrl,Latin,Cyrillic,20,2505,0.79840319,315,2950,10.67796610
sts,eng_Latn,zho_Hans,Latin,Han,9,2349,0.38314176,134,2950,4.54237288
sts,eng_Latn,jpn_Jpan,Latin,Japanese,2,1887,0.10598834,13,2950,0.44067797
sts,eng_Latn,kor_Hang,Latin,Hangul,19,2257,0.84182543,368,2950,12.47457627
sts,deu_Latn,eng_Latn,Latin,Latin,86,2221,3.87212967,714,2944,24.25271739
sts,deu_Latn,deu_Latn,Latin,Latin,1124,1124,100.00000000,2944,2944,100.00000000
sts,deu_Latn,nld_Latn,Latin,Latin,91,1890,4.81481481,715,2944,24.28668478
sts,deu_Latn,spa_Latn,Latin,Latin,65,2159,3.01065308,687,2944,23.33559783
sts,deu_Latn,fra_Latn,Latin,Latin,102,2208,4.61956522,667,2944,22.65625000
sts,deu_Latn,ita_Latn,Latin,Latin,68,2221,3.06168393,536,2944,18.20652174
sts,deu_Latn,ind_Latn,Latin,Latin,112,2519,4.44620881,713,2944,24.21875000
sts,deu_Latn,pol_Latn,Latin,Latin,87,2281,3.81411662,631,2944,21.43342391
sts,deu_Latn,tur_Latn,Latin,Latin,71,2235,3.17673378,662,2944,22.48641304
sts,deu_Latn,arb_Arab,Latin,Arabic,10,2344,0.42662116,203,2944,6.89538043
sts,deu_Latn,hin_Deva,Latin,Devanagari,12,2271,0.52840159,167,2944,5.67255435
sts,deu_Latn,guj_Gujr,Latin,Gujarati,18,2191,0.82154267,307,2944,10.42798913
sts,deu_Latn,rus_Cyrl,Latin,Cyrillic,18,2448,0.73529412,274,2944,9.30706522
sts,deu_Latn,zho_Hans,Latin,Han,7,2292,0.30541012,106,2944,3.60054348
sts,deu_Latn,jpn_Jpan,Latin,Japanese,1,1829,0.05467469,16,2944,0.54347826
sts,deu_Latn,kor_Hang,Latin,Hangul,14,2203,0.63549705,304,2944,10.32608696
