language_code,eng_Latn,deu_Latn,nld_Latn,spa_Latn,fra_Latn,ita_Latn,ind_Latn,pol_Latn,tur_Latn,arb_Arab,hin_Deva,guj_Gujr,rus_Cyrl,zho_Hans,jpn_Jpan,kor_Hang
eng_Latn,1183,86,75,85,126,78,119,76,64,15,17,105,20,9,2,19
deu_Latn,86,1124,91,65,102,68,112,87,71,10,12,18,18,7,1,14
nld_Latn,75,91,857,53,71,62,76,70,64,5,6,14,6,3,1,9
spa_Latn,85,65,53,1100,121,150,120,78,82,20,22,32,29,17,2,24
fra_Latn,126,102,71,121,1186,118,122,98,85,19,18,34,27,14,2,20
ita_Latn,78,68,62,150,118,1165,97,81,72,21,19,32,25,14,1,19
ind_Latn,119,112,76,120,122,97,1507,119,102,21,22,34,27,17,1,28
pol_Latn,76,87,70,78,98,81,119,1244,67,15,12,24,23,11,2,18
tur_Latn,64,71,64,82,85,72,102,67,1182,14,12,26,18,7,1,15
arb_Arab,15,10,5,20,19,21,21,15,14,1230,16,13,22,7,1,16
hin_Deva,17,12,6,22,18,19,22,12,12,16,1159,19,16,8,1,16
guj_Gujr,105,18,14,32,34,32,34,24,26,13,19,1085,16,12,1,17
rus_Cyrl,20,18,6,29,27,25,27,23,18,22,16,16,1342,9,2,15
zho_Hans,9,7,3,17,14,14,17,11,7,7,8,12,9,1175,67,11
jpn_Jpan,2,1,1,2,2,1,1,2,1,1,1,1,2,67,706,1
kor_Hang,19,14,9,24,20,19,28,18,15,16,16,17,15,11,1,1093
