language_code,eng_Latn,deu_Latn,nld_Latn,swe_Latn,spa_Latn,fra_Latn,ita_Latn,por_Latn,ron_Latn,ind_Latn,zsm_Latn,tgl_Latn,pol_Latn,hun_Latn,tur_Latn,vie_Latn,arb_Arab,hin_Deva,guj_Gujr,rus_Cyrl,tha_Thai,zho_Hans,jpn_Jpan,kor_Hang
eng_Latn,1183.00000000,86.00000000,75.00000000,,85.00000000,126.00000000,78.00000000,,,119.00000000,,,76.00000000,,64.00000000,,15.00000000,17.00000000,105.00000000,20.00000000,,9.00000000,2.00000000,19.00000000
deu_Latn,86.00000000,1124.00000000,91.00000000,,65.00000000,102.00000000,68.00000000,,,112.00000000,,,87.00000000,,71.00000000,,10.00000000,12.00000000,18.00000000,18.00000000,,7.00000000,1.00000000,14.00000000
nld_Latn,75.00000000,91.00000000,857.00000000,,53.00000000,71.00000000,62.00000000,,,76.00000000,,,70.00000000,,64.00000000,,5.00000000,6.00000000,14.00000000,6.00000000,,3.00000000,1.00000000,9.00000000
swe_Latn,,,,,,,,,,,,,,,,,,,,,,,,
spa_Latn,85.00000000,65.00000000,53.00000000,,1100.00000000,121.00000000,150.00000000,,,120.00000000,,,78.00000000,,82.00000000,,20.00000000,22.00000000,32.00000000,29.00000000,,17.00000000,2.00000000,24.00000000
fra_Latn,126.00000000,102.00000000,71.00000000,,121.00000000,1186.00000000,118.00000000,,,122.00000000,,,98.00000000,,85.00000000,,19.00000000,18.00000000,34.00000000,27.00000000,,14.00000000,2.00000000,20.00000000
ita_Latn,78.00000000,68.00000000,62.00000000,,150.00000000,118.00000000,1165.00000000,,,97.00000000,,,81.00000000,,72.00000000,,21.00000000,19.00000000,32.00000000,25.00000000,,14.00000000,1.00000000,19.00000000
por_Latn,,,,,,,,,,,,,,,,,,,,,,,,
ron_Latn,,,,,,,,,,,,,,,,,,,,,,,,
ind_Latn,119.00000000,112.00000000,76.00000000,,120.00000000,122.00000000,97.00000000,,,1507.00000000,,,119.00000000,,102.00000000,,21.00000000,22.00000000,34.00000000,27.00000000,,17.00000000,1.00000000,28.00000000
zsm_Latn,,,,,,,,,,,,,,,,,,,,,,,,
tgl_Latn,,,,,,,,,,,,,,,,,,,,,,,,
pol_Latn,76.00000000,87.00000000,70.00000000,,78.00000000,98.00000000,81.00000000,,,119.00000000,,,1244.00000000,,67.00000000,,15.00000000,12.00000000,24.00000000,23.00000000,,11.00000000,2.00000000,18.00000000
hun_Latn,,,,,,,,,,,,,,,,,,,,,,,,
tur_Latn,64.00000000,71.00000000,64.00000000,,82.00000000,85.00000000,72.00000000,,,102.00000000,,,67.00000000,,1182.00000000,,14.00000000,12.00000000,26.00000000,18.00000000,,7.00000000,1.00000000,15.00000000
vie_Latn,,,,,,,,,,,,,,,,,,,,,,,,
arb_Arab,15.00000000,10.00000000,5.00000000,,20.00000000,19.00000000,21.00000000,,,21.00000000,,,15.00000000,,14.00000000,,1230.00000000,16.00000000,13.00000000,22.00000000,,7.00000000,1.00000000,16.00000000
hin_Deva,17.00000000,12.00000000,6.00000000,,22.00000000,18.00000000,19.00000000,,,22.00000000,,,12.00000000,,12.00000000,,16.00000000,1159.00000000,19.00000000,16.00000000,,8.00000000,1.00000000,16.00000000
guj_Gujr,105.00000000,18.00000000,14.00000000,,32.00000000,34.00000000,32.00000000,,,34.00000000,,,24.00000000,,26.00000000,,13.00000000,19.00000000,1085.00000000,16.00000000,,12.00000000,1.00000000,17.00000000
rus_Cyrl,20.00000000,18.00000000,6.00000000,,29.00000000,27.00000000,25.00000000,,,27.00000000,,,23.00000000,,18.00000000,,22.00000000,16.00000000,16.00000000,1342.00000000,,9.00000000,2.00000000,15.00000000
tha_Thai,,,,,,,,,,,,,,,,,,,,,,,,
zho_Hans,9.00000000,7.00000000,3.00000000,,17.00000000,14.00000000,14.00000000,,,17.00000000,,,11.00000000,,7.00000000,,7.00000000,8.00000000,12.00000000,9.00000000,,1175.00000000,67.00000000,11.00000000
jpn_Jpan,2.00000000,1.00000000,1.00000000,,2.00000000,2.00000000,1.00000000,,,1.00000000,,,2.00000000,,1.00000000,,1.00000000,1.00000000,1.00000000,2.00000000,,67.00000000,706.00000000,1.00000000
kor_Hang,19.00000000,14.00000000,9.00000000,,24.00000000,20.00000000,19.00000000,,,28.00000000,,,18.00000000,,15.00000000,,16.00000000,16.00000000,17.00000000,15.00000000,,11.00000000,1.00000000,1093.00000000
