condition,language_code,token_id,token,count,frequency_percent
sts,eng_Latn,4,",",98,3.32203390
sts,eng_Latn,5,.,121,4.10169492
sts,eng_Latn,6,▁,12,0.40677966
sts,eng_Latn,7,s,80,2.71186441
sts,eng_Latn,8,▁de,5,0.16949153
sts,eng_Latn,9,-,30,1.01694915
sts,eng_Latn,10,▁a,62,2.10169492
sts,eng_Latn,11,a,6,0.20338983
sts,eng_Latn,12,:,5,0.16949153
sts,eng_Latn,13,e,14,0.47457627
sts,eng_Latn,15,▁(,3,0.10169492
sts,eng_Latn,16,),3,0.10169492
sts,eng_Latn,18,t,3,0.10169492
sts,eng_Latn,19,n,3,0.10169492
sts,eng_Latn,20,▁-,5,0.16949153
sts,eng_Latn,23,▁in,44,1.49152542
sts,eng_Latn,26,’,23,0.77966102
sts,eng_Latn,27,...,2,0.06779661
sts,eng_Latn,28,▁e,1,0.03389831
sts,eng_Latn,32,?,1,0.03389831
sts,eng_Latn,33,en,2,0.06779661
sts,eng_Latn,34,u,1,0.03389831
sts,eng_Latn,38,!,1,0.03389831
sts,eng_Latn,39,m,9,0.30508475
sts,eng_Latn,40,▁se,2,0.06779661
sts,eng_Latn,41,▁que,1,0.03389831
sts,eng_Latn,42,r,1,0.03389831
sts,eng_Latn,44,"▁""",1,0.03389831
sts,eng_Latn,47,▁to,53,1.79661017
sts,eng_Latn,51,▁un,2,0.06779661
sts,eng_Latn,52,▁“,23,0.77966102
sts,eng_Latn,53,y,6,0.20338983
sts,eng_Latn,54,▁do,6,0.20338983
sts,eng_Latn,56,er,6,0.20338983
sts,eng_Latn,57,▁sa,1,0.03389831
sts,eng_Latn,58,"""",1,0.03389831
sts,eng_Latn,62,▁A,25,0.84745763
sts,eng_Latn,63,”,12,0.40677966
sts,eng_Latn,67,te,2,0.06779661
sts,eng_Latn,68,▁die,1,0.03389831
sts,eng_Latn,70,▁the,105,3.55932203
sts,eng_Latn,71,d,13,0.44067797
sts,eng_Latn,83,▁is,35,1.18644068
sts,eng_Latn,86,ne,4,0.13559322
sts,eng_Latn,87,▁I,7,0.23728814
sts,eng_Latn,90,es,8,0.27118644
sts,eng_Latn,91,▁s,1,0.03389831
sts,eng_Latn,95,▁le,1,0.03389831
sts,eng_Latn,98,▁on,13,0.44067797
sts,eng_Latn,99,▁at,6,0.20338983
sts,eng_Latn,100,▁for,17,0.57627119
sts,eng_Latn,107,re,1,0.03389831
sts,eng_Latn,111,▁of,46,1.55932203
sts,eng_Latn,112,de,1,0.03389831
sts,eng_Latn,115,▁du,1,0.03389831
sts,eng_Latn,117,▁per,2,0.06779661
sts,eng_Latn,118,ti,1,0.03389831
sts,eng_Latn,126,et,1,0.03389831
sts,eng_Latn,132,(,1,0.03389831
sts,eng_Latn,133,le,1,0.03389831
sts,eng_Latn,136,▁and,40,1.35593220
sts,eng_Latn,142,▁an,7,0.23728814
sts,eng_Latn,145,ja,1,0.03389831
sts,eng_Latn,163,▁me,1,0.03389831
sts,eng_Latn,177,g,1,0.03389831
sts,eng_Latn,184,se,1,0.03389831
