language_i,language_j,frequency_i_to_j_percent,frequency_j_to_i_percent,absolute_gap_points
eng_Latn,ind_Latn,30.203390,19.925449,10.277941
spa_Latn,tur_Latn,29.644809,19.605844,10.038964
nld_Latn,ind_Latn,24.974585,16.468994,8.505591
spa_Latn,ind_Latn,29.405738,21.552016,7.853721
arb_Arab,kor_Hang,4.618543,11.758726,7.140183
arb_Arab,hin_Deva,3.523777,10.369366,6.845589
ind_Latn,jpn_Jpan,0.304981,6.781960,6.476979
tur_Latn,jpn_Jpan,0.373768,6.781960,6.408192
eng_Latn,jpn_Jpan,0.440678,6.815870,6.375192
spa_Latn,jpn_Jpan,0.443989,6.815870,6.371881
tur_Latn,hin_Deva,4.553177,10.911555,6.358378
deu_Latn,jpn_Jpan,0.543478,6.781960,6.238482
eng_Latn,fra_Latn,33.728814,27.592087,6.136726
eng_Latn,tur_Latn,21.864407,15.732246,6.132161
ita_Latn,jpn_Jpan,0.716235,6.781960,6.065725
fra_Latn,jpn_Jpan,0.750341,6.815870,6.065529
hin_Deva,jpn_Jpan,0.813284,6.781960,5.968676
rus_Cyrl,jpn_Jpan,0.886464,6.815870,5.929405
fra_Latn,hin_Deva,8.321965,2.575398,5.746566
hin_Deva,zho_Hans,1.829888,7.480449,5.650561
pol_Latn,jpn_Jpan,1.219925,6.815870,5.595944
nld_Latn,arb_Arab,9.149441,3.626411,5.523030
eng_Latn,hin_Deva,5.694915,11.182650,5.487735
fra_Latn,guj_Gujr,16.132333,10.715497,5.416836
ita_Latn,ind_Latn,27.796726,22.466960,5.329765
deu_Latn,tur_Latn,22.486413,17.159361,5.327052
deu_Latn,hin_Deva,5.672554,10.979329,5.306775
spa_Latn,guj_Gujr,16.017760,10.749407,5.268353
nld_Latn,jpn_Jpan,1.592680,6.781960,5.189280
ita_Latn,hin_Deva,6.241473,11.352084,5.110611
