language_code,eng_Latn,deu_Latn,nld_Latn,swe_Latn,spa_Latn,fra_Latn,ita_Latn,por_Latn,ron_Latn,ind_Latn,zsm_Latn,tgl_Latn,pol_Latn,hun_Latn,tur_Latn,vie_Latn,arb_Arab,hin_Deva,guj_Gujr,rus_Cyrl,tha_Thai,zho_Hans,jpn_Jpan,kor_Hang
eng_Latn,100.00000000,3.87212967,3.81679389,,3.86715196,5.61747659,3.43612335,,,4.62854920,,,3.23266695,,2.78139939,,0.62552127,0.73118280,4.85436893,0.79840319,,0.38314176,0.10598834,0.84182543
deu_Latn,,100.00000000,4.81481481,,3.01065308,4.61956522,3.06168393,,,4.44620881,,,3.81411662,,3.17673378,,0.42662116,0.52840159,0.82154267,0.73529412,,0.30541012,0.05467469,0.63549705
nld_Latn,,,100.00000000,,2.78361345,3.60040568,3.16326531,,,3.32167832,,,3.44657804,,3.24050633,,0.24015370,0.29850746,0.72614108,0.27359781,,0.14785609,0.06402049,0.46367852
swe_Latn,,,,,,,,,,,,,,,,,,,,,,,,
spa_Latn,,,,,100.00000000,5.58891455,7.09219858,,,4.82509047,,,3.44218888,,3.72727273,,0.86580087,0.98345999,1.48629819,1.20182346,,0.75287865,0.11086475,1.10650069
fra_Latn,,,,,,100.00000000,5.28437080,,,4.74523532,,,4.20240137,,3.72317127,,0.79265749,0.77352815,1.51989271,1.07956817,,0.59650618,0.10582011,0.88534750
ita_Latn,,,,,,,100.00000000,,,3.76699029,,,3.47938144,,3.16483516,,0.88458298,0.82429501,1.44274121,1.00725222,,0.60189166,0.05347594,0.84859312
por_Latn,,,,,,,,,,,,,,,,,,,,,,,,
ron_Latn,,,,,,,,,,,,,,,,,,,,,,,,
ind_Latn,,,,,,,,,,100.00000000,,,4.52127660,,3.94279088,,0.77319588,0.83207262,1.32916341,0.95676825,,0.63789869,0.04520796,1.08864697
zsm_Latn,,,,,,,,,,,,,,,,,,,,,,,,
tgl_Latn,,,,,,,,,,,,,,,,,,,,,,,,
pol_Latn,,,,,,,,,,,,,100.00000000,,2.84018652,,0.61000407,0.50188206,1.04121475,0.89738588,,0.45681063,0.10266940,0.77619664
hun_Latn,,,,,,,,,,,,,,,,,,,,,,,,
tur_Latn,,,,,,,,,,,,,,,100.00000000,,0.58381985,0.51524259,1.16019634,0.71827614,,0.29787234,0.05299417,0.66371681
vie_Latn,,,,,,,,,,,,,,,,,,,,,,,,
arb_Arab,,,,,,,,,,,,,,,,,100.00000000,0.67425200,0.56472632,0.86274510,,0.29190992,0.05167959,0.69354140
hin_Deva,,,,,,,,,,,,,,,,,,100.00000000,0.85393258,0.64386318,,0.34393809,0.05364807,0.71556351
guj_Gujr,,,,,,,,,,,,,,,,,,,100.00000000,0.66362505,,0.53380783,0.05586592,0.78667284
rus_Cyrl,,,,,,,,,,,,,,,,,,,,100.00000000,,0.35885167,0.09775171,0.61983471
tha_Thai,,,,,,,,,,,,,,,,,,,,,,,,
zho_Hans,,,,,,,,,,,,,,,,,,,,,,100.00000000,3.69349504,0.48737262
jpn_Jpan,,,,,,,,,,,,,,,,,,,,,,,100.00000000,0.05561735
kor_Hang,,,,,,,,,,,,,,,,,,,,,,,,100.00000000
